"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82005100000915","Nodes","915",21.000000,32.310328,"DDS demands","Known Flow",369069.259623,90811.838537,,0.000000,,,,-6.849999,,,,,,,,,,-6.125392,-6.849999,,"",,,,"C4 PROFILE",,,,,,,,,
"82005100001038","Nodes","1038",21.000000,31.836315,"Default Known Flow Node","Known Flow",368096.367318,90608.871866,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001035","Nodes","1035",21.000000,31.792645,"Default Known Flow Node","Known Flow",368159.972335,90649.636877,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001033","Nodes","1033",21.000000,31.836315,"Default Known Flow Node","Known Flow",368223.056353,90670.124882,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001034","Nodes","1034",21.000000,31.923675,"Default Known Flow Node","Known Flow",368234.232356,90669.486882,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000017","Nodes","17",21.000000,31.705318,"DDS demands","Known Flow",368215.701351,90718.612895,,0.000000,,,,,,,-5.110000,,,-4.600000,,,,-8.682855,-9.710000,,"",,,,,,,"D1 PROFILE",,,"I2 PROFILE",,,
"82005100000014","Nodes","14",21.000000,32.134877,"DDS demands","Known Flow",368050.119306,90661.117880,,0.000000,,,,,,,-5.840000,,,,,,,-5.222232,-5.840000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001032","Nodes","P08117987, Flats 1-26 & 2 Retail Units CSEP, 50.49",24.000000,32.811687,"CSEP DDS Matched","Known Flow",368487.798776,90562.320245,,0.000000,,,,,,,,-50.490000,,,,,,-45.149062,-50.490000,,"",,,,,,,,"DC PROFILE",,,,,
"82005100000524","Nodes","524",21.000000,33.186813,"DDS demands","Known Flow",367939.040035,90625.402651,,0.000000,,,,,,,-30.370000,,,,,,,-27.157398,-30.370000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000628","Nodes","628",21.000000,32.548531,"DDS demands","Known Flow",367980.176287,90629.843871,,0.000000,,,,,,,-13.979999,,,,,,,-12.501165,-13.979999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001030","Nodes","1030",21.000000,35.520097,"Default Known Flow Node","Known Flow",369779.494874,89839.203465,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
