"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82017800000357","Nodes","","21.000000","59.749439","Default Known Flow Node","Known Flow","490555.376641","106580.143211","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000359","Nodes","","21.000000","67.746309","Default Known Flow Node","Known Flow","490126.811524","106101.925081","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000362","Nodes","","21.000000","64.024988","Default Known Flow Node","Known Flow","490472.850618","106350.724149","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000364","Nodes","","21.000000","57.179503","Default Known Flow Node","Known Flow","490258.671560","106387.601159","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000475","Nodes","","21.000000","69.212945","DDS demands","Known Flow","490529.376634","106184.845104","","0.000000","","","","","-14.730000","","","-13.171829","-14.730000","","","","","","","D1 PROFILE","",""
"82017800000406","Nodes","","21.000000","57.957560","Default Known Flow Node","Known Flow","490471.907618","106641.873228","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000369","Nodes","","21.000000","64.037974","Default Known Flow Node","Known Flow","490478.453620","106325.500142","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000372","Nodes","","21.000000","69.972349","Default Known Flow Node","Known Flow","490335.558581","106247.916121","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000361","Nodes","","21.000000","69.972349","Default Known Flow Node","Known Flow","490347.777584","106187.735105","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000373","Nodes","","21.000000","54.382200","Default Known Flow Node","Known Flow","490206.883405","106438.345317","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000377","Nodes","","21.000000","66.985808","Default Known Flow Node","Known Flow","490205.217545","106533.476199","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000378","Nodes","","21.000000","66.985808","Default Known Flow Node","Known Flow","490173.650537","106525.040196","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000380","Nodes","","21.000000","64.748827","Default Known Flow Node","Known Flow","490522.864632","106422.119168","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000387","Nodes","","21.000000","57.913025","Default Known Flow Node","Known Flow","490464.000616","106645.287229","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000389","Nodes","","21.000000","64.366154","Default Known Flow Node","Known Flow","490520.441631","106368.626154","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000390","Nodes","","21.000000","64.366154","Default Known Flow Node","Known Flow","490514.103629","106369.607154","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000339","Nodes","","21.000000","66.985808","Default Known Flow Node","Known Flow","490174.911537","106519.332195","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000352","Nodes","","21.000000","62.640346","Default Known Flow Node","Known Flow","490010.372492","106448.498176","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000365","Nodes","","21.000000","57.257955","Default Known Flow Node","Known Flow","490240.554555","106352.130149","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000397","Nodes","","21.000000","57.716422","Default Known Flow Node","Known Flow","490378.006592","106366.781153","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000400","Nodes","","21.000000","57.509988","Default Known Flow Node","Known Flow","490371.266445","106341.229153","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000401","Nodes","","21.000000","57.509988","Default Known Flow Node","Known Flow","490378.292592","106347.679148","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000403","Nodes","","21.000000","49.433067","Default Known Flow Node","Known Flow","490317.558576","106837.552282","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000411","Nodes","","21.000000","51.019158","Default Known Flow Node","Known Flow","490369.766590","106736.163254","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000415","Nodes","","21.000000","49.341448","Default Known Flow Node","Known Flow","490310.576574","106846.057284","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000416","Nodes","","21.000000","49.341448","Default Known Flow Node","Known Flow","490313.600575","106859.557288","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000423","Nodes","","21.000000","65.659727","Default Known Flow Node","Known Flow","490409.430601","107581.034484","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000426","Nodes","","21.000000","66.577597","Default Known Flow Node","Known Flow","490425.174605","107454.453449","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000428","Nodes","","21.000000","65.650974","Default Known Flow Node","Known Flow","490421.014604","107581.184484","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000430","Nodes","","21.000000","68.200469","Default Known Flow Node","Known Flow","490997.958761","106506.591191","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000432","Nodes","","21.000000","69.448869","Default Known Flow Node","Known Flow","490666.306671","106506.558191","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000436","Nodes","","21.000000","68.983375","Default Known Flow Node","Known Flow","490677.427674","106474.663183","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000440","Nodes","","21.000000","68.532396","Default Known Flow Node","Known Flow","490825.563714","106504.520191","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000441","Nodes","","21.000000","68.532396","Default Known Flow Node","Known Flow","490832.179716","106505.600191","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000442","Nodes","","21.000000","68.189726","Default Known Flow Node","Known Flow","490536.387635","106532.669199","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000445","Nodes","","21.000000","68.173255","Default Known Flow Node","Known Flow","490531.393634","106498.270189","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000446","Nodes","","21.000000","68.226421","Default Known Flow Node","Known Flow","490925.845741","106498.662189","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000451","Nodes","","21.000000","68.998030","Default Known Flow Node","Known Flow","490724.414687","106476.184183","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000431","Nodes","","21.000000","68.199384","Default Known Flow Node","Known Flow","490997.115761","106497.210189","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000343","Nodes","","21.000000","69.882892","Default Known Flow Node","Known Flow","490606.248654","106461.238179","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000457","Nodes","","21.000000","69.902363","Default Known Flow Node","Known Flow","490608.636655","106462.450179","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000455","Nodes","","21.000000","68.467263","Default Known Flow Node","Known Flow","490627.508660","106434.135172","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000459","Nodes","","21.000000","68.475853","Default Known Flow Node","Known Flow","490656.920668","106434.924172","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000461","Nodes","","21.000000","65.880746","Default Known Flow Node","Known Flow","490904.488736","106524.243196","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000463","Nodes","","21.000000","69.191370","Default Known Flow Node","Known Flow","490691.684615","106486.178592","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000456","Nodes","","21.000000","69.174307","Default Known Flow Node","Known Flow","490687.732677","106478.753184","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000464","Nodes","","21.000000","68.586783","Default Known Flow Node","Known Flow","490820.222919","106483.909286","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000470","Nodes","","21.000000","68.349745","Default Known Flow Node","Known Flow","490885.456730","106495.538188","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000472","Nodes","","21.000000","68.550935","Default Known Flow Node","Known Flow","490625.037660","106539.776201","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000487","Nodes","","21.000000","68.550935","Default Known Flow Node","Known Flow","490630.649977","106540.489365","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000476","Nodes","","21.000000","68.296403","Default Known Flow Node","Known Flow","490570.142645","106538.793200","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000480","Nodes","","21.000000","68.191871","Default Known Flow Node","Known Flow","491037.114772","106509.768192","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000481","Nodes","","21.000000","68.191871","Default Known Flow Node","Known Flow","491066.396780","106511.839193","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000483","Nodes","","21.000000","68.189726","Default Known Flow Node","Known Flow","490544.017638","106509.928192","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000482","Nodes","","21.000000","68.174989","Default Known Flow Node","Known Flow","490527.758633","106514.476194","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000484","Nodes","","21.000000","68.924094","Default Known Flow Node","Known Flow","490735.566690","106465.633180","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000473","Nodes","","21.000000","68.550935","Default Known Flow Node","Known Flow","490645.797665","106542.414201","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000489","Nodes","","21.000000","68.943681","Default Known Flow Node","Known Flow","490735.676690","106473.158182","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000488","Nodes","","21.000000","68.924094","Default Known Flow Node","Known Flow","490721.804686","106464.613180","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000492","Nodes","","21.000000","69.722108","Default Known Flow Node","Known Flow","490704.969681","106640.696228","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
