"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82012400007043","Nodes","7043",21.000000,25.271127,"Default Known Flow Node","Known Flow",463215.727804,99759.678862,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007071","Nodes","7071",21.000000,25.332580,"DDS demands","Known Flow",463236.154464,99779.376017,,0.000000,,,,-9.699999,,,-8.720000,,,,,,,-16.471493,-18.419999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400007051","Nodes","7051",21.000000,25.496052,"Default Known Flow Node","Known Flow",463263.712736,99787.975491,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007083","Nodes","7083",21.000000,25.666577,"Default Known Flow Node","Known Flow",463288.807822,99797.387166,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400000883","Nodes","883",21.000000,25.958817,"Default Known Flow Node","Known Flow",463330.642232,99807.554369,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007023","Nodes","7023",21.000000,26.412426,"Default Known Flow Node","Known Flow",463327.079058,99864.678624,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007017","Nodes","7017",21.000000,26.258963,"Default Known Flow Node","Known Flow",463328.797961,99845.350512,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007056","Nodes","7056",21.000000,26.576861,"DDS demands","Known Flow",463325.610669,99885.413538,,0.000000,,,,,,,-1.399999,,,,,,,-1.251905,-1.399999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400007057","Nodes","7057",21.000000,26.662795,"Default Known Flow Node","Known Flow",463325.329419,99896.163538,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007059","Nodes","7059",21.000000,26.796301,"Default Known Flow Node","Known Flow",463324.892418,99912.866676,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001157","Nodes","1157",21.000000,26.872727,"Default Known Flow Node","Known Flow",463324.642231,99922.429400,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400002056","Nodes","2056",21.000000,23.386923,"DDS demands","Known Flow",463185.405193,99293.111229,,0.000000,,,,-1.330000,,,-1.269999,,,,,,,-2.324966,-2.600000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400004449","Nodes","4449",21.000000,21.058909,"DDS demands","Known Flow",463276.440402,99339.650802,,0.000000,,-47.860002,,-7.829999,,,-10.949999,,,,,,,-59.590681,-66.640001,,"",,"C2 PROFILE",,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400005328","Nodes","5328",21.000000,22.366498,"DDS demands","Known Flow",463292.267222,99351.554245,,0.000000,-0.059999,,-3.869999,,,,-11.680000,,,,,,,-13.958741,-15.610000,,"","C1 PROFILE",,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82012400005331","Nodes","5331",21.000000,24.162270,"DDS demands","Known Flow",463311.767227,99328.304238,,0.000000,,,,,,,-4.530000,,,,,,,-4.050807,-4.530000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400005329","Nodes","5329",21.000000,23.605381,"DDS demands","Known Flow",463306.268003,99334.861006,,0.000000,,,,-0.839999,,,-2.359999,,,,,,,-2.861497,-3.199999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400002065","Nodes","2065",21.000000,25.429696,"DDS demands","Known Flow",463388.142248,99440.304269,,0.000000,,,,-6.439999,,,-2.720000,,,,,,,-8.191036,-9.159999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400000902","Nodes","902",21.000000,25.437525,"DDS demands","Known Flow",463396.265909,99446.551219,,0.000000,,,,,,,-11.289999,,,,,,,-10.095719,-11.289999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400006552","Nodes","6552",21.000000,25.440178,"Default Known Flow Node","Known Flow",463398.267251,99448.179271,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400006171","Nodes","6171",21.000000,25.708448,"DDS demands","Known Flow",463467.587584,99507.249602,,0.000000,-6.179999,,,,,,-13.770000,,,,,,,-17.839646,-19.950001,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82012402221562","Nodes","2221562",21.000000,24.618427,"Default Known Flow Node","Known Flow",463424.215483,99542.964848,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001152","Nodes","1152",21.000000,24.644505,"Default Known Flow Node","Known Flow",463413.342820,99533.922977,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400004570","Nodes","4570",21.000000,24.683061,"DDS demands","Known Flow",463397.267251,99520.554291,,0.000000,,,,,,,-7.880000,,,,,,,-7.046437,-7.880000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400004571","Nodes","4571",21.000000,24.595816,"DDS demands","Known Flow",463433.642261,99550.804299,,0.000000,,,,,,,-12.090000,,,,,,,-10.811094,-12.090000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400004581","Nodes","4581",21.000000,24.586909,"DDS demands","Known Flow",463449.017265,99563.804302,,0.000000,,,,,,,-2.519999,,,,,,,-2.253428,-2.519999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400001150","Nodes","1150",21.000000,24.590322,"Default Known Flow Node","Known Flow",463443.124110,99558.821472,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001093","Nodes","1093",21.000000,28.102337,"DDS demands","Known Flow",464154.268844,99682.317526,,0.000000,-0.490000,,,-4.519999,,,-9.000000,,,,,,,-12.527993,-14.009999,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400006368","Nodes","6368",21.000000,28.398906,"DDS demands","Known Flow",464194.336867,99678.103044,,0.000000,,,,,,,-1.840000,,,,,,,-1.645360,-1.840000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400001145","Nodes","1145",21.000000,28.071272,"DDS demands","Known Flow",464340.267507,99759.804356,,0.000000,,,,,,,-9.090000,,,,,,,-8.128440,-9.090000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400001143","Nodes","1143",21.000000,28.349716,"DDS demands","Known Flow",464351.705016,99711.116648,,0.000000,,,,,,,-5.909999,,,,,,,-5.284827,-5.909999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400045316","Nodes","-513",21.000000,28.386614,"Default Known Flow Node","Known Flow",464351.892510,99704.929341,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
