"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96122805708062","Nodes","-320969","21.000000","29.303728","DDS demands","Known Flow","592353.560000","139712.785000","","0.000000","","","-3.349999","","","-2.995629","-3.349999","","","","","D1 PROFILE","",""
"96122805708019","Nodes","5708019","21.000000","29.494210","Default Known Flow Node","Known Flow","592495.935000","139910.535000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708056","Nodes","-320977","21.000000","28.983759","DDS demands","Known Flow","592489.435000","139999.660000","","0.000000","","","-3.859999","","","-3.451680","-3.859999","","","","","D1 PROFILE","",""
"96122805708020","Nodes","5708020","21.000000","29.065347","Default Known Flow Node","Known Flow","592519.435000","139967.160000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708017","Nodes","5708017","21.000000","29.551095","Default Known Flow Node","Known Flow","592703.185000","139912.285000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708041","Nodes","-320987","21.000000","24.280273","Default Known Flow Node","Known Flow","592595.810000","139934.285000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708027","Nodes","5708027","21.000000","24.152000","Default Known Flow Node","Known Flow","592596.560000","139942.160000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708030","Nodes","5708030","21.000000","29.117249","Default Known Flow Node","Known Flow","592801.935000","139808.535000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708063","Nodes","-320994","21.000000","29.117111","DDS demands","Known Flow","592797.310000","139799.910000","","0.000000","","","-0.449999","","","-0.402398","-0.449999","","","","","D1 PROFILE","",""
"96122805708039","Nodes","-320993","21.000000","29.117249","Default Known Flow Node","Known Flow","592786.185000","139816.535000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708022","Nodes","5708022","21.000000","29.076247","Default Known Flow Node","Known Flow","592806.935000","139966.035000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708038","Nodes","5708034","21.000000","28.467641","Default Known Flow Node","Known Flow","593446.185000","139786.785000","","0.000000","","","0.000000","","","0.000000","0.000000","","","","","D1 PROFILE","",""
"96122805708026","Nodes","5708026","21.000000","28.467641","DDS demands","Known Flow","593317.560000","139891.035000","","0.000000","","","-9.679999","","","-8.656029","-9.679999","","","","","D1 PROFILE","",""
"96122805708058","Nodes","-320975","21.000000","28.990016","DDS demands","Known Flow","592452.810000","140007.535000","","0.000000","","","-3.759999","","","-3.362259","-3.759999","","","","","D1 PROFILE","",""
"96122805708060","Nodes","-320972","21.000000","28.289730","DDS demands","Known Flow","592402.560000","140133.660000","","0.000000","","","-1.059999","","","-0.947870","-1.059999","","","","","D1 PROFILE","",""
"96122805708029","Nodes","5708029","21.000000","28.341112","Default Known Flow Node","Known Flow","592498.685000","140112.160000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708028","Nodes","5708028","21.000000","28.981418","Default Known Flow Node","Known Flow","592489.560000","140003.535000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708052","Nodes","-320989","21.000000","23.000724","DDS demands","Known Flow","592610.560000","140007.410000","","0.000000","","","-19.270001","","","-17.231579","-19.270001","","","","","D1 PROFILE","",""
"96122805708021","Nodes","5708021","21.000000","28.405672","DDS demands","Known Flow","592558.810000","140086.285000","","0.000000","","","-3.839999","","","-3.433796","-3.839999","","","","","D1 PROFILE","",""
"96122805708043","Nodes","-320982","21.000000","28.299071","DDS demands","Known Flow","592506.935000","140194.410000","","0.000000","","","-2.700000","","","-2.414388","-2.700000","","","","","D1 PROFILE","",""
"96122805708066","Nodes","-320983","21.000000","28.638925","DDS demands","Known Flow","592516.435000","140067.785000","","0.000000","","","-8.569999","","","-7.663447","-8.569999","","","","","D1 PROFILE","",""
"96122805708014","Nodes","5708014","21.000000","28.719947","DDS demands","Known Flow","592538.060000","140022.785000","","0.000000","","","-6.520000","","","-5.830300","-6.520000","","","","","D1 PROFILE","",""
"96122805708015","Nodes","5708015","21.000000","27.873422","DDS demands","Known Flow","592647.560000","140166.035000","","0.000000","","","-18.589999","","","-16.623510","-18.589999","","","","","D1 PROFILE","",""
"96122805708049","Nodes","-320996","21.000000","24.384716","DDS demands","Known Flow","592804.560000","140032.160000","","0.000000","","","-16.930000","","","-15.139109","-16.930000","","","","","D1 PROFILE","",""
"96122805708048","Nodes","-321001","21.000000","26.944358","Default Known Flow Node","Known Flow","592903.685000","140103.160000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708032","Nodes","5708032","21.000000","26.944358","Default Known Flow Node","Known Flow","592905.060000","140088.910000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708016","Nodes","5708016","21.000000","27.644333","DDS demands","Known Flow","592709.810000","140210.660000","","0.000000","","","-18.419999","","","-16.471493","-18.419999","","","","","D1 PROFILE","",""
"96122805708023","Nodes","5708023","21.000000","26.944358","DDS demands","Known Flow","592836.685000","140108.910000","","0.000000","","","-14.710000","","","-13.153945","-14.710000","","","","","D1 PROFILE","",""
"96122805708061","Nodes","P13131591, FORGEFIELD, SCH 11.35","22.999998","26.729607","CSEP Unmatched","Known Flow","592846.685000","140136.410000","","0.000000","","","-0.820000","","-11.350000","-10.882632","-12.170000","","","","","D1 PROFILE","","DC PROFILE"
"96122805708059","Nodes","-321003","21.000000","26.944358","Default Known Flow Node","Known Flow","592906.685000","140070.285000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708018","Nodes","5708018","21.000000","28.529350","DDS demands","Known Flow","592945.310000","140011.285000","","0.000000","","","-28.090000","","","-25.118582","-28.090000","","","","","D1 PROFILE","",""
"96122805708046","Nodes","-321005","21.000000","28.506518","Default Known Flow Node","Known Flow","592946.310000","140018.285000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708051","Nodes","5708033","21.000000","28.304019","Default Known Flow Node","Known Flow","592984.060000","140059.785000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708057","Nodes","-321006","21.000000","28.180433","DDS demands","Known Flow","592959.810000","140100.660000","","0.000000","","","-6.610000","","","-5.910780","-6.610000","","","","","D1 PROFILE","",""
"96122805708044","Nodes","Village Hall Forge Hill, Bethersden, NA:16649","21.000000","27.346422","DDS demands","Known Flow","593050.060000","140090.285000","","0.000000","-7.469999","","-8.939999","","","-14.674115","-16.409999","","","C1 PROFILE","","D1 PROFILE","",""
"96122805708025","Nodes","5708025","21.000000","25.651592","DDS demands","Known Flow","593092.060000","140261.285000","","0.000000","","","-5.320000","","","-4.757239","-5.320000","","","","","D1 PROFILE","",""
"96122805708053","Nodes","5708053, P13132840, MILL ROAD, Con 13 SCH 42.55","24.000000","25.520366","CSEP Unmatched","Known Flow","593198.810000","140428.660000","","0.000000","","","-1.570000","","-31.940000","-29.965242","-33.510001","","","","","D1 PROFILE","","DC PROFILE"
"96122805708042","Nodes","-321011","21.000000","25.651592","Default Known Flow Node","Known Flow","593110.935000","140224.785000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708036","Nodes","-320971","21.000000","28.861661","DDS demands","Known Flow","592379.435000","139977.285000","","0.000000","","","-3.130000","","","-2.798902","-3.130000","","","","","D1 PROFILE","",""
"96122805708050","Nodes","-1126886","21.000000","28.898746","Default Known Flow Node","Known Flow","592377.060000","139938.410000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708067","Nodes","-1126885","21.000000","28.824345","DDS demands","Known Flow","592331.435000","139945.535000","","0.000000","","","-4.900000","","","-4.381668","-4.900000","","","","","D1 PROFILE","",""
"96122805708040","Nodes","-1197232","21.000000","29.248154","Default Known Flow Node","Known Flow","592452.310000","139932.410000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708064","Nodes","-1490352","21.000000","29.247833","Default Known Flow Node","Known Flow","592452.185000","139940.160000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708065","Nodes","-1197231","21.000000","29.246658","DDS demands","Known Flow","592439.935000","139965.285000","","0.000000","","","-0.769999","","","-0.688547","-0.769999","","","","","D1 PROFILE","",""
"96122800000003","Nodes","","21.000000","26.384057","DDS demands","Known Flow","592895.183662","140268.851372","","0.000000","","","-2.049999","","","-1.833146","-2.049999","","","","","D1 PROFILE","",""
"96122800000001","Nodes","","21.000000","25.993155","DDS demands","Known Flow","592956.040218","140281.042162","","0.000000","","","-24.809998","","","-22.185544","-24.809998","","","","","D1 PROFILE","",""
"96122800000002","Nodes","","21.000000","25.936420","DDS demands","Known Flow","592951.510249","140331.154751","","0.000000","","","-5.639999","","","-5.043388","-5.639999","","","","","D1 PROFILE","",""
"96122800000004","Nodes","","21.000000","24.933900","DDS demands","Known Flow","592904.678007","140223.522757","","0.000000","","","","-27.690000","","-24.760893","-27.690000","","","","","","PL-AF PROFILE",""
