"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96108805504079","Nodes","5504079","21.000000","30.971685","DDS demands","Known Flow","620380.004965","168053.061939","","0.000000","","","","","","","-19.050000","","","","","","","","-17.034851","-19.050000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504086","Nodes","5504086","21.000000","29.550188","DDS demands","Known Flow","620375.534928","168372.591770","","0.000000","","","","","","","-13.770000","","","","","","","","-12.313380","-13.770000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002175","Nodes","2175","21.000000","28.406589","DDS demands","Known Flow","620431.976979","168409.849036","","0.000000","","","","","","","-10.569999","","","","","","","","-9.451883","-10.569999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002174","Nodes","2174","21.000000","28.424426","DDS demands","Known Flow","620429.939878","168408.481404","","0.000000","","","","","","","-12.119999","","","","","","","","-10.837920","-12.119999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002172","Nodes","2172","21.000000","28.153366","DDS demands","Known Flow","620450.684984","168406.198035","","0.000000","","","","","","","-9.229999","","","","","","","","-8.253630","-9.229999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504081","Nodes","5504081","21.000000","29.708558","DDS demands","Known Flow","620465.703182","168200.134594","","0.000000","","","","","","","-7.250000","","","","","","","","-6.483080","-7.250000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002035","Nodes","2035","21.000000","29.537280","DDS demands","Known Flow","620459.725986","168100.507952","","0.000000","","","","","","","-4.340000","","","","","","","","-3.880905","-4.340000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002159","Nodes","2159","21.000000","35.948740","Default Known Flow Node","Known Flow","620073.184881","168380.448028","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002178","Nodes","2178","21.000000","35.948740","Default Known Flow Node","Known Flow","620051.559875","168416.323038","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108805504071","Nodes","5504071","21.000000","35.103314","DDS demands","Known Flow","620107.585230","168304.104734","","0.000000","","","","","","","-11.759999","","","","","","","","-10.516002","-11.759999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504072","Nodes","5504072","21.000000","35.011675","DDS demands","Known Flow","620125.548895","168285.755002","","0.000000","","","","","","","-7.489999","","","","","","","","-6.697691","-7.489999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504116","Nodes","5504116","21.000000","35.272864","DDS demands","Known Flow","620144.934901","168462.073050","","0.000000","","","","","","","-17.770000","","","","","","","","-15.890252","-17.770000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504075","Nodes","5504075","21.000000","32.804164","DDS demands","Known Flow","620232.357924","168156.736967","","0.000000","","","","","","","-3.349999","","","","","","","","-2.995629","-3.349999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002121","Nodes","2121","21.000000","31.626677","DDS demands","Known Flow","620344.184955","168292.573004","","0.000000","","","","","","","-4.340000","","","","","","","","-3.880905","-4.340000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504085","Nodes","5504085","21.000000","29.727070","DDS demands","Known Flow","620497.288996","168231.076987","","0.000000","","","","","","","-9.310000","","","","","","","","-8.325168","-9.310000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800001995","Nodes","1995","21.000000","29.420432","Default Known Flow Node","Known Flow","620446.868374","168005.489902","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108805504082","Nodes","5504082","21.000000","29.801872","DDS demands","Known Flow","620495.884996","168210.437982","","0.000000","","","","","","","-4.770000","","","","","","","","-4.265419","-4.770000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504066","Nodes","5504066","21.000000","34.420178","DDS demands","Known Flow","620017.026227","168004.120591","","0.000000","","","","","","","-16.950000","","","","","","","","-15.156994","-16.950000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504068","Nodes","5504068","21.000000","34.111552","DDS demands","Known Flow","620087.809179","168054.073939","","0.000000","","","","","","","-12.700000","","","","","","","","-11.356567","-12.700000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002063","Nodes","2063","21.000000","32.876251","DDS demands","Known Flow","620225.443736","168151.793874","","0.000000","","","","","","","-9.200000","","","","","","","","-8.226804","-9.200000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504076","Nodes","5504076","21.000000","32.903409","DDS demands","Known Flow","620234.081466","168162.839519","","0.000000","","","","","","","-5.379999","","","","","","","","-4.810892","-5.379999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108804904589","Nodes","4904589","21.000000","29.751587","Default Known Flow Node","Known Flow","620573.594412","168200.749692","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002151","Nodes","2151","21.000000","28.741455","DDS demands","Known Flow","620508.076093","168365.706288","","0.000000","","","","","","","-8.989999","","","","","","","","-8.039018","-8.989999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002141","Nodes","2141","21.000000","29.010541","Default Known Flow Node","Known Flow","620526.776738","168325.342258","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002111","Nodes","2111","21.000000","29.512569","Default Known Flow Node","Known Flow","620517.522478","168259.142526","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002118","Nodes","2118","21.000000","29.364194","Default Known Flow Node","Known Flow","620528.631048","168287.994449","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108805504090","Nodes","5504090","21.000000","29.163613","DDS demands","Known Flow","620542.447636","168316.913121","","0.000000","","","","","","","-7.659999","","","","","","","","-6.849708","-7.659999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002187","Nodes","2187","21.000000","27.841901","DDS demands","Known Flow","620626.935032","168436.448043","","0.000000","","","","","","","-6.550000","","","","","","","","-5.857127","-6.550000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002183","Nodes","2183","21.000000","27.994610","Default Known Flow Node","Known Flow","620643.060036","168423.698040","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108801463087","Nodes","1463087","21.000000","30.692985","Default Known Flow Node","Known Flow","620829.060087","168051.822938","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002030","Nodes","2030","21.000000","30.692985","Default Known Flow Node","Known Flow","620805.810080","168062.197941","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002139","Nodes","2139","21.000000","29.148354","Default Known Flow Node","Known Flow","620537.156007","168323.971012","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002092","Nodes","2092","21.000000","29.512692","Default Known Flow Node","Known Flow","620585.281582","168204.316445","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002106","Nodes","2106","21.000000","29.117127","Default Known Flow Node","Known Flow","620598.935024","168243.822991","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002113","Nodes","2113","21.000000","29.117127","Default Known Flow Node","Known Flow","620580.560019","168269.822998","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002180","Nodes","2180","21.000000","28.013933","DDS demands","Known Flow","620637.185035","168418.948038","","0.000000","","","","","","","-7.539999","","","","","","","","-6.742402","-7.539999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108801462865","Nodes","1462865","21.000000","28.323984","Default Known Flow Node","Known Flow","620664.185042","168405.073034","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002169","Nodes","2169","21.000000","28.479731","Default Known Flow Node","Known Flow","620713.310055","168403.823034","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108801462625","Nodes","1462625","21.000000","30.858178","Default Known Flow Node","Known Flow","620681.766047","168166.173969","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
