"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96123105503353","Nodes","5503353","21.000000","65.742778","Default Known Flow Node","Known Flow","615541.435000","167335.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503317","Nodes","5503317","21.000000","65.826651","Default Known Flow Node","Known Flow","615546.310000","167313.320000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503354","Nodes","5503354","21.000000","65.825739","Default Known Flow Node","Known Flow","615606.935000","167317.695000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503308","Nodes","5503308","21.000000","65.825739","DDS demands","Known Flow","615607.810000","167315.820000","","0.000000","-2.390000","","","","-2.137181","-2.390000","","","D1 PROFILE","","",""
"96123105503355","Nodes","5503355","21.000000","65.825739","Default Known Flow Node","Known Flow","615623.935000","167324.320000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503356","Nodes","5503356","21.000000","65.825739","Default Known Flow Node","Known Flow","615624.560000","167322.570000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503359","Nodes","5503359","21.000000","65.744739","Default Known Flow Node","Known Flow","615766.810000","167451.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503358","Nodes","5503358","21.000000","65.785235","Default Known Flow Node","Known Flow","615645.560000","167338.820000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503002","Nodes","STUDD HILL DG, Site ID: 6951","21.000000","65.999998","Default Known Pressure Node","Known Pressure","615541.810000","167309.320000","","6249.999881","","","","","405.062780","452.980015","","","","","",""
"96123105503357","Nodes","5503357","21.000000","65.785235","Default Known Flow Node","Known Flow","615637.435000","167334.820000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503318","Nodes","5503318","21.000000","65.240709","DDS demands","Known Flow","615537.435000","167363.945000","","0.000000","-20.150000","","","","-18.018490","-20.150000","","","D1 PROFILE","","",""
"96123105503387","Nodes","5503387","21.000000","65.320846","Default Known Flow Node","Known Flow","615537.810000","167358.695000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503388","Nodes","5503388","21.000000","64.720894","DDS demands","Known Flow","615538.060000","167398.445000","","0.000000","-8.560000","","","","-7.654505","-8.560000","","","D1 PROFILE","","",""
"96123105503389","Nodes","5503389","21.000000","64.259716","DDS demands","Known Flow","615542.935000","167437.695000","","0.000000","-4.500000","","","","-4.023980","-4.500000","","","D1 PROFILE","","",""
"96123105503390","Nodes","5503390","21.000000","63.546709","DDS demands","Known Flow","615550.060000","167497.695000","","0.000000","-9.590000","","","","-8.575549","-9.590000","","","D1 PROFILE","","",""
"96123105503334","Nodes","5503334","21.000000","57.225025","DDS demands","Known Flow","614725.935000","167578.945000","","0.000000","-1.879999","","","","-1.681129","-1.879999","","","D1 PROFILE","","",""
"96123105503332","Nodes","5503332","21.000000","57.230803","DDS demands","Known Flow","614727.185000","167602.820000","","0.000000","-1.860000","","","","-1.663245","-1.860000","","","D1 PROFILE","","",""
"96123105503336","Nodes","5503336","21.000000","57.238665","Default Known Flow Node","Known Flow","614728.185000","167602.820000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503338","Nodes","5503338","21.000000","57.384987","DDS demands","Known Flow","614782.935000","167604.195000","","0.000000","-4.670000","","","","-4.175997","-4.670000","","","D1 PROFILE","","",""
"96123105503337","Nodes","5503337","21.000000","57.312658","DDS demands","Known Flow","614782.810000","167572.445000","","0.000000","-6.309999","","","","-5.642515","-6.309999","","","D1 PROFILE","","",""
"96123105503339","Nodes","5503339","21.000000","57.386684","Default Known Flow Node","Known Flow","614783.435000","167604.195000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503340","Nodes","5503340","21.000000","57.149976","DDS demands","Known Flow","614784.060000","167698.820000","","0.000000","-6.550000","","","","-5.857127","-6.550000","","","D1 PROFILE","","",""
"96123105503341","Nodes","5503341","21.000000","57.539919","DDS demands","Known Flow","614842.310000","167698.320000","","0.000000","-4.780000","","","","-4.274362","-4.780000","","","D1 PROFILE","","",""
"96123105503331","Nodes","5503331","21.000000","57.678745","DDS demands","Known Flow","614841.060000","167603.445000","","0.000000","-6.220000","","","","-5.562035","-6.220000","","","D1 PROFILE","","",""
"96123105503343","Nodes","5503343","21.000000","57.880378","DDS demands","Known Flow","614891.560000","167555.445000","","0.000000","-2.630000","","","","-2.351793","-2.630000","","","D1 PROFILE","","",""
"96123105503342","Nodes","5503342","21.000000","57.831231","DDS demands","Known Flow","614858.685000","167603.070000","","0.000000","-5.639999","","","","-5.043388","-5.639999","","","D1 PROFILE","","",""
"96123105503345","Nodes","5503345","21.000000","58.132329","DDS demands","Known Flow","614901.060000","167699.445000","","0.000000","-5.659999","","","","-5.061273","-5.659999","","","D1 PROFILE","","",""
"96123105503344","Nodes","5503344","21.000000","58.355608","DDS demands","Known Flow","614899.310000","167605.570000","","0.000000","-3.390000","","","","-3.031398","-3.390000","","","D1 PROFILE","","",""
"96123105503349","Nodes","5503349","21.000000","59.367316","DDS demands","Known Flow","614970.310000","167694.695000","","0.000000","-6.360000","","","","-5.687226","-6.360000","","","D1 PROFILE","","",""
"96123105503348","Nodes","5503348","21.000000","59.490238","DDS demands","Known Flow","614963.185000","167660.695000","","0.000000","-6.399999","","","","-5.722994","-6.399999","","","D1 PROFILE","","",""
"96123105503335","Nodes","5503335","21.000000","56.687026","DDS demands","Known Flow","614727.060000","167698.570000","","0.000000","-4.150000","","","","-3.711004","-4.150000","","","D1 PROFILE","","",""
"96123105503346","Nodes","5503346","21.000000","59.277891","DDS demands","Known Flow","614943.060000","167512.820000","","0.000000","-12.119999","","","","-10.837920","-12.119999","","","D1 PROFILE","","",""
"96123105503329","Nodes","5503329","21.000000","60.661641","DDS demands","Known Flow","615143.310000","167620.320000","","0.000000","-26.180000","","","","-23.410624","-26.180000","","","D1 PROFILE","","",""
"96123105503363","Nodes","5503363","21.000000","57.397443","DDS demands","Known Flow","615240.685000","167603.070000","","0.000000","-15.050000","","","","-13.457979","-15.050000","","","D1 PROFILE","","",""
"96123105503368","Nodes","5503368","21.000000","59.025821","Default Known Flow Node","Known Flow","615396.060000","167577.320000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503372","Nodes","5503372","21.000000","63.754552","DDS demands","Known Flow","615407.685000","167521.445000","","0.000000","-3.729999","","","","-3.335432","-3.729999","","","D1 PROFILE","","",""
"96123105503384","Nodes","5503384","21.000000","57.958341","DDS demands","Known Flow","615491.810000","167566.195000","","0.000000","-13.510000","","","","-12.080884","-13.510000","","","D1 PROFILE","","",""
"96123105503369","Nodes","5503369","21.000000","59.105173","Default Known Flow Node","Known Flow","615396.560000","167585.070000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503328","Nodes","5503328","21.000000","60.881094","DDS demands","Known Flow","615219.310000","167673.695000","","0.000000","-8.489999","","","","-7.591909","-8.489999","","","D1 PROFILE","","",""
"96123105503361","Nodes","5503361","21.000000","59.768326","DDS demands","Known Flow","615122.435000","167690.320000","","0.000000","-7.519999","","","","-6.724518","-7.519999","","","D1 PROFILE","","",""
"96123105503360","Nodes","5503360","21.000000","59.280152","DDS demands","Known Flow","614984.685000","167708.820000","","0.000000","-7.590000","","","","-6.787114","-7.590000","","","D1 PROFILE","","",""
"96123105503362","Nodes","5503362","21.000000","59.829781","Default Known Flow Node","Known Flow","615123.560000","167696.195000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123100006953","Nodes","Logger 6953","21.000000","61.188364","Val Log Cath","Known Flow","615341.435000","167646.070000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503326","Nodes","5503326","21.000000","61.206072","DDS demands","Known Flow","615348.310000","167648.320000","","0.000000","-6.900000","","","","-6.170103","-6.900000","","","D1 PROFILE","","",""
"96123105503325","Nodes","P10124536, Plots 1-7 Standard Avenue, -26.49 SCMHS","22.999998","60.638344","CSEP DDS Matched","Known Flow","615351.935000","167712.445000","","0.000000","-8.430000","-26.489999","","","-31.226090","-34.919999","","","D1 PROFILE","DC PROFILE","",""
"96123105503367","Nodes","5503367","21.000000","60.522252","DDS demands","Known Flow","615384.435000","167759.320000","","0.000000","-8.930000","","","","-7.985366","-8.930000","","","D1 PROFILE","","",""
"96123105503327","Nodes","5503327","21.000000","61.370444","DDS demands","Known Flow","615399.560000","167655.320000","","0.000000","-5.599999","","","","-5.007620","-5.599999","","","D1 PROFILE","","",""
"96123105503320","Nodes","5503320","21.000000","61.832843","DDS demands","Known Flow","615684.185000","167551.695000","","0.000000","-16.410000","","","","-14.674116","-16.410000","","","D1 PROFILE","","",""
"96123105503324","Nodes","5503324","21.000000","60.259813","DDS demands","Known Flow","615525.060000","167750.695000","","0.000000","-19.830000","","","","-17.732341","-19.830000","","","D1 PROFILE","","",""
"96123105503385","Nodes","5503385","21.000000","61.879195","DDS demands","Known Flow","615532.685000","167651.695000","","0.000000","-8.689999","","","","-7.770753","-8.689999","","","D1 PROFILE","","",""
"96123105503322","Nodes","5503322","21.000000","61.872645","DDS demands","Known Flow","615533.060000","167659.695000","","0.000000","-14.470000","","","","-12.939333","-14.470000","","","D1 PROFILE","","",""
"96123105503321","Nodes","5503321","21.000000","62.569118","DDS demands","Known Flow","615553.810000","167586.945000","","0.000000","-5.820000","","","","-5.204348","-5.820000","","","D1 PROFILE","","",""
"96123105503398","Nodes","5503398","21.000000","61.909035","DDS demands","Known Flow","615619.185000","167578.320000","","0.000000","-4.590000","","","","-4.104460","-4.590000","","","D1 PROFILE","","",""
"96123105503393","Nodes","5503393","21.000000","61.011647","DDS demands","Known Flow","615565.310000","167698.195000","","0.000000","-1.490000","","","","-1.332384","-1.490000","","","D1 PROFILE","","",""
"96123105503396","Nodes","5503396","21.000000","60.978125","Default Known Flow Node","Known Flow","615613.685000","167689.695000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503395","Nodes","5503395","21.000000","61.816458","DDS demands","Known Flow","615606.185000","167532.320000","","0.000000","-5.379999","","","","-4.810892","-5.379999","","","D1 PROFILE","","",""
"96123105503397","Nodes","5503397","21.000000","60.956114","DDS demands","Known Flow","615614.185000","167662.070000","","0.000000","-12.080000","","","","-10.802152","-12.080000","","","D1 PROFILE","","",""
"96123105503400","Nodes","5503400","21.000000","60.529271","Default Known Flow Node","Known Flow","615668.060000","167729.945000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503323","Nodes","5503323","21.000000","60.645252","DDS demands","Known Flow","615669.810000","167659.945000","","0.000000","-2.689999","","","","-2.405446","-2.689999","","","D1 PROFILE","","",""
"96123105503386","Nodes","5503386","21.000000","61.966923","DDS demands","Known Flow","615532.810000","167642.445000","","0.000000","-3.749999","","","","-3.353317","-3.749999","","","D1 PROFILE","","",""
"96123105503391","Nodes","5503391","21.000000","62.824850","Default Known Flow Node","Known Flow","615550.185000","167559.945000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503392","Nodes","5503392","21.000000","62.907872","DDS demands","Known Flow","615557.685000","167558.570000","","0.000000","-3.199999","","","","-2.861497","-3.199999","","","D1 PROFILE","","",""
"96123105503399","Nodes","5503399","21.000000","60.976478","DDS demands","Known Flow","615622.560000","167689.570000","","0.000000","-1.659999","","","","-1.484401","-1.659999","","","D1 PROFILE","","",""
"96123105503402","Nodes","5503402","21.000000","60.221080","DDS demands","Known Flow","615757.810000","167652.820000","","0.000000","-8.539999","","","","-7.636620","-8.539999","","","D1 PROFILE","","",""
"96123105503401","Nodes","5503401","21.000000","61.690286","DDS demands","Known Flow","615729.435000","167601.195000","","0.000000","-4.810000","","","","-4.301188","-4.810000","","","D1 PROFILE","","",""
"96123100006952","Nodes","Logger 6952","21.000000","65.036203","Val Log Cath","Known Flow","615508.747500","167358.616875","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123100000001","Nodes","1","21.000000","56.462925","DDS demands","Known Flow","614652.517092","167719.712301","","0.000000","-5.019999","","","","-4.488973","-5.019999","","","D1 PROFILE","","",""
