"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96113000003574","Nodes","Logger 3574, Whistler Road","21.000000","21.508092","Val Log Post","Known Flow","559770.918475","149201.442809","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702633","Nodes","6702633,","21.000000","22.356052","Default Known Flow Node","Known Flow","559853.793497","149117.067786","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702185","Nodes","6702185,","21.000000","21.508189","DDS demands","Known Flow","559769.918474","149199.942809","","0.000000","","","","","","-24.520000","","","","","","","","","","-21.926223","-24.520000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010730","Nodes","10730,","21.000000","21.451784","Default Known Flow Node","Known Flow","559747.668468","149215.817813","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702632","Nodes","6702632,","21.000000","21.412747","Default Known Flow Node","Known Flow","559816.321032","149166.727031","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010716","Nodes","10716,","21.000000","21.288103","Default Known Flow Node","Known Flow","559809.703756","149322.962286","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010721","Nodes","10721","21.000000","21.128320","Default Known Flow Node","Known Flow","559799.728256","149280.322299","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702186","Nodes","6702186,","21.000000","21.404781","DDS demands","Known Flow","559861.012398","149123.664584","","0.000000","","","","","","-18.110000","","","","","","","","","","-16.194286","-18.110000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010242","Nodes","10242,","21.000000","21.500760","Default Known Flow Node","Known Flow","559832.418491","149199.817809","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010732","Nodes","10732,","21.000000","21.500760","Default Known Flow Node","Known Flow","559830.918491","149197.942808","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006703012","Nodes","6703012,","21.000000","21.404347","Default Known Flow Node","Known Flow","559879.299545","149101.697429","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000011364","Nodes","11364,","21.000000","19.635916","Default Known Flow Node","Known Flow","559866.293501","149419.192868","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010740","Nodes","10740,","21.000000","21.447913","DDS demands","Known Flow","559914.668514","149128.692789","","0.000000","","","","","","-9.590000","","","","","","","","","","-8.575549","-9.590000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010432","Nodes","10432,","21.000000","21.359573","Default Known Flow Node","Known Flow","559918.668515","149123.067788","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
