"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96115007314076","Nodes","-328916","21.000000","27.147717","Default Known Flow Node","Known Flow","583864.180000","177701.395000","","0.000000","","","-4.800000","","","","-4.292246","-4.800000","","","","","D1 PROFILE","","",""
"96115007314040","Nodes","7314040","21.000000","25.913482","DDS demands","Known Flow","583949.555000","177759.770000","","0.000000","","","-6.610000","","","","-5.910780","-6.610000","","","","","D1 PROFILE","","",""
"96115007314037","Nodes","7314037","21.000000","26.864231","Default Known Flow Node","Known Flow","583874.805000","177744.520000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314042","Nodes","7314042","21.000000","29.138339","DDS demands","Known Flow","583938.430000","177694.395000","","0.000000","","","-23.549999","","","","-21.058832","-23.549999","","","","","D1 PROFILE","","",""
"96115007314077","Nodes","-328920","21.000000","26.820811","Default Known Flow Node","Known Flow","583887.305000","177760.395000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314080","Nodes","-328925","21.000000","25.777296","Default Known Flow Node","Known Flow","583930.930000","177810.645000","","0.000000","","","-2.519999","","","","-2.253428","-2.519999","","","","","D1 PROFILE","","",""
"96115007314081","Nodes","-328926","21.000000","29.138339","Default Known Flow Node","Known Flow","583937.680000","177698.270000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314014","Nodes","7314014","21.000000","25.825498","DDS demands","Known Flow","583992.930000","177818.395000","","0.000000","","","-4.559999","","","","-4.077633","-4.559999","","","","","D1 PROFILE","","",""
"96115007314079","Nodes","-328924","21.000000","25.797815","Default Known Flow Node","Known Flow","583919.305000","177751.770000","","0.000000","","","-6.989999","","","","-6.250582","-6.989999","","","","","D1 PROFILE","","",""
"96115007314052","Nodes","7314052","21.000000","31.041585","DDS demands","Known Flow","583994.805000","177622.270000","","0.000000","","","-0.560000","","","","-0.500762","-0.560000","","","","","D1 PROFILE","","",""
