"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-DC)"
"96112706323272","Nodes","6323272","21.000000","31.381700","Default Known Flow Node","Known Flow","606605.456568","159584.392447","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323209","Nodes","6323209","21.000000","31.380171","DDS demands","Known Flow","606560.283727","159640.122051","","0.000000","","","","","","","-3.400000","","","","","","","-3.040340","-3.400000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323210","Nodes","P07116237, London Road, 14.12","22.999998","29.828305","CSEP DDS Matched","Known Flow","600577.043871","160811.046482","","0.000000","","","","","","","","-14.120000","","","","","","-12.626357","-14.120000","","","","","","","","","","DC PROFILE","","","","",""
"96112706323435","Nodes","-1191","21.000000","32.526684","Default Known Flow Node","Known Flow","602439.305084","160400.820856","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322281","Nodes","6322281","21.000000","32.356568","DDS demands","Known Flow","602347.555059","160433.570865","","0.000000","","","","","","","-37.929998","","","","","","","-33.917685","-37.929998","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324250","Nodes","-22891","21.000000","32.356568","Default Known Flow Node","Known Flow","602345.374699","160434.205654","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324338","Nodes","-33866","21.000000","33.665708","Default Known Flow Node","Known Flow","596038.452574","157034.118210","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322025","Nodes","6322025","21.000000","33.637300","DDS demands","Known Flow","596079.425623","157013.821272","","0.000000","","","","","","","-10.699999","","","","","","","-9.568131","-10.699999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706322024","Nodes","6322024","21.000000","34.613693","Default Known Flow Node","Known Flow","595911.392691","157210.827265","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324701","Nodes","-86485","21.000000","36.077663","Default Known Flow Node","Known Flow","595746.532328","157371.043092","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322023","Nodes","6322023","21.000000","36.559007","DDS demands","Known Flow","595583.354234","157514.292949","","0.000000","","","","","","","-8.250000","","","","","","","-7.377297","-8.250000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706322022","Nodes","6322022","21.000000","36.823390","DDS demands","Known Flow","595473.928189","157663.570112","","0.000000","","","","","","","-12.819999","","","","","","","-11.463872","-12.819999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324225","Nodes","-1954","21.000000","28.337122","Default Known Flow Node","Known Flow","607693.556514","161682.696205","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323218","Nodes","6323218","21.000000","28.126098","DDS demands","Known Flow","607637.852126","161800.065124","","0.000000","","","","","","","","","","","-3.960000","","","-3.541102","-3.960000","","","","","","","","","","","","","I2 PROFILE","",""
"96112706324229","Nodes","-1963","21.000000","28.082755","Default Known Flow Node","Known Flow","607564.306478","161945.696277","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323222","Nodes","6323222","21.000000","31.246473","DDS demands","Known Flow","607635.124498","161386.348125","","0.000000","","","","","","","-8.619999","","","","","","","-7.708158","-8.619999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323221","Nodes","6323221","21.000000","30.568339","DDS demands","Known Flow","607880.943000","161373.170734","","0.000000","","","","","","","-9.239999","","","","","","","-8.262573","-9.239999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323213","Nodes","6323213","21.000000","40.389315","DDS demands","Known Flow","606621.806222","160956.821008","","0.000000","","","","","","","-12.570000","","","","","","","-11.240319","-12.570000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323231","Nodes","6323231","21.000000","40.304484","Default Known Flow Node","Known Flow","606588.406483","161070.657396","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323227","Nodes","6323227","21.000000","39.837338","DDS demands","Known Flow","606725.556250","161314.946105","","0.000000","","","","","","","-4.869999","","","","","","","-4.354840","-4.869999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323216","Nodes","6323216","21.000000","41.338709","DDS demands","Known Flow","606024.053743","160299.317440","","0.000000","","","","","","","-15.039999","","","","","","","-13.449037","-15.039999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323215","Nodes","6323215, mprn 9199371902","21.000000","40.650097","DDS demands","Known Flow","606295.157207","160476.399774","","0.000000","","","","","","","-11.810000","","","","","","","-10.560714","-11.810000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324164","Nodes","-1841","21.000000","40.514723","Default Known Flow Node","Known Flow","606505.976290","160749.670327","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323212","Nodes","6323212","21.000000","43.159831","DDS demands","Known Flow","606266.407000","159968.634230","","0.000000","","","","","","","-22.360000","","","","","","","-19.994712","-22.360000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323211","Nodes","6323211","21.000000","31.412980","DDS demands","Known Flow","606427.421139","159872.363186","","0.000000","","","","","","","-8.619999","","","","","","","-7.708158","-8.619999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324129","Nodes","-1788","21.000000","31.732515","Default Known Flow Node","Known Flow","606708.181245","159434.695594","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323242","Nodes","6323242","21.000000","27.175323","DDS demands","Known Flow","606178.676799","158506.256416","","0.000000","","","","","","","-4.050000","","","","","","","-3.621582","-4.050000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323241","Nodes","6323241","21.000000","27.209100","DDS demands","Known Flow","606224.519087","158659.588673","","0.000000","","","","","","","-10.949999","","","","","","","-9.791686","-10.949999","","","","","","","","","D1 PROFILE","","","","","",""
