"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"96123709707208","Nodes","","21.000000","40.897713","Default Known Flow Node","Known Flow","588944.375000","122514.359375","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707204","Nodes","9707204","21.000000","40.905237","DDS demands","Known Flow","588948.375000","122513.609375","","0.000000","-32.439999","-26.659998","","","","-52.848274","-59.099997","","","C2 PROFILE","D1 PROFILE","","",""
"96123709707212","Nodes","","21.000000","44.375421","Default Known Flow Node","Known Flow","589001.413510","122591.007920","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707220","Nodes","","21.000000","54.236498","Default Known Flow Node","Known Flow","588867.375000","122840.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707200","Nodes","9707200","21.000000","53.698129","DDS demands","Known Flow","588881.375000","122853.109375","","0.000000","","-6.269999","","","","-5.606746","-6.269999","","","","D1 PROFILE","","",""
"96123709707221","Nodes","","21.000000","53.739706","Default Known Flow Node","Known Flow","588912.500000","122878.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707213","Nodes","","21.000000","52.193516","DDS demands","Known Flow","589185.191870","122619.539360","","0.000000","","-5.280000","","","","-4.721470","-5.280000","","","","D1 PROFILE","","",""
"96123709707214","Nodes","","21.000000","41.411942","Default Known Flow Node","Known Flow","588566.000000","122495.109375","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707209","Nodes","","21.000000","40.905237","Default Known Flow Node","Known Flow","588951.250000","122513.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707217","Nodes","","21.000000","40.820317","Default Known Flow Node","Known Flow","589067.817091","122497.506095","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707216","Nodes","","21.000000","52.355861","Default Known Flow Node","Known Flow","589132.015726","122650.133140","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707206","Nodes","","21.000000","40.218495","Default Known Flow Node","Known Flow","588877.750000","122589.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707006","Nodes","The Maltings DG, SITE ID 7528 (Logger 7528)","21.000000","55.000000","Default Known Pressure Node","Known Pressure","589009.236905","122630.665588","","1899.999973","","","","","","103.156967","115.360002","","","","","","",""
"96123700000334","Nodes","","21.000000","53.472878","Default Known Flow Node","Known Flow","589027.725484","122662.330911","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000176","Nodes","","21.000000","36.294403","DDS demands","Known Flow","586052.819600","124363.528425","","0.000000","","-6.860000","","","","-6.134335","-6.860000","","","","D1 PROFILE","","",""
"96123700000177","Nodes","","21.000000","36.801243","DDS demands","Known Flow","586166.584169","124241.441310","","0.000000","","-3.370000","","","","-3.013514","-3.370000","","","","D1 PROFILE","","",""
"96123700000178","Nodes","","21.000000","36.877168","DDS demands","Known Flow","586183.450474","124287.188275","","0.000000","","-0.270000","","","","-0.241438","-0.270000","","","","D1 PROFILE","","",""
"96123700000180","Nodes","","21.000000","36.877476","Default Known Flow Node","Known Flow","586184.204026","124289.079294","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000179","Nodes","","21.000000","36.828223","DDS demands","Known Flow","586188.660893","124299.434956","","0.000000","","-1.649999","","","","-1.475459","-1.649999","","","","D1 PROFILE","","",""
"96123700000181","Nodes","Hobbs Lane RYE DG, SITE ID 7525","21.000000","37.000000","Default Known Pressure Node","Known Pressure","586198.000651","124292.716884","","9999.989670","","","","","","75.838621","84.809997","","","","","","",""
"96123700000182","Nodes","","21.000000","36.693083","Default Known Flow Node","Known Flow","586194.625229","124302.712064","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000183","Nodes","","21.000000","35.402797","Default Known Flow Node","Known Flow","586219.367396","124362.715913","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000194","Nodes","","21.000000","35.321160","DDS demands","Known Flow","586221.202576","124366.386274","","0.000000","","-6.659999","","","","-5.955491","-6.659999","","","","D1 PROFILE","","",""
"96123700000184","Nodes","","21.000000","34.891621","Default Known Flow Node","Known Flow","586236.286142","124391.292877","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000192","Nodes","","21.000000","34.845667","Default Known Flow Node","Known Flow","586237.437677","124394.190288","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000185","Nodes","","21.000000","34.680807","DDS demands","Known Flow","586245.625432","124426.283164","","0.000000","","-1.159999","","","","-1.037292","-1.159999","","","","D1 PROFILE","","",""
"96123700000186","Nodes","","21.000000","34.555793","DDS demands","Known Flow","586241.638311","124429.077288","","0.000000","","-5.559999","","","-13.579999","-17.115329","-19.139998","","","","D1 PROFILE","","","I2 PROFILE"
"96123700000188","Nodes","","21.000000","34.377369","Default Known Flow Node","Known Flow","586253.131856","124456.686595","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000187","Nodes","","21.000000","33.846421","DDS demands","Known Flow","586301.555148","124522.468370","","0.000000","","-10.830000","","","","-9.684380","-10.830000","","","","D1 PROFILE","","",""
"96123700000189","Nodes","","21.000000","34.377369","Default Known Flow Node","Known Flow","586249.007068","124458.892211","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000191","Nodes","P00049433, Hobbs Lane, Con 13 22.62","24.000000","34.822752","CSEP DDS Matched","Known Flow","586238.273469","124395.954738","","0.000000","","","-13.569999","","","-20.227208","-22.620000","","","","","DC PROFILE","",""
"96123700000190","Nodes","","21.000000","34.822752","Default Known Flow Node","Known Flow","586229.718894","124398.833940","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000193","Nodes","","21.000000","34.686873","DDS demands","Known Flow","586284.158437","124381.495540","","0.000000","","-7.479999","","","","-6.688749","-7.479999","","","","D1 PROFILE","","",""
"96123700000195","Nodes","","21.000000","35.156702","DDS demands","Known Flow","586201.081132","124277.838813","","0.000000","","-4.770000","","","","-4.265419","-4.770000","","","","D1 PROFILE","","",""
"96123700000001","Nodes","","21.000000","34.822752","Default Known Flow Node","Known Flow","586237.047641","124395.341824","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000002","Nodes","","21.000000","40.609704","Default Known Flow Node","Known Flow","588895.278842","122522.283219","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000003","Nodes","","21.000000","40.609704","Default Known Flow Node","Known Flow","588897.714039","122493.580669","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123700000006","Nodes","","21.000000","53.613397","Default Known Flow Node","Known Flow","589027.146189","122633.406729","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
