"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-PL)"
"96106005007035","Nodes","5007035","21.000000","28.473881","DDS demands","Known Flow","607748.668529","140028.629313","","0.000000","","","-3.479999","","-3.111878","-3.479999","","","","","D1 PROFILE",""
"96106005007034","Nodes","5007034","21.000000","29.899919","DDS demands","Known Flow","607805.199544","140246.658372","","0.000000","","","-3.020000","","-2.700538","-3.020000","","","","","D1 PROFILE",""
"96106005007094","Nodes","-184520","21.000000","29.461146","Default Known Flow Node","Known Flow","607928.027577","140271.782379","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007076","Nodes","-182198","21.000000","33.235834","Default Known Flow Node","Known Flow","607882.176565","140449.023427","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007077","Nodes","-182199","21.000000","33.250201","Default Known Flow Node","Known Flow","607903.718571","140431.373423","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007029","Nodes","5007029","21.000000","33.217879","DDS demands","Known Flow","607913.970574","140447.217427","","0.000000","","","-2.710000","","-2.423330","-2.710000","","","","","D1 PROFILE",""
"96106005007032","Nodes","5007032","21.000000","33.185553","DDS demands","Known Flow","607958.686586","140279.742381","","0.000000","","","-3.920000","","-3.505334","-3.920000","","","","","D1 PROFILE",""
"96106005007016","Nodes","5007016","21.000000","34.217608","DDS demands","Known Flow","607996.120596","140437.162424","","0.000000","","","-55.700000","","-49.807937","-55.700000","","","","","D1 PROFILE",""
"96106005007087","Nodes","-184506","21.000000","28.858784","Default Known Flow Node","Known Flow","607438.910444","139908.621280","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007090","Nodes","-184511","21.000000","28.590629","Default Known Flow Node","Known Flow","607679.930510","140084.015328","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007046","Nodes","5007046","21.000000","28.507132","Default Known Flow Node","Known Flow","607717.121520","140040.954316","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007047","Nodes","5007047","21.000000","28.479815","Default Known Flow Node","Known Flow","607744.559527","140034.281315","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007092","Nodes","-184516","21.000000","28.391825","Default Known Flow Node","Known Flow","607782.545538","140061.352322","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007093","Nodes","-184518","21.000000","28.473881","Default Known Flow Node","Known Flow","607817.502547","140013.198309","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007082","Nodes","-182212","21.000000","31.578093","Default Known Flow Node","Known Flow","608046.835610","140162.442349","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007079","Nodes","-182205","21.000000","33.912921","Default Known Flow Node","Known Flow","607985.970477","140316.626512","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007081","Nodes","-182209","21.000000","33.869402","Default Known Flow Node","Known Flow","608020.210563","140349.586570","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000006503","Nodes","","21.000000","34.410667","Default Known Flow Node","Known Flow","607999.626597","140445.278426","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007056","Nodes","-163692","21.000000","28.509347","Default Known Flow Node","Known Flow","608243.992663","140152.430347","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007030","Nodes","5007030","21.000000","34.376999","DDS demands","Known Flow","608084.131620","140427.157422","","0.000000","","","-3.440000","","-3.076109","-3.440000","","","","","D1 PROFILE",""
"96106005007085","Nodes","-182225","21.000000","36.233063","Default Known Flow Node","Known Flow","608202.437652","140370.005406","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007086","Nodes","-182226","21.000000","36.225628","Default Known Flow Node","Known Flow","608204.067652","140479.367436","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007083","Nodes","-182214","21.000000","32.366040","Default Known Flow Node","Known Flow","608063.561859","140254.399512","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007039","Nodes","5007039","21.000000","28.825841","DDS demands","Known Flow","608273.716950","140311.411434","","0.000000","","","-22.919999","","-20.495474","-22.919999","","","","","D1 PROFILE",""
"96106005007058","Nodes","-163697","21.000000","28.824695","Default Known Flow Node","Known Flow","608274.760672","140313.476391","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007040","Nodes","5007040","21.000000","28.732184","DDS demands","Known Flow","608374.254699","140267.507378","","0.000000","","","-11.530000","","-10.310332","-11.530000","","","","","D1 PROFILE",""
"96106005007060","Nodes","-163702","21.000000","28.732184","Default Known Flow Node","Known Flow","608385.049702","140272.556379","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007061","Nodes","-163703","21.000000","28.556616","Default Known Flow Node","Known Flow","608390.129038","140204.354591","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007080","Nodes","-182208","21.000000","31.995170","Default Known Flow Node","Known Flow","607999.589589","140195.217086","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007031","Nodes","5007031","21.000000","33.869402","DDS demands","Known Flow","608070.156522","140331.844770","","0.000000","","","-8.079999","","-7.225280","-8.079999","","","","","D1 PROFILE",""
"96106005007033","Nodes","5007033","21.000000","31.951509","DDS demands","Known Flow","608050.230611","140202.470360","","0.000000","","","-14.069999","","-12.581645","-14.069999","","","","","D1 PROFILE",""
"96106005007084","Nodes","-182218","21.000000","33.869402","Default Known Flow Node","Known Flow","608094.321623","140312.903390","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007043","Nodes","5007043","21.000000","28.102600","DDS demands","Known Flow","608809.804817","140171.707352","","0.000000","","","-0.399999","","-0.357687","-0.399999","","","","","D1 PROFILE",""
"96106005007063","Nodes","-163707","21.000000","28.203277","Default Known Flow Node","Known Flow","608588.070757","140046.579318","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007065","Nodes","-163709","21.000000","28.247282","Default Known Flow Node","Known Flow","608620.011766","140079.151327","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007064","Nodes","-163708","21.000000","28.203277","Default Known Flow Node","Known Flow","608593.998759","140041.485317","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007068","Nodes","-163716","21.000000","28.102600","Default Known Flow Node","Known Flow","608813.714818","140168.422351","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007070","Nodes","-163718","21.000000","27.970565","Default Known Flow Node","Known Flow","608844.558827","140206.800362","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007069","Nodes","-163717","21.000000","27.970565","Default Known Flow Node","Known Flow","608840.836826","140210.113362","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007071","Nodes","-163719","21.000000","27.838579","Default Known Flow Node","Known Flow","608889.891701","140270.894542","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007078","Nodes","-182202","21.000000","33.043423","Default Known Flow Node","Known Flow","607937.603580","140503.046442","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007038","Nodes","5007038","21.000000","27.975350","DDS demands","Known Flow","608363.395696","140539.534452","","0.000000","","","-13.100000","","-11.714255","-13.100000","","","","","D1 PROFILE",""
"96106005007015","Nodes","5007015","21.000000","36.398807","DDS demands","Known Flow","608024.651782","140524.745094","","0.000000","","","-10.329999","","-9.237270","-10.329999","","","","","D1 PROFILE",""
"96106005007057","Nodes","-163693","21.000000","37.551774","Default Known Flow Node","Known Flow","608247.509664","140510.698444","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007052","Nodes","-163684","21.000000","39.376957","Default Known Flow Node","Known Flow","608127.543781","140583.991598","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007023","Nodes","5007023","21.000000","39.333806","DDS demands","Known Flow","608108.695133","140662.064723","","0.000000","","","-11.799999","","-10.551771","-11.799999","","","","","D1 PROFILE",""
"96106005007059","Nodes","-163699","21.000000","37.979600","Default Known Flow Node","Known Flow","608349.123692","140605.251470","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007027","Nodes","5007027","21.000000","38.022825","DDS demands","Known Flow","608278.448673","140592.650467","","0.000000","","","-1.190000","","-1.064119","-1.190000","","","","","D1 PROFILE",""
"96106005007011","Nodes","5007011","21.000000","39.593343","DDS demands","Known Flow","608064.191614","140642.441480","","0.000000","","","-3.920000","","-3.505334","-3.920000","","","","","D1 PROFILE",""
"96106005007001","Nodes","Lees Road DG, Constant, Site ID 6501","21.000000","40.000000","Default Known Pressure Node","Known Pressure","608068.238616","140656.680484","","1899.999973","","","","","506.663855","566.599993","","","","","",""
"96106005007050","Nodes","-163678","21.000000","37.244636","Default Known Flow Node","Known Flow","608031.110605","140556.544457","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007051","Nodes","-163682","21.000000","39.460891","Default Known Flow Node","Known Flow","608085.028477","140670.189672","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007024","Nodes","5007024","21.000000","39.100315","DDS demands","Known Flow","608162.541641","140635.035478","","0.000000","","","-2.019999","","-1.806320","-2.019999","","","","","D1 PROFILE",""
"96106005007025","Nodes","5007025","21.000000","38.900026","DDS demands","Known Flow","608186.146648","140597.526468","","0.000000","","","-12.189999","","-10.900516","-12.189999","","","","","D1 PROFILE",""
"96106005007053","Nodes","-163687","21.000000","38.900026","Default Known Flow Node","Known Flow","608188.532648","140574.750462","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007054","Nodes","-163688","21.000000","38.851726","Default Known Flow Node","Known Flow","608200.310449","140583.698617","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007055","Nodes","-163691","21.000000","38.808542","Default Known Flow Node","Known Flow","608229.577659","140642.546480","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007012","Nodes","5007012","21.000000","38.831013","DDS demands","Known Flow","608206.383653","140577.769462","","0.000000","","","-11.649999","","-10.417637","-11.649999","","","","","D1 PROFILE",""
"96106005007013","Nodes","5007013","21.000000","38.066883","DDS demands","Known Flow","608256.039667","140547.647454","","0.000000","","","-24.600000","","-21.997761","-24.600000","","","","","D1 PROFILE",""
"96106005007062","Nodes","-163705","21.000000","27.548372","DDS demands","Known Flow","608466.866474","140677.427788","","0.000000","-6.000000","","","","-5.365307","-6.000000","","","C2 PROFILE","","",""
"96106005007075","Nodes","-1642794","21.000000","29.853756","DDS demands","Known Flow","607717.176520","140226.399367","","0.000000","","-4.070000","","","-3.639466","-4.070000","","","","C4 PROFILE","",""
"96106005007074","Nodes","-1642793","21.000000","29.809849","Default Known Flow Node","Known Flow","607671.568508","140217.894365","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007095","Nodes","-3694501","21.000000","28.983849","Default Known Flow Node","Known Flow","608234.795661","140254.298374","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000003","Nodes","","21.000000","28.686573","Default Known Flow Node","Known Flow","607072.861345","140092.050330","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000004","Nodes","","21.000000","28.642617","Default Known Flow Node","Known Flow","607215.310383","140057.952321","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000008","Nodes","","21.000000","28.902892","Default Known Flow Node","Known Flow","607558.907098","140027.531194","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000009","Nodes","","21.000000","28.556258","DDS demands","Known Flow","607682.036510","140081.153327","","0.000000","-44.279999","","","","-39.595968","-44.279999","","","C2 PROFILE","","",""
"96106000000010","Nodes","","21.000000","28.556258","Default Known Flow Node","Known Flow","607685.743511","140087.404329","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000023","Nodes","","21.000000","33.912921","Default Known Flow Node","Known Flow","607985.728593","140316.266391","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000025","Nodes","","21.000000","31.995170","Default Known Flow Node","Known Flow","607999.201597","140194.079358","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000026","Nodes","","21.000000","31.995170","Default Known Flow Node","Known Flow","608021.059603","140185.916356","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000027","Nodes","","21.000000","31.578093","Default Known Flow Node","Known Flow","608045.110609","140162.757350","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000029","Nodes","","21.000000","39.455701","Default Known Flow Node","Known Flow","608085.610620","140671.086488","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000033","Nodes","","21.000000","28.983849","Default Known Flow Node","Known Flow","608233.161660","140254.820375","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000037","Nodes","","21.000000","32.152904","Default Known Flow Node","Known Flow","608077.528618","140249.056373","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000039","Nodes","","21.000000","39.339038","Default Known Flow Node","Known Flow","608107.968626","140662.277485","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000046","Nodes","","21.000000","29.027729","Default Known Flow Node","Known Flow","608170.236643","140288.150384","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000028","Nodes","","21.000000","31.578093","Default Known Flow Node","Known Flow","608055.121612","140159.059349","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000051","Nodes","","21.000000","31.578093","Default Known Flow Node","Known Flow","608064.779615","140157.004348","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000062","Nodes","","21.000000","28.928018","Default Known Flow Node","Known Flow","608244.879568","140270.602733","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000063","Nodes","","21.000000","28.752545","Default Known Flow Node","Known Flow","608299.599678","140238.823370","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000065","Nodes","","21.000000","29.636586","Default Known Flow Node","Known Flow","607832.015551","140203.488361","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000076","Nodes","","21.000000","29.637152","DDS demands","Known Flow","607972.798590","140116.280337","","0.000000","","","-18.370000","","-16.426783","-18.370000","","","","","D1 PROFILE",""
"96106000000024","Nodes","","21.000000","33.869402","Default Known Flow Node","Known Flow","608018.622602","140350.156401","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000079","Nodes","","21.000000","32.375309","Default Known Flow Node","Known Flow","608061.988614","140255.001375","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000083","Nodes","","21.000000","28.017198","Default Known Flow Node","Known Flow","608668.695779","139986.592302","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000092","Nodes","","21.000000","28.688283","Default Known Flow Node","Known Flow","608431.927714","140285.112383","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000040","Nodes","","21.000000","39.376957","Default Known Flow Node","Known Flow","608128.089632","140584.631464","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000098","Nodes","","21.000000","28.556616","Default Known Flow Node","Known Flow","608390.197703","140204.501361","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000096","Nodes","","21.000000","27.838579","Default Known Flow Node","Known Flow","608890.492839","140271.639379","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106000000093","Nodes","","21.000000","27.548372","Default Known Flow Node","Known Flow","608507.954735","140730.947504","","0.000000","","","","","0.000000","0.000000","","","","","",""
