"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"96120509703483","Nodes","-310285","21.000000","47.885102","Default Known Flow Node","Known Flow","573686.525000","123378.182812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703476","Nodes","-310278","21.000000","48.488727","DDS demands","Known Flow","573663.775000","123134.800000","","0.000000","","","-3.059999","","-2.736306","-3.059999","","","","","D1 PROFILE",""
"96120509703410","Nodes","9703410","21.000000","48.575826","DDS demands","Known Flow","573766.900000","123294.300000","","0.000000","","","-15.429999","","-13.797781","-15.429999","","","","","D1 PROFILE",""
"96120509703488","Nodes","-310294","21.000000","48.591578","Default Known Flow Node","Known Flow","573771.775000","123297.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703409","Nodes","9703409","21.000000","48.769655","DDS demands","Known Flow","573792.775000","123361.932812","","0.000000","","","-6.510000","","-5.821358","-6.510000","","","","","D1 PROFILE",""
"96120509703486","Nodes","-310290","21.000000","48.643758","Default Known Flow Node","Known Flow","573764.150000","123368.682812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703492","Nodes","-310301","21.000000","48.719029","DDS demands","Known Flow","573813.525000","123464.682812","","0.000000","","-6.040000","-24.809998","","-27.586621","-30.849998","","","","C4 PROFILE","D1 PROFILE",""
"96120509703502","Nodes","-317001","21.000000","46.286432","Default Known Flow Node","Known Flow","571952.150000","123621.050000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703501","Nodes","-317000","21.000000","45.827062","DDS demands","Known Flow","571951.025000","123684.300000","","0.000000","","","-7.020000","","-6.277409","-7.020000","","","","","D1 PROFILE",""
"96120509703503","Nodes","-317002","21.000000","46.362797","Default Known Flow Node","Known Flow","571975.275000","123547.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703500","Nodes","-316999","21.000000","46.345832","DDS demands","Known Flow","571905.775000","123545.550000","","0.000000","","","-1.879999","","-1.681129","-1.879999","","","","","D1 PROFILE",""
"96120509703427","Nodes","9703427","21.000000","46.362817","DDS demands","Known Flow","571978.150000","123547.550000","","0.000000","","","-14.990000","","-13.404326","-14.990000","","","","","D1 PROFILE",""
"96120509703426","Nodes","9703426","21.000000","46.444237","DDS demands","Known Flow","572089.900000","123525.050000","","0.000000","","","-9.720000","","-8.691797","-9.720000","","","","","D1 PROFILE",""
"96120509703504","Nodes","-317005","21.000000","46.367510","Default Known Flow Node","Known Flow","572101.650000","123583.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703505","Nodes","-317006","21.000000","45.969570","DDS demands","Known Flow","572129.650000","123668.300000","","0.000000","","","-8.380000","","-7.493546","-8.380000","","","","","D1 PROFILE",""
"96120509703424","Nodes","9703424","21.000000","47.354060","DDS demands","Known Flow","572509.025000","123531.182812","","0.000000","","","-20.980000","","-18.760691","-20.980000","","","","","D1 PROFILE",""
"96120509703430","Nodes","-310218","21.000000","47.059032","DDS demands","Known Flow","572657.525000","123512.550000","","0.000000","","","-10.729999","","-9.594957","-10.729999","","","","","D1 PROFILE",""
"96120509703433","Nodes","-310223","21.000000","47.194497","Default Known Flow Node","Known Flow","572982.775000","123601.300000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703428","Nodes","-1086684","21.000000","47.194497","Default Known Flow Node","Known Flow","572980.650000","123613.682812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703418","Nodes","9703418","21.000000","46.618085","DDS demands","Known Flow","573242.150000","123562.682812","","0.000000","","","-22.620000","","-20.227208","-22.620000","","","","","D1 PROFILE",""
"96120509703421","Nodes","9703421","21.000000","46.856326","DDS demands","Known Flow","573021.275000","123500.800000","","0.000000","-6.249999","","-19.730000","","-23.231782","-25.980000","","","C2 PROFILE","","D1 PROFILE",""
"96120509703439","Nodes","-310232","21.000000","46.977654","Default Known Flow Node","Known Flow","573212.525000","123641.432812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703436","Nodes","-310228","21.000000","47.188616","Default Known Flow Node","Known Flow","573154.025000","123668.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703441","Nodes","-310235","21.000000","46.977654","Default Known Flow Node","Known Flow","573222.025000","123634.300000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703419","Nodes","9703419","21.000000","46.977654","DDS demands","Known Flow","573222.400000","123632.800000","","0.000000","","","-11.029999","","-9.863223","-11.029999","","","","","D1 PROFILE",""
"96120509703451","Nodes","-310248","21.000000","44.453257","DDS demands","Known Flow","573315.150000","123537.432812","","0.000000","","","-15.819999","","-14.146526","-15.819999","","","","","D1 PROFILE",""
"96120509703443","Nodes","-310238","21.000000","46.617818","Default Known Flow Node","Known Flow","573241.650000","123564.300000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703405","Nodes","9703405","21.000000","49.038259","DDS demands","Known Flow","573774.775000","123584.432812","","0.000000","","","-3.589999","","-3.210242","-3.589999","","","","","D1 PROFILE",""
"96120509703403","Nodes","9703403","21.000000","49.104596","DDS demands","Known Flow","573771.150000","123631.800000","","0.000000","","","-18.979998","","-16.972255","-18.979998","","","","","D1 PROFILE",""
"96120509703408","Nodes","9703408","21.000000","47.468278","DDS demands","Known Flow","573533.150000","123518.182812","","0.000000","","","-11.449999","","-10.238795","-11.449999","","","","","D1 PROFILE",""
