"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"96109905706047","Nodes","-441138","21.000000","30.109137","Default Known Flow Node","Known Flow","592670.170000","145587.305000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706044","Nodes","-441134","21.000000","27.984926","DDS demands","Known Flow","592633.045000","145716.055000","","0.000000","","-2.970000","","-2.655827","-2.970000","","","","D1 PROFILE",""
"96109905706042","Nodes","-441132","21.000000","28.433679","DDS demands","Known Flow","592623.045000","145632.055000","","0.000000","","-6.710000","","-6.000202","-6.710000","","","","D1 PROFILE",""
"96109905706041","Nodes","-441131","21.000000","28.250868","DDS demands","Known Flow","592600.295000","145610.805000","","0.000000","","-4.070000","","-3.639466","-4.070000","","","","D1 PROFILE",""
"96109905706043","Nodes","-441133","21.000000","28.614450","DDS demands","Known Flow","592632.795000","145632.430000","","0.000000","","-3.190000","","-2.852555","-3.190000","","","","D1 PROFILE",""
"96109905706048","Nodes","-441139","21.000000","29.592223","DDS demands","Known Flow","592681.920000","145614.555000","","0.000000","","-2.939999","","-2.629000","-2.939999","","","","D1 PROFILE",""
"96109905706022","Nodes","5706022","21.000000","28.484605","DDS demands","Known Flow","592660.170000","145681.555000","","0.000000","","-1.100000","","-0.983639","-1.100000","","","","D1 PROFILE",""
"96109905706023","Nodes","5706023","21.000000","30.749779","DDS demands","Known Flow","592685.295000","145562.680000","","0.000000","","-3.309999","","-2.959861","-3.309999","","","","D1 PROFILE",""
"96109900000001","Nodes","","21.000000","23.793011","DDS demands","Known Flow","592111.111468","144561.279642","","0.000000","-6.000000","-6.999999","","-11.624833","-13.000000","","","C4 PROFILE","D1 PROFILE",""
"961099-5706024","Nodes","-352506","21.000000","24.364037","Default Known Flow Node","Known Flow","591879.545000","144766.555000","","0.000000","","","","0.000000","0.000000","","","","",""
