"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96108900002053","Nodes","","21.000000","29.535723","DDS demands","Known Flow","612302.564767","160610.313913","","0.000000","","","-4.429999","","-16.639999","","","-18.841171","-21.069999","","","","","C3 PROFILE","","D1 PROFILE","",""
"96108900002054","Nodes","","21.000000","23.147817","DDS demands","Known Flow","612150.057726","161213.446078","","0.000000","","","","","-17.589999","","","-15.729293","-17.589999","","","","","","","D1 PROFILE","",""
"96108900002058","Nodes","Tyler Hill Road, Westfield, RRI","21.000000","35.999999","Default Known Pressure Node","Known Pressure","612232.182748","160783.445961","","509.999995","","","","","","","","235.277681","263.110005","","","","","","","","",""
"96108900002067","Nodes","","21.000000","26.847299","DDS demands","Known Flow","612309.077769","161105.628048","","0.000000","","","","","-8.899999","","","-7.958538","-8.899999","","","","","","","D1 PROFILE","",""
"96108900002061","Nodes","P00109080, 21 School Lane, -11.26","22.999998","28.665399","CSEP DDS Matched","Known Flow","612320.472743","160956.464900","","0.000000","","","","","-15.520000","-11.260000","","-23.947155","-26.780000","","","","","","","D1 PROFILE","DC PROFILE",""
"96108900002062","Nodes","","21.000000","28.665399","Default Known Flow Node","Known Flow","612319.456772","160956.430008","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002064","Nodes","","21.000000","22.855924","Default Known Flow Node","Known Flow","612125.557719","160837.445975","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002065","Nodes","","21.000000","29.356875","DDS demands","Known Flow","612069.182704","160988.446016","","0.000000","","","","","-13.499999","","","-12.071941","-13.499999","","","","","","","D1 PROFILE","",""
"96108900002066","Nodes","","21.000000","28.374447","DDS demands","Known Flow","612111.932715","161036.696030","","0.000000","","","","","-14.340000","","","-12.823084","-14.340000","","","","","","","D1 PROFILE","",""
"96108900002068","Nodes","","21.000000","26.715276","Default Known Flow Node","Known Flow","612385.429790","161120.777052","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002069","Nodes","","21.000000","26.715276","Default Known Flow Node","Known Flow","612389.630791","161148.037060","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002016","Nodes","","21.000000","26.516397","Default Known Flow Node","Known Flow","612305.557768","161108.446049","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002070","Nodes","","21.000000","26.516397","Default Known Flow Node","Known Flow","612305.807768","161107.946049","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002071","Nodes","","21.000000","23.103540","Default Known Flow Node","Known Flow","612174.307732","161276.696095","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002012","Nodes","","21.000000","21.096769","DDS demands","Known Flow","611461.182538","161969.196283","","0.000000","","","","","-56.199999","","","-50.255047","-56.199999","","","","","","","D1 PROFILE","",""
"96108900002018","Nodes","","21.000000","23.652551","Default Known Flow Node","Known Flow","612206.057741","161155.196062","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002023","Nodes","","21.000000","29.771712","DDS demands","Known Flow","612314.182771","160659.570927","","0.000000","","","","","-6.500000","","","-5.812416","-6.500000","","","","","","","D1 PROFILE","",""
"96108900002027","Nodes","Westfeild, Blean, RRI","21.000000","22.999999","Default Known Pressure Node","Known Pressure","612165.432730","160841.445976","","509.999995","","","","","","","","20.647491","23.090000","","","","","","","","",""
"96108900002042","Nodes","","21.000000","27.897496","Default Known Flow Node","Known Flow","612303.954599","161000.087595","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002048","Nodes","","21.000000","29.495931","DDS demands","Known Flow","612264.814757","160683.563933","","0.000000","","","","","-16.309999","","","-14.584693","-16.309999","","","","","","","D1 PROFILE","",""
"96108900002028","Nodes","","21.000000","31.606001","Default Known Flow Node","Known Flow","612327.557774","160821.445971","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002050","Nodes","","21.000000","28.012550","Default Known Flow Node","Known Flow","612320.015426","160999.201689","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002006","Nodes","P00107350, 66 Rear of Blean Common, 1006518, -2.58","21.000000","29.225175","CSEP DDS Matched","Known Flow","612156.790942","160876.097459","","0.000000","","","","","-7.089999","-2.580000","","-8.647087","-9.670000","","","","","","","D1 PROFILE","DC PROFILE",""
"96108900002008","Nodes","","21.000000","29.133777","DDS demands","Known Flow","611846.486358","161199.531215","","0.000000","","","","","-8.699999","","","-7.779695","-8.699999","","","","","","","D1 PROFILE","",""
"96108900002056","Nodes","","21.000000","22.733886","DDS demands","Known Flow","612075.557706","161156.196062","","0.000000","","","","","-16.030001","","","-14.334314","-16.030001","","","","","","","D1 PROFILE","",""
"96108900102332","Nodes","","21.000000","35.877098","Default Known Flow Node","Known Flow","613898.855305","159774.328709","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
