"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64402900003014","Nodes","-263253",21.000000,24.208312,"Default Known Flow Node","Known Flow",280965.969247,680762.896171,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000432","Nodes","432",21.000000,21.902256,"DDS demands","Known Flow",280680.842531,680984.087512,,0.000000,,,,-3.749999,,,,,-3.353317,-3.749999,,"",,,,"D1 PROFILE",,,,
"64402900000433","Nodes","433",21.000000,21.763707,"DDS demands","Known Flow",280641.842521,680951.212503,,0.000000,,,,-4.730000,,,,,-4.229650,-4.730000,,"",,,,"D1 PROFILE",,,,
"64402900000227","Nodes","227",21.000000,24.084013,"DDS demands","Known Flow",280920.217597,680995.712515,,0.000000,,,,-2.119999,,,,,-1.895741,-2.119999,,"",,,,"D1 PROFILE",,,,
"64402900000208","Nodes","208",21.000000,24.011086,"DDS demands","Known Flow",280923.092597,680987.712512,,0.000000,,,,-2.009999,,,,,-1.797377,-2.009999,,"",,,,"D1 PROFILE",,,,
"64402900000436","Nodes","436",21.000000,21.265591,"DDS demands","Known Flow",280680.842531,680902.587489,,0.000000,,,,-6.439999,,,,,-5.758763,-6.439999,,"",,,,"D1 PROFILE",,,,
"64402900000205","Nodes","205",21.000000,24.168930,"DDS demands","Known Flow",280928.217599,680929.462497,,0.000000,,,,-4.249999,,,,,-3.800425,-4.249999,,"",,,,"D1 PROFILE",,,,
"64402900000204","Nodes","204",21.000000,24.237252,"DDS demands","Known Flow",280959.092607,680939.212499,,0.000000,,,,-3.759999,,,,,-3.362259,-3.759999,,"",,,,"D1 PROFILE",,,,
"64402900000203","Nodes","203",21.000000,24.235359,"DDS demands","Known Flow",280957.092607,680947.462502,,0.000000,,,,-1.779999,,,,,-1.591707,-1.779999,,"",,,,"D1 PROFILE",,,,
"64402900003100","Nodes","-593745",21.000000,24.235359,"Default Known Flow Node","Known Flow",280959.342607,680948.087502,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003099","Nodes","-593743",21.000000,24.235359,"Default Known Flow Node","Known Flow",280954.217606,680946.087501,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
