"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"644002-79","Nodes","-79","21.000000","43.269553","Default Known Flow Node","Known Flow","270939.625000","677926.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-583","Nodes","-583","21.000000","35.184886","Default Known Flow Node","Known Flow","272212.125000","677662.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000913","Nodes","913","21.000000","34.775439","Default Known Flow Node","Known Flow","272252.593750","677690.562500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-598","Nodes","-598","21.000000","34.710482","Default Known Flow Node","Known Flow","272258.875000","677692.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000750","Nodes","750","21.000000","35.894929","Default Known Flow Node","Known Flow","272135.000000","677648.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000915","Nodes","915","21.000000","35.916353","DDS demands","Known Flow","272129.343750","677648.937500","0.000000","","","","","","-15.030000","","","","","","","","-13.440095","-15.030000","","","","","","","D1 PROFILE","","","","","","",""
"64400200000749","Nodes","749","21.000000","36.053445","Default Known Flow Node","Known Flow","272111.250000","677643.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000995","Nodes","995","21.000000","43.189075","Default Known Flow Node","Known Flow","270888.625517","677944.410916","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000087","Nodes","87","21.000000","35.726370","Default Known Flow Node","Known Flow","270801.000000","677906.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000994","Nodes","994","21.000000","35.812733","Default Known Flow Node","Known Flow","270859.656250","677934.812500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000051","Nodes","51","21.000000","42.131023","DDS demands","Known Flow","271548.875000","678098.500000","0.000000","","","","-6.000000","","","","","","","","","","-5.365307","-6.000000","","","","","C4 PROFILE","","","","","","","","",""
"644002-14","Nodes","-14","21.000000","24.419110","Default Known Flow Node","Known Flow","269454.500000","677444.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462774","Nodes","-1462774","21.000000","24.419110","Default Known Flow Node","Known Flow","269453.375000","677443.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000863","Nodes","863","21.000000","24.428325","Default Known Flow Node","Known Flow","269460.875000","677449.375000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-17","Nodes","-17","21.000000","24.428325","Default Known Flow Node","Known Flow","269456.000000","677467.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000122","Nodes","122","21.000000","24.418711","DDS demands","Known Flow","269455.750000","677442.375000","0.000000","","","","","","-4.090000","","","","","","","","-3.657351","-4.090000","","","","","","","D1 PROFILE","","","","","","",""
"64400200000121","Nodes","","21.000000","24.313766","DDS demands","Known Flow","269397.260020","677378.620662","0.000000","","","","","","-8.879999","","","","","","","","-7.940654","-8.879999","","","","","","","D1 PROFILE","","","","","","",""
"64400200000861","Nodes","","21.000000","24.217587","Default Known Flow Node","Known Flow","269361.716554","677326.494556","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000111","Nodes","","21.000000","24.092274","DDS demands","Known Flow","269288.801921","677364.272225","0.000000","","","","","","-15.330000","","","","","","","","-13.708360","-15.330000","","","","","","","D1 PROFILE","","","","","","",""
"64400200000862","Nodes","","21.000000","24.090502","DDS demands","Known Flow","269274.244142","677409.441903","0.000000","","","","","","-1.019999","","","","","","","","-0.912102","-1.019999","","","","","","","D1 PROFILE","","","","","","",""
"644002-1462656","Nodes","","21.000000","24.090502","Default Known Flow Node","Known Flow","269276.269246","677445.556250","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462882","Nodes","-1462882","21.000000","24.428325","Default Known Flow Node","Known Flow","269465.375000","677468.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000628","Nodes","628","21.000000","24.048728","DDS demands","Known Flow","269539.000000","677494.500000","0.000000","","","","","","-6.989999","","","","","","","","-6.250582","-6.989999","","","","","","","D1 PROFILE","","","","","","",""
"644002-21","Nodes","-21","21.000000","24.028277","Default Known Flow Node","Known Flow","269547.750000","677498.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000604","Nodes","604","21.000000","29.503941","DDS demands","Known Flow","269513.500000","677053.000000","0.000000","","","","","","-7.349999","","","","","","","","-6.572501","-7.349999","","","","","","","D1 PROFILE","","","","","","",""
"64400200000789","Nodes","789","21.000000","29.547507","Default Known Flow Node","Known Flow","269444.875000","677075.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000123","Nodes","123","21.000000","24.537614","Default Known Flow Node","Known Flow","269547.750000","677475.500000","0.000000","","","","-3.859999","","-5.719999","","","","","","","","-8.566606","-9.579999","","","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"644002-3","Nodes","-3","21.000000","29.496371","Default Known Flow Node","Known Flow","269886.250000","677255.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-19","Nodes","-19","21.000000","24.682124","Default Known Flow Node","Known Flow","269573.500000","677475.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-16","Nodes","-16","21.000000","24.462160","Default Known Flow Node","Known Flow","269560.375000","677453.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-4","Nodes","-4","21.000000","29.504479","Default Known Flow Node","Known Flow","269898.875000","677261.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462906","Nodes","-1462906","21.000000","29.496371","Default Known Flow Node","Known Flow","269888.000000","677256.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462873","Nodes","-1462873","21.000000","29.504479","Default Known Flow Node","Known Flow","269897.625000","677261.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-28","Nodes","-28","21.000000","23.278058","Default Known Flow Node","Known Flow","269349.000000","677535.375000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000112","Nodes","112","21.000000","23.195665","DDS demands","Known Flow","269365.875000","677560.000000","0.000000","","","","","","-24.680000","","","","","","","","-22.069298","-24.680000","","","","","","","D1 PROFILE","","","","","","",""
"644002-25","Nodes","-25","21.000000","23.170775","Default Known Flow Node","Known Flow","269373.875000","677523.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-29","Nodes","-29","21.000000","23.568146","Default Known Flow Node","Known Flow","269379.250000","677537.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-22","Nodes","-22","21.000000","23.356716","Default Known Flow Node","Known Flow","269444.625000","677506.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462988","Nodes","-1462988","21.000000","23.356716","Default Known Flow Node","Known Flow","269431.000000","677523.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-23","Nodes","-23","21.000000","23.422640","Default Known Flow Node","Known Flow","269470.750000","677506.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-26","Nodes","-26","21.000000","23.422640","Default Known Flow Node","Known Flow","269468.750000","677524.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000286","Nodes","286","21.000000","22.984729","DDS demands","Known Flow","269334.750000","677655.000000","0.000000","","","","","","-4.889999","","","","","","","","-4.372725","-4.889999","","","","","","","D1 PROFILE","","","","","","",""
"64400200000287","Nodes","287","21.000000","22.553306","DDS demands","Known Flow","269457.750000","677667.000000","0.000000","","","","","","-13.659999","","","","","","","","-12.215016","-13.659999","","","","","","","D1 PROFILE","","","","","","",""
"644002-1462887","Nodes","-1462887","21.000000","23.347327","Default Known Flow Node","Known Flow","269372.500000","677550.375000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462645","Nodes","-1462645","21.000000","23.568146","Default Known Flow Node","Known Flow","269387.000000","677537.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462529","Nodes","-1462529","21.000000","23.422640","Default Known Flow Node","Known Flow","269456.375000","677523.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-1462534","Nodes","-1462534","21.000000","23.908174","Default Known Flow Node","Known Flow","269472.625000","677525.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-24","Nodes","-24","21.000000","23.554482","Default Known Flow Node","Known Flow","269526.875000","677520.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000629","Nodes","629","21.000000","21.532937","DDS demands","Known Flow","269734.250000","677570.375000","0.000000","","","","","","-15.959999","","","","","","","","-14.271717","-15.959999","","","","","","","D1 PROFILE","","","","","","",""
"64400200000635","Nodes","635","21.000000","21.539869","DDS demands","Known Flow","269595.125000","677644.250000","0.000000","","","","","","-15.020000","","","","","","","","-13.431153","-15.020000","","","","","","","D1 PROFILE","","","","","","",""
"64400200000634","Nodes","634","21.000000","22.156381","DDS demands","Known Flow","269531.250000","677604.125000","0.000000","","","","","","-10.169999","","","","","","","","-9.094195","-10.169999","","","","","","","D1 PROFILE","","","","","","",""
"64400200000627","Nodes","627","21.000000","23.913021","DDS demands","Known Flow","269521.500000","677526.000000","0.000000","","","","","","-6.670000","","","","","","","","-5.964433","-6.670000","","","","","","","D1 PROFILE","","","","","","",""
"644002-1462911","Nodes","-1462911","21.000000","23.913021","Default Known Flow Node","Known Flow","269520.125000","677529.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
