"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)"
"64400400000971","Nodes","971",21.000000,25.876448,"DDS demands","Known Flow",292950.220870,681874.337754,,0.000000,,,,,,-4.030000,,,,,,-3.603698,-4.030000,,"",,,,,,"D1 PROFILE",,,,,
"64400400000048","Nodes","48",21.000000,21.687932,"Default Known Flow Node","Known Flow",292242.720678,682358.212885,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001649","Nodes","P12128596, CSEP, (ASDA) EARLS RD, -320.04 SCMH",21.000000,33.020222,"CSEP DDS Matched","Known Flow",291421.366936,681988.978256,,0.000000,,,,,-320.040023,,,,,,,-286.185517,-320.040023,,"",,,,,"CC PROFILE",,,,,,
"64400400001656","Nodes","P00080580, CSEP, DUNDAS ST, - 618.50 SCMH",22.000000,25.471398,"Default Known Flow Node","Known Flow",292468.120019,681654.615409,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000868","Nodes","868",21.000000,25.517107,"Default Known Flow Node","Known Flow",292476.881741,681643.016691,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000224","Nodes","224",21.000000,35.684165,"DDS demands","Known Flow",293735.721084,681621.837685,,0.000000,,,-9.939999,,,-19.810000,,,,,,-26.602983,-29.750000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,
"64400401001037","Nodes",,21.000000,22.092199,"Default Known Flow Node","Known Flow",292861.345846,679930.212225,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001011","Nodes","1011",21.000000,22.092199,"DDS demands","Known Flow",292862.970846,679930.337225,,0.000000,,,,,,-8.810000,,,,,,-7.878060,-8.810000,,"",,,,,,"D1 PROFILE",,,,,
"64400401463132","Nodes","1463132",21.000000,22.092199,"Default Known Flow Node","Known Flow",292863.095846,679980.212238,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001010","Nodes","1010",21.000000,22.369658,"DDS demands","Known Flow",292890.095854,679930.087225,,0.000000,,,,,,-12.239999,,,,,,-10.945226,-12.239999,,"",,,,,,"D1 PROFILE",,,,,
"64400401462889","Nodes","1462889",21.000000,22.369658,"Default Known Flow Node","Known Flow",292935.720866,679930.462225,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401001035","Nodes","1001035",21.000000,22.372054,"Default Known Flow Node","Known Flow",292888.346002,679930.103352,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000530","Nodes","530",21.000000,25.273891,"DDS demands","Known Flow",292603.638776,679972.784236,,0.000000,,,,,,-15.829999,,,,,,-14.155468,-15.829999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000810","Nodes","810",21.000000,25.355500,"Default Known Flow Node","Known Flow",292606.795782,679996.677135,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401462970","Nodes","1462970",21.000000,22.092199,"Default Known Flow Node","Known Flow",292858.595845,679930.087225,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000622","Nodes","622",21.000000,31.715025,"DDS demands","Known Flow",293035.101619,679929.470794,,0.000000,,,,,,-13.229999,,,,,,-11.830502,-13.229999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000625","Nodes","625",21.000000,31.722416,"DDS demands","Known Flow",293033.970893,679866.462207,,0.000000,,,,,,-6.059999,,,,,,-5.418960,-6.059999,,"",,,,,,"D1 PROFILE",,,,,
"64400401001050","Nodes","1001050",21.000000,31.927409,"Default Known Flow Node","Known Flow",293155.845926,679979.712238,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001498","Nodes","1498",21.000000,31.927409,"Default Known Flow Node","Known Flow",293205.220939,679978.712238,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001502","Nodes","1502",21.000000,31.871689,"DDS demands","Known Flow",293202.345939,679876.087210,,0.000000,,,,,,-5.389999,,,,,,-4.819834,-5.389999,,"",,,,,,"D1 PROFILE",,,,,
"64400400001503","Nodes","1503",21.000000,31.905239,"DDS demands","Known Flow",293129.595919,679814.337193,,0.000000,,,,,,-1.019999,,,,,,-0.912102,-1.019999,,"",,,,,,"D1 PROFILE",,,,,
"64400400001500","Nodes","1500",21.000000,31.886880,"DDS demands","Known Flow",293220.970944,679908.212219,,0.000000,,,,,,-17.370001,,,,,,-15.532565,-17.370001,,"",,,,,,"D1 PROFILE",,,,,
"64400401001031","Nodes","1001031",21.000000,31.886880,"Default Known Flow Node","Known Flow",293152.720925,679909.962219,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401001029","Nodes","1001029",21.000000,31.874565,"Default Known Flow Node","Known Flow",293202.845939,679885.337213,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000624","Nodes","624",21.000000,31.717236,"DDS demands","Known Flow",293065.970902,679854.962204,,0.000000,,,,,,-8.260000,,,,,,-7.386240,-8.260000,,"",,,,,,"D1 PROFILE",,,,,
"64400401462524","Nodes","1462524",21.000000,31.886880,"Default Known Flow Node","Known Flow",293139.970922,679910.337219,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001501","Nodes","1501",21.000000,31.929907,"Default Known Flow Node","Known Flow",293151.845925,679866.462207,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463454","Nodes","1463454",21.000000,31.927409,"Default Known Flow Node","Known Flow",293142.095922,679980.087238,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001499","Nodes","1499",21.000000,31.970424,"Default Known Flow Node","Known Flow",293152.220925,679938.462227,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401001051","Nodes","1001051",21.000000,30.388248,"Default Known Flow Node","Known Flow",293263.845955,679988.212241,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001313","Nodes","1313",21.000000,30.431378,"Default Known Flow Node","Known Flow",293245.845950,679973.962237,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463044","Nodes","1463044",21.000000,30.388248,"Default Known Flow Node","Known Flow",293265.095956,679983.837239,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001301","Nodes","1301",21.000000,27.451847,"DDS demands","Known Flow",293330.470974,679993.587242,,0.000000,,,,,,-2.570000,,,,,,-2.298140,-2.570000,,"",,,,,,"D1 PROFILE",,,,,
"64400400001303","Nodes","1303",21.000000,27.479053,"DDS demands","Known Flow",293260.970955,679933.587226,,0.000000,,,,,,-1.590000,,,,,,-1.421806,-1.590000,,"",,,,,,"D1 PROFILE",,,,,
"64400401001048","Nodes","1001048",21.000000,31.739904,"Default Known Flow Node","Known Flow",293047.845897,679978.087238,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000621","Nodes","621",21.000000,31.776864,"DDS demands","Known Flow",293035.095893,679975.087237,,0.000000,,,,,,-18.079999,,,,,,-16.167459,-18.079999,,"",,,,,,"D1 PROFILE",,,,,
"64400401462925","Nodes","1462925",21.000000,31.739904,"Default Known Flow Node","Known Flow",293051.095897,679977.962238,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000277","Nodes","277",21.000000,28.490630,"DDS demands","Known Flow",291877.345578,680468.087371,,0.000000,,,,,,-19.920001,,,,,,-17.812821,-19.920001,,"",,,,,,"D1 PROFILE",,,,,
"64400400000914","Nodes","914",21.000000,28.291378,"DDS demands","Known Flow",291950.845598,680353.087340,,0.000000,,,,,,-13.170000,,,,,,-11.776849,-13.170000,,"",,,,,,"D1 PROFILE",,,,,
"64400400000915","Nodes","915",21.000000,28.236184,"DDS demands","Known Flow",291986.220608,680379.212347,,0.000000,,,,,,-14.829999,,,,,,-13.261251,-14.829999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000288","Nodes","288",21.000000,28.271506,"DDS demands","Known Flow",291983.470607,680301.962326,,0.000000,,,,,,-8.869999,,,,,,-7.931712,-8.869999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000251","Nodes","251",21.000000,28.236184,"Default Known Flow Node","Known Flow",291994.970610,680385.212349,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463053","Nodes","1463053",21.000000,28.236184,"Default Known Flow Node","Known Flow",291986.720608,680396.712352,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463129","Nodes","1463129",21.000000,28.236184,"Default Known Flow Node","Known Flow",291998.970611,680380.087347,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000309","Nodes",,21.000000,30.015247,"DDS demands","Known Flow",292102.970640,680383.087348,,0.000000,,,,,,-3.540000,,,-4.780000,,,-7.439893,-8.320000,,"",,,,,,"D1 PROFILE",,,"I2 PROFILE",,
"64400400000258","Nodes","258",21.000000,30.027452,"Default Known Flow Node","Known Flow",292119.345644,680392.337350,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000307","Nodes","307",21.000000,29.473951,"Default Known Flow Node","Known Flow",292079.742415,680464.326057,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000318","Nodes","318",21.000000,29.429753,"Default Known Flow Node","Known Flow",292074.345632,680473.712373,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000298","Nodes","298",21.000000,29.762835,"Default Known Flow Node","Known Flow",292089.095636,680447.837366,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401462831","Nodes","1462831",21.000000,30.015247,"Default Known Flow Node","Known Flow",292102.345639,680384.962348,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400026910","Nodes","26910",21.000000,29.971167,"Default Known Flow Node","Known Flow",292111.720642,680406.837354,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463586","Nodes","1463586",21.000000,29.438196,"Default Known Flow Node","Known Flow",292160.970655,680333.462334,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400021410","Nodes","21410",21.000000,29.438196,"Default Known Flow Node","Known Flow",292162.726253,680334.452410,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400012310","Nodes","12310",21.000000,29.123088,"Default Known Flow Node","Known Flow",292206.598726,680241.463327,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000327","Nodes","327",21.000000,29.133934,"DDS demands","Known Flow",292208.096964,680242.465960,,0.000000,,,,,,-6.289999,,,,,,-5.624630,-6.289999,,"",,,,,,"D1 PROFILE",,,,,
"64400401462469","Nodes","1462469",21.000000,26.091859,"Default Known Flow Node","Known Flow",292258.970682,680217.587303,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400009110","Nodes","9110",21.000000,26.091859,"Default Known Flow Node","Known Flow",292259.178682,680189.903295,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401462719","Nodes","1462719",21.000000,26.658973,"Default Known Flow Node","Known Flow",292268.720685,680224.962305,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000106","Nodes","106",21.000000,26.658973,"Default Known Flow Node","Known Flow",292297.923690,680215.232306,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400005510","Nodes","5510",21.000000,25.806632,"Default Known Flow Node","Known Flow",292271.595685,680116.587275,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463063","Nodes","1463063",21.000000,30.349266,"Default Known Flow Node","Known Flow",292285.970689,680316.837330,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400018910","Nodes","18910",21.000000,30.349266,"Default Known Flow Node","Known Flow",292301.393693,680303.880326,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400404904601","Nodes","4904601",21.000000,30.873608,"Default Known Flow Node","Known Flow",292322.009334,680464.283274,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463012","Nodes","1463012",21.000000,30.873608,"Default Known Flow Node","Known Flow",292313.095697,680448.587366,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401462695","Nodes","1462695",21.000000,29.668243,"Default Known Flow Node","Known Flow",292401.595721,680231.087307,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000124","Nodes","124",21.000000,29.668243,"Default Known Flow Node","Known Flow",292419.345726,680242.212310,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000078","Nodes",,21.000000,25.462109,"DDS demands","Known Flow",292429.590728,680163.737288,,0.000000,-72.269998,,,,,,,,,,,-64.625126,-72.269998,,"","C1 PROFILE",,,,,,,,,,
"64400401462988","Nodes","1462988",21.000000,25.462109,"Default Known Flow Node","Known Flow",292460.970737,680172.337291,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401462832","Nodes","1462832",21.000000,32.730652,"Default Known Flow Node","Known Flow",292458.720736,680326.962333,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001528","Nodes","1528",21.000000,32.730652,"Default Known Flow Node","Known Flow",292459.720737,680325.712332,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000274","Nodes","274",21.000000,33.069278,"Default Known Flow Node","Known Flow",292475.847285,680415.963540,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000125","Nodes","125",21.000000,29.357736,"Default Known Flow Node","Known Flow",292479.095742,680242.462310,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000131","Nodes","131",21.000000,29.357736,"Default Known Flow Node","Known Flow",292474.930654,680249.265443,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400012910","Nodes","12910",21.000000,29.357736,"Default Known Flow Node","Known Flow",292487.845744,680248.212311,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400013710","Nodes","13710",21.000000,29.357736,"Default Known Flow Node","Known Flow",292483.805289,680255.132000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463648","Nodes","1463648",21.000000,30.406926,"Default Known Flow Node","Known Flow",292301.470694,680495.212378,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000313","Nodes",,21.000000,30.406926,"DDS demands","Known Flow",292299.845693,680497.712379,,0.000000,-46.259999,,,,,-5.160000,,,,,,-45.980682,-51.419999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"64400401462851","Nodes","1462851",21.000000,32.520041,"Default Known Flow Node","Known Flow",292421.095726,680369.212344,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000332","Nodes","332",21.000000,32.520041,"DDS demands","Known Flow",292422.185854,680367.564277,,0.000000,,,,,,-7.129999,,,,,,-6.375773,-7.129999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000255","Nodes","255",21.000000,32.660943,"Default Known Flow Node","Known Flow",292430.345729,680390.212350,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000260","Nodes","260",21.000000,32.660943,"Default Known Flow Node","Known Flow",292426.720728,680395.212351,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000310","Nodes","310",21.000000,30.005589,"DDS demands","Known Flow",292129.720647,680387.212349,,0.000000,,,,,,-7.440000,,,,,,-6.652981,-7.440000,,"",,,,,,"D1 PROFILE",,,,,
"64400400000308","Nodes","308",21.000000,30.138586,"DDS demands","Known Flow",292194.220664,680442.712364,,0.000000,,,,,,-8.739999,,,,,,-7.815464,-8.739999,,"",,,,,,"D1 PROFILE",,,,,
"64400400029910","Nodes","29910",21.000000,30.138586,"Default Known Flow Node","Known Flow",292188.595663,680451.337367,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400030210","Nodes","30210",21.000000,30.181102,"Default Known Flow Node","Known Flow",292212.595669,680454.337367,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001523","Nodes","1523",21.000000,30.138586,"Default Known Flow Node","Known Flow",292165.220656,680486.462376,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400032910","Nodes","32910",21.000000,30.138586,"Default Known Flow Node","Known Flow",292168.595657,680488.712377,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000311","Nodes","311",21.000000,30.022701,"DDS demands","Known Flow",292185.845662,680423.962359,,0.000000,,,,,,-19.479999,,,,,,-17.419363,-19.479999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000303","Nodes","303",21.000000,30.185822,"Default Known Flow Node","Known Flow",292233.830853,680456.109493,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400025910","Nodes","25910",21.000000,30.006910,"Default Known Flow Node","Known Flow",292205.845667,680393.212351,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400025710","Nodes","25710",21.000000,30.007517,"Default Known Flow Node","Known Flow",292136.971925,680391.960402,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001245","Nodes","1245",21.000000,29.757026,"Default Known Flow Node","Known Flow",292141.845650,680364.712343,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001247","Nodes","1247",21.000000,29.670558,"Default Known Flow Node","Known Flow",292145.970651,680356.837341,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001246","Nodes","1246",21.000000,29.757026,"Default Known Flow Node","Known Flow",292132.595648,680359.337342,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001251","Nodes","1251",21.000000,29.438196,"Default Known Flow Node","Known Flow",292157.345654,680335.837335,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001252","Nodes","1252",21.000000,29.438196,"Default Known Flow Node","Known Flow",292148.595652,680331.462334,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001254","Nodes","1254",21.000000,29.162245,"DDS demands","Known Flow",292171.095658,680309.962328,,0.000000,,,,,,-10.439999,,,,,,-9.335634,-10.439999,,"",,,,,,"D1 PROFILE",,,,,
"64400400001249","Nodes","1249",21.000000,29.565051,"Default Known Flow Node","Known Flow",292150.970653,680347.212338,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001250","Nodes","1250",21.000000,29.565051,"Default Known Flow Node","Known Flow",292142.095650,680342.462337,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001551","Nodes","1551",21.000000,31.187507,"DDS demands","Known Flow",292338.707300,680439.203526,,0.000000,,,,,,-6.999999,,,,,,-6.259525,-6.999999,,"",,,,,,"D1 PROFILE",,,,,
"64400400027510","Nodes","27510",21.000000,31.171520,"Default Known Flow Node","Known Flow",292304.720694,680416.712357,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400401463165","Nodes","1463165",21.000000,31.187507,"Default Known Flow Node","Known Flow",292336.970703,680441.837364,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000315","Nodes","315",21.000000,31.161867,"DDS demands","Known Flow",292284.220689,680403.087353,,0.000000,,,,,,-6.740000,,,,,,-6.027028,-6.740000,,"",,,,,,"D1 PROFILE",,,,,
"64400400000256","Nodes","256",21.000000,31.161867,"Default Known Flow Node","Known Flow",292291.845691,680391.212350,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
