"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64403000000124","Nodes","124","21.000000","29.169159","DDS demands","Known Flow","282028.630774","667884.476141","","0.000000","","","","-11.570000","","","","","","","-10.346101","-11.570000","","","","","","","D1 PROFILE","","","","","","",""
"64403000000133","Nodes","133","21.000000","28.956524","DDS demands","Known Flow","282000.699757","667888.248434","","0.000000","","","","-5.349999","","","","","","","-4.784065","-5.349999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000500","Nodes","500","21.000000","28.683259","Default Known Flow Node","Known Flow","281963.618923","667893.947003","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000484","Nodes","MEADOWHEAD ROAD, P00020994, -51 scmh","23.200000","26.509118","CSEP DDS Matched","Known Flow","278796.125000","667199.625000","","0.000000","","","","","-50.999999","","","","","","-45.605111","-50.999999","","","","","","","","DC PROFILE","","","","","",""
"64403000000167","Nodes","Logger 9432","21.000000","26.587164","Val Log Cath","Known Flow","278823.843750","667219.625000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003005","Nodes","-325","21.000000","26.712046","Default Known Flow Node","Known Flow","278835.961783","667228.713494","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000168","Nodes","168","21.000000","26.410281","Default Known Flow Node","Known Flow","279246.779244","667152.241761","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002780","Nodes","-10059","21.000000","26.269774","Default Known Flow Node","Known Flow","279269.201928","667124.576792","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000001005","Nodes","1005","21.000000","26.178115","Default Known Flow Node","Known Flow","279276.350499","667115.688735","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000030","Nodes","30","21.000000","26.510142","DDS demands","Known Flow","279201.862389","667159.318847","","0.000000","","","","-5.349999","","","","","","","-4.784065","-5.349999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000169","Nodes","Logger 7033","21.000000","28.110480","Val Log Cath","Known Flow","282141.496902","668104.344485","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000395","Nodes","395","21.000000","27.950812","DDS demands","Known Flow","282147.028309","668147.611582","","0.000000","","","","-3.869999","","","","","","","-3.460623","-3.869999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000215","Nodes","215","21.000000","30.365925","DDS demands","Known Flow","282098.683549","667798.829539","","0.000000","","","","-18.969999","","","","","","","-16.963314","-18.969999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000171","Nodes","Logger 9740","21.000000","30.777836","Val Log Cath","Known Flow","282100.625723","667754.677161","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003047","Nodes","-4904562","21.000000","31.065711","Default Known Flow Node","Known Flow","282113.115124","667728.766752","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000501","Nodes","501","21.000000","27.066223","Default Known Flow Node","Known Flow","281916.706400","668006.786215","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000001003","Nodes","1003","21.000000","27.561380","Default Known Flow Node","Known Flow","281946.478870","667999.662328","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000001001","Nodes","1001","21.000000","26.994698","Default Known Flow Node","Known Flow","282073.968750","667984.187500","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000165","Nodes","165","21.000000","26.994698","DDS demands","Known Flow","282029.375000","667990.437500","","0.000000","","","","-12.789999","","","","","","","-11.437046","-12.789999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000383","Nodes","383","21.000000","27.093084","DDS demands","Known Flow","282017.500000","667992.062500","","0.000000","","","","-18.459998","","","","","","","-16.507261","-18.459998","","","","","","","D1 PROFILE","","","","","","",""
