"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"64305600000115","Nodes","115",21.000000,25.922492,"DDS demands","Known Flow",392465.777095,661093.272132,,0.000000,,,-0.860000,,,-0.769027,-0.860000,,"",,,"D1 PROFILE",,
"64305600000116","Nodes","116",21.000000,25.912502,"DDS demands","Known Flow",392449.875000,661079.375000,,0.000000,,,-2.599999,,,-2.324966,-2.599999,,"",,,"D1 PROFILE",,
"64305600000117","Nodes","117",21.000000,25.745330,"DDS demands","Known Flow",392481.750000,661103.875000,,0.000000,,,-1.190000,,,-1.064119,-1.190000,,"",,,"D1 PROFILE",,
"64305600000114","Nodes","114",21.000000,25.747871,"DDS demands","Known Flow",392475.399482,661079.889271,,0.000000,,,-4.800000,,,-4.292246,-4.800000,,"",,,"D1 PROFILE",,
"64305600000113","Nodes","113",21.000000,25.753218,"DDS demands","Known Flow",392392.250000,661051.625000,,0.000000,,,-5.929999,,,-5.302711,-5.929999,,"",,,"D1 PROFILE",,
"64305600000109","Nodes","109",21.000000,25.987629,"DDS demands","Known Flow",392399.000000,661021.625000,,0.000000,,,-39.479998,,,-35.303722,-39.479998,,"",,,"D1 PROFILE",,
"64305600000022","Nodes","22",21.000000,22.127153,"DDS demands","Known Flow",392072.250000,661224.625000,,0.000000,,,-5.440000,,,-4.864545,-5.440000,,"",,,"D1 PROFILE",,
"64305600000100","Nodes","100",21.000000,23.110228,"DDS demands","Known Flow",392318.875000,661382.375000,,0.000000,,,-3.880000,,,-3.469565,-3.880000,,"",,,"D1 PROFILE",,
"64305600000202","Nodes","-1462470",21.000000,24.006449,"Default Known Flow Node","Known Flow",392314.000000,661090.750000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000118","Nodes","118",21.000000,25.966964,"Default Known Flow Node","Known Flow",392552.500000,661152.625000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000124","Nodes","124",21.000000,21.146865,"DDS demands","Known Flow",391993.000000,661270.625000,,0.000000,,,-7.999999,,,-7.153743,-7.999999,,"",,,"D1 PROFILE",,
"64305600000104","Nodes","104",21.000000,21.072306,"DDS demands","Known Flow",391967.875000,661285.625000,,0.000000,,,-8.560000,,,-7.654505,-8.560000,,"",,,"D1 PROFILE",,
"64305600000211","Nodes","-20",21.000000,22.469452,"Default Known Flow Node","Known Flow",392007.625000,660998.875000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000201","Nodes","-1462468",21.000000,22.469452,"Default Known Flow Node","Known Flow",392035.250000,660979.375000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000213","Nodes","-26",21.000000,22.482541,"Default Known Flow Node","Known Flow",391986.043854,661052.373652,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000120","Nodes","120",21.000000,22.482541,"Default Known Flow Node","Known Flow",391983.462993,661049.113617,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000107","Nodes","107",21.000000,22.481746,"DDS demands","Known Flow",391993.786438,661045.174408,,0.000000,,,-0.330000,,,-0.295091,-0.330000,,"",,,"D1 PROFILE",,
"64305600000121","Nodes","121",21.000000,22.469452,"DDS demands","Known Flow",392022.990921,661024.391683,,0.000000,,,-2.209999,,,-1.976221,-2.209999,,"",,,"D1 PROFILE",,
"64305600000004","Nodes",,21.000000,30.551163,"Default Known Flow Node","Known Flow",392470.936359,660975.315688,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000002","Nodes",,21.000000,23.270776,"Default Known Flow Node","Known Flow",392230.585511,661148.081208,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000013","Nodes",,21.000000,24.435741,"Default Known Flow Node","Known Flow",392331.940783,661071.835572,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000003","Nodes",,21.000000,31.180231,"Default Known Flow Node","Known Flow",392579.753187,660854.772895,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000005","Nodes",,21.000000,30.598203,"Default Known Flow Node","Known Flow",392471.821975,660976.540476,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000007","Nodes",,21.000000,31.169912,"Default Known Flow Node","Known Flow",392578.630952,660856.290745,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000008","Nodes",,21.000000,31.169912,"Default Known Flow Node","Known Flow",392574.604150,660853.496283,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000009","Nodes",,21.000000,31.144109,"Default Known Flow Node","Known Flow",392582.148706,660859.437529,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000010","Nodes",,21.000000,31.144109,"Default Known Flow Node","Known Flow",392585.903496,660861.011824,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000012","Nodes",,21.000000,30.598203,"Default Known Flow Node","Known Flow",392468.562795,660978.904654,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000014","Nodes",,21.000000,23.270776,"Default Known Flow Node","Known Flow",392242.539068,661123.872353,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000015","Nodes",,21.000000,24.435741,"Default Known Flow Node","Known Flow",392316.008964,661045.064067,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000011","Nodes",,21.000000,25.630551,"Default Known Flow Node","Known Flow",392100.557718,660894.284021,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600001003","Nodes",,21.000000,25.761641,"Default Known Flow Node","Known Flow",392439.500000,661068.125000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
