"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64404600001421","Nodes","1421",21.000000,30.207946,"DDS demands","Known Flow",276994.250000,662775.750000,,0.000000,0.000000,,-4.249999,-13.680000,,,,,-16.033327,-17.930000,,"","C1 PROFILE",,"C4 PROFILE","D1 PROFILE",,,,
"64404600001422","Nodes","1422",21.000000,30.265901,"DDS demands","Known Flow",276877.750000,662647.125000,,0.000000,,,,-12.810000,,,,,-11.454931,-12.810000,,"",,,,"D1 PROFILE",,,,
"64404600001423","Nodes","1423",21.000000,30.168705,"DDS demands","Known Flow",276936.750000,662657.875000,,0.000000,,,,-6.130000,,,,,-5.481555,-6.130000,,"",,,,"D1 PROFILE",,,,
"644046-308420","Nodes","-308420",21.000000,30.168705,"Default Known Flow Node","Known Flow",276954.500000,662668.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600003247","Nodes","3247",21.000000,32.955798,"DDS demands","Known Flow",276946.625000,662591.750000,,0.000000,,,,-11.190000,,,,,-10.006298,-11.190000,,"",,,,"D1 PROFILE",,,,
"64404600001425","Nodes","1425",21.000000,33.201143,"DDS demands","Known Flow",276886.832586,662541.951381,,0.000000,,,,-25.319999,,,,,-22.641597,-25.319999,,"",,,,"D1 PROFILE",,,,
"644046-308390","Nodes","-308390",21.000000,32.913005,"Default Known Flow Node","Known Flow",276900.750000,662506.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600000905","Nodes","905",21.000000,30.616279,"DDS demands","Known Flow",276529.625000,662792.250000,,0.000000,,,,-1.860000,,,,,-1.663245,-1.860000,,"",,,,"D1 PROFILE",,,,
"644046-308212","Nodes","-308212",21.000000,30.348315,"Default Known Flow Node","Known Flow",276553.750000,662768.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600002591","Nodes","2591",21.000000,29.655000,"DDS demands","Known Flow",276538.500000,662859.375000,,0.000000,,,,-5.249999,,,,,-4.694643,-5.249999,,"",,,,"D1 PROFILE",,,,
"64404600002587","Nodes","2587",21.000000,30.738768,"DDS demands","Known Flow",276585.375000,662936.375000,,0.000000,,,,-4.150000,,,,,-3.711004,-4.150000,,"",,,,"D1 PROFILE",,,,
"644046-308222","Nodes","-308222",21.000000,32.244180,"Default Known Flow Node","Known Flow",276619.250000,662883.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308218","Nodes","-308218",21.000000,32.247057,"Default Known Flow Node","Known Flow",276612.250000,662915.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308226","Nodes","-308226",21.000000,32.337587,"Default Known Flow Node","Known Flow",276632.750000,662903.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308227","Nodes","-308227",21.000000,32.329894,"Default Known Flow Node","Known Flow",276632.875000,662928.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308232","Nodes","-308232",21.000000,32.271143,"Default Known Flow Node","Known Flow",276645.625000,662976.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308220","Nodes","-308220",21.000000,32.189792,"Default Known Flow Node","Known Flow",276616.000000,662945.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308228","Nodes","-308228",21.000000,32.340793,"Default Known Flow Node","Known Flow",276634.625000,662892.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308224","Nodes","-308224",21.000000,32.308857,"Default Known Flow Node","Known Flow",276627.250000,662862.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308230","Nodes","-308230",21.000000,32.308857,"Default Known Flow Node","Known Flow",276639.500000,662833.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308234","Nodes","-308234",21.000000,31.439499,"Default Known Flow Node","Known Flow",276648.125000,662764.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308235","Nodes","-308235",21.000000,32.308857,"Default Known Flow Node","Known Flow",276651.625000,662856.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308240","Nodes","-308240",21.000000,32.271143,"Default Known Flow Node","Known Flow",276660.750000,662990.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308233","Nodes","-308233",21.000000,32.315073,"Default Known Flow Node","Known Flow",276646.625000,662959.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308239","Nodes","-308239",21.000000,30.281487,"Default Known Flow Node","Known Flow",276659.750000,662736.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308246","Nodes","-308246",21.000000,30.281487,"Default Known Flow Node","Known Flow",276674.500000,662756.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308238","Nodes","-308238",21.000000,30.149454,"Default Known Flow Node","Known Flow",276656.500000,662720.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308245","Nodes","-308245",21.000000,32.340793,"Default Known Flow Node","Known Flow",276669.625000,662884.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308242","Nodes","-308242",21.000000,32.340793,"Default Known Flow Node","Known Flow",276663.125000,662916.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308253","Nodes","-308253",21.000000,32.337014,"Default Known Flow Node","Known Flow",276698.750000,662787.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308250","Nodes","-308250",21.000000,32.456735,"Default Known Flow Node","Known Flow",276682.875000,662862.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308255","Nodes","-308255",21.000000,32.453427,"Default Known Flow Node","Known Flow",276702.375000,662843.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308260","Nodes","-308260",21.000000,32.553039,"Default Known Flow Node","Known Flow",276741.250000,662796.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308258","Nodes","-308258",21.000000,32.553039,"Default Known Flow Node","Known Flow",276731.125000,662794.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308261","Nodes","-308261",21.000000,32.656710,"Default Known Flow Node","Known Flow",276752.875000,662851.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308273","Nodes","-308273",21.000000,32.060679,"Default Known Flow Node","Known Flow",276765.125000,662928.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308264","Nodes","-308264",21.000000,32.060679,"Default Known Flow Node","Known Flow",276756.125000,662931.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308275","Nodes","-308275",21.000000,32.604756,"Default Known Flow Node","Known Flow",276768.625000,662716.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308270","Nodes","-308270",21.000000,32.742933,"Default Known Flow Node","Known Flow",276762.125000,662750.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308277","Nodes","-308277",21.000000,32.446025,"Default Known Flow Node","Known Flow",276772.875000,662880.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308268","Nodes","-308268",21.000000,32.446025,"Default Known Flow Node","Known Flow",276758.250000,662890.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308279","Nodes","-308279",21.000000,32.624852,"Default Known Flow Node","Known Flow",276774.750000,662672.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308276","Nodes","-308276",21.000000,32.811372,"Default Known Flow Node","Known Flow",276770.875000,662693.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308282","Nodes","-308282",21.000000,32.756390,"Default Known Flow Node","Known Flow",276777.875000,662655.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308280","Nodes","-308280",21.000000,32.399268,"Default Known Flow Node","Known Flow",276776.625000,662858.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308266","Nodes","-308266",21.000000,32.311325,"Default Known Flow Node","Known Flow",276758.125000,662862.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308287","Nodes","-308287",21.000000,32.749215,"Default Known Flow Node","Known Flow",276782.250000,662767.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
