"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-PL)"
"64306000000373","Nodes","-273",21.000000,23.822826,"Default Known Flow Node","Known Flow",314548.230000,672769.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000377","Nodes","-285",21.000000,23.564154,"Default Known Flow Node","Known Flow",314506.480000,672824.585000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000378","Nodes","-286",21.000000,22.002994,"DDS demands","Known Flow",314561.605000,672838.710000,,0.000000,,-24.860000,,,,,-22.230256,-24.860000,,"",,"C3  PROFILE",,,,
"64306000000120","Nodes","120",21.000000,23.601834,"DDS demands","Known Flow",314511.730000,672813.210000,,0.000000,,,,,-1.209999,,-1.082003,-1.209999,,"",,,,,"",
"64306000000118","Nodes","118",21.000000,23.822826,"Default Known Flow Node","Known Flow",314601.105000,672750.460000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000119","Nodes","119",21.000000,23.822826,"Default Known Flow Node","Known Flow",314628.855000,672773.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000126","Nodes","126",21.000000,23.196980,"Default Known Flow Node","Known Flow",314278.230000,673001.085000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000125","Nodes","125",21.000000,23.195219,"DDS demands","Known Flow",314239.355000,672985.460000,,0.000000,-12.130000,,,,,,-10.846863,-12.130000,,"","",,,,,
"64306000000066","Nodes","66",21.000000,23.822826,"Default Known Flow Node","Known Flow",314590.948750,672748.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000359","Nodes","-1462573",21.000000,23.196980,"Default Known Flow Node","Known Flow",314274.855000,673008.460000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000382","Nodes","-313",21.000000,23.196980,"Default Known Flow Node","Known Flow",314276.355000,673005.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000117","Nodes","117",21.000000,23.109166,"Default Known Flow Node","Known Flow",314230.480000,673076.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000383","Nodes","-318",21.000000,23.109166,"Default Known Flow Node","Known Flow",314249.480000,673083.710000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000131","Nodes","131",21.000000,23.153071,"Default Known Flow Node","Known Flow",314213.730000,673087.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000234","Nodes",,21.000000,27.325724,"Default Known Flow Node","Known Flow",312158.970097,672819.508290,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000237","Nodes",,21.000000,27.487897,"Default Known Flow Node","Known Flow",312181.572103,672838.884295,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000238","Nodes",,21.000000,27.942700,"Default Known Flow Node","Known Flow",312250.635122,672806.747286,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000240","Nodes",,21.000000,21.099165,"Default Known Flow Node","Known Flow",312235.677118,672700.427257,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000241","Nodes","S00106677, Bridge Street, -89.8",21.000000,20.989630,"DDS demands","Known Flow",312239.109119,672703.758258,,0.000000,-64.150002,,,,,-89.800006,-57.364081,-64.150002,,"","C1 PROFILE",,,,,"PL-PL PROFILE"
"64306000000243","Nodes",,21.000000,27.404716,"Default Known Flow Node","Known Flow",312169.220100,672821.260290,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000239","Nodes",,21.000000,27.478243,"Default Known Flow Node","Known Flow",312174.686101,672835.478294,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000263","Nodes",,21.000000,24.950947,"Default Known Flow Node","Known Flow",312679.121238,672485.238199,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000264","Nodes",,21.000000,24.950947,"Default Known Flow Node","Known Flow",312678.335238,672484.620199,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000265","Nodes",,21.000000,24.950947,"Default Known Flow Node","Known Flow",312679.905239,672481.656198,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
