"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64303600001071","Nodes","1071","21.000000","30.117765","Default Known Flow Node","Known Flow","348445.727971","682498.769924","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001073","Nodes","1073","21.000000","30.117765","Default Known Flow Node","Known Flow","348447.514971","682484.821920","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001074","Nodes","1074","21.000000","30.117765","Default Known Flow Node","Known Flow","348451.718973","682477.933918","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001076","Nodes","1076","21.000000","30.117765","Default Known Flow Node","Known Flow","348467.137977","682468.523915","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001101","Nodes","1101","21.000000","33.530276","Default Known Flow Node","Known Flow","348462.004975","682947.452046","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001089","Nodes","1089","21.000000","30.117765","Default Known Flow Node","Known Flow","348456.264974","682520.001929","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001090","Nodes","1090","21.000000","30.117765","Default Known Flow Node","Known Flow","348461.017975","682522.124930","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001091","Nodes","1091","21.000000","30.117765","Default Known Flow Node","Known Flow","348458.083974","682516.880929","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001094","Nodes","1094","21.000000","29.154492","Default Known Flow Node","Known Flow","348699.973040","682832.900015","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001096","Nodes","1096","21.000000","26.202128","Default Known Flow Node","Known Flow","348723.664047","682780.982000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001097","Nodes","1097","21.000000","26.202128","Default Known Flow Node","Known Flow","348717.980045","682802.755006","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001098","Nodes","1098","21.000000","33.440570","Default Known Flow Node","Known Flow","348400.200959","683050.143074","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001100","Nodes","1100","21.000000","33.430062","Default Known Flow Node","Known Flow","348405.784960","683040.808071","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001168","Nodes","1168","21.000000","33.458044","Default Known Flow Node","Known Flow","348413.942962","683026.372067","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001078","Nodes","1078","21.000000","35.004495","DDS demands","Known Flow","348502.764987","682870.883025","","0.000000","","","","","-0.999999","","","","","-0.894217","-0.999999","","","","","","","D1 PROFILE","","","",""
"64303600001103","Nodes","1103","21.000000","32.380561","Default Known Flow Node","Known Flow","348565.879004","683007.651062","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001105","Nodes","1105","21.000000","32.872129","Default Known Flow Node","Known Flow","348698.756040","683067.459078","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
