"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304500002452","Nodes","2452","21.000000","25.246456","Default Known Flow Node","Known Flow","303817.723827","668917.709228","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001033","Nodes","1033,o/s 176 Raeburn Rigg, Cammondean, ID10137","21.000000","25.329843","Val Log Post","Known Flow","303805.777772","668931.698687","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001658","Nodes","1658","21.000000","25.379078","DDS demands","Known Flow","303798.723822","668939.959234","","0.000000","","","","","","","-12.770000","","","","","","","","-11.419162","-12.770000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500000820","Nodes","820","21.000000","21.207826","DDS demands","Known Flow","306464.974548","666151.833476","","0.000000","","","","","","","-3.459999","","","","","","","","-3.093993","-3.459999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001032","Nodes","1032, 240 Clement Rise, ID10239","21.000000","21.023887","Val Log Post","Known Flow","306464.862743","666204.605058","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500000823","Nodes","823","21.000000","21.012793","DDS demands","Known Flow","306464.849548","666210.833492","","0.000000","","","","","","","-5.219999","","","","","","","","-4.667817","-5.219999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500000927","Nodes","927","21.000000","23.351821","DDS demands","Known Flow","304847.974108","669950.959509","","0.000000","","","","","","","-5.530000","","","","","","","","-4.945025","-5.530000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001031","Nodes","1031","21.000000","23.360392","Default Known Flow Node","Known Flow","304817.529911","669949.907618","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500000925","Nodes","925","21.000000","23.369476","DDS demands","Known Flow","304810.349097","669920.834501","","0.000000","","","","","","","-7.750000","","","","","","","","-6.930188","-7.750000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304510003003","Nodes","-3003","21.000000","42.710817","Default Known Flow Node","Known Flow","305115.849180","666699.333624","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
