"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64301800000379","Nodes","","21.000000","31.418969","Default Known Flow Node","Known Flow","298595.928406","665727.622360","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000387","Nodes","","21.000000","28.020837","DDS demands","Known Flow","298385.720155","665603.839581","","0.000000","","","","","-10.359999","","-9.264096","-10.359999","","","","","","","D1 PROFILE",""
"64301800000395","Nodes","","21.000000","29.038807","Default Known Flow Node","Known Flow","298528.540388","665481.081293","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000399","Nodes","","21.000000","29.501868","DDS demands","Known Flow","298517.997320","665535.018149","","0.000000","","","","","-8.290000","","-7.413066","-8.290000","","","","","","","D1 PROFILE",""
"64301800000404","Nodes","","21.000000","29.094792","DDS demands","Known Flow","298527.066388","665489.226295","","0.000000","-6.540000","","","","","","-5.848185","-6.540000","","","C1 PROFILE","","","","",""
"64301800000406","Nodes","","21.000000","27.395569","DDS demands","Known Flow","298338.514336","665597.454325","","0.000000","","","","","-8.069999","","-7.216338","-8.069999","","","","","","","D1 PROFILE",""
"64301800000593","Nodes","","21.000000","25.743491","Default Known Flow Node","Known Flow","300722.880311","665968.767225","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000542","Nodes","","21.000000","43.062828","DDS demands","Known Flow","299946.012774","665325.020251","","0.000000","","","","","-2.880000","","-2.575347","-2.880000","","","","","","","D1 PROFILE",""
"64301800000543","Nodes","","21.000000","42.660922","DDS demands","Known Flow","299970.098780","665267.500235","","0.000000","","","","","-9.800000","","-8.763336","-9.800000","","","","","","","D1 PROFILE",""
"64301800000545","Nodes","","21.000000","46.042856","DDS demands","Known Flow","299940.296233","665510.502547","","0.000000","","","","","-8.209999","","-7.341529","-8.209999","","","","","","","D1 PROFILE",""
"64301800000561","Nodes","","21.000000","36.915839","Default Known Flow Node","Known Flow","300569.921887","666074.378767","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000599","Nodes","","21.000000","36.585300","Default Known Flow Node","Known Flow","300566.165130","666071.626932","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000473","Nodes","","21.000000","49.716671","Default Known Flow Node","Known Flow","298829.258470","665884.413403","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000475","Nodes","","21.000000","49.716671","Default Known Flow Node","Known Flow","298820.255467","665877.815401","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000494","Nodes","","21.000000","49.353773","DDS demands","Known Flow","298709.833437","666407.002545","","0.000000","","","","","-7.080000","","-6.331062","-7.080000","","","","","","","D1 PROFILE",""
"64301800000495","Nodes","","21.000000","49.345180","DDS demands","Known Flow","298704.424436","666404.989544","","0.000000","","","","","-4.760000","","-4.256477","-4.760000","","","","","","","D1 PROFILE",""
