"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401200001987","Nodes","1987",21.000000,36.295483,"Default Known Flow Node","Known Flow",273133.715478,658996.956529,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200000773","Nodes",,21.000000,35.927317,"Default Known Flow Node","Known Flow",273449.465564,658988.956526,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401201462806","Nodes",,21.000000,35.927317,"Default Known Flow Node","Known Flow",273426.715558,658983.956525,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200001760","Nodes","1760",21.000000,36.139500,"DDS demands","Known Flow",273012.090445,658940.956513,,0.000000,,,,,,,-18.180000,,,,,,,,,,-16.256881,-18.180000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200000010","Nodes","CLAY ROAD DG, SITE ID 5384",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",273929.965694,661178.457122,,999998.967025,,,,,,,,,,,,,,,,,307.047601,343.369997,,"",,,,,,,,,,,,,,,,
"64401200002017","Nodes","2017",21.000000,36.427184,"DDS demands","Known Flow",273606.215606,658960.706519,,0.000000,,,,,,,-3.890000,,,,,,,,,,-3.478507,-3.890000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200002018","Nodes","2018",21.000000,36.470433,"Default Known Flow Node","Known Flow",273558.840594,658962.456519,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401201463921","Nodes",,21.000000,37.582761,"Default Known Flow Node","Known Flow",276819.716481,658956.081517,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200005386","Nodes",,21.000000,37.582761,"Default Known Flow Node","Known Flow",276823.216482,658961.206519,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401201462702","Nodes",,21.000000,37.149268,"Default Known Flow Node","Known Flow",276837.591486,658979.706524,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
