"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64303100000015","Nodes","15",21.000000,43.085616,"DDS","Known Flow",335992.585582,584652.823299,,0.000000,,,,,-10.459999,,-9.353518,-10.459999,,"",,,,,"D1 PROFILE",
"64303100000016","Nodes","16",21.000000,42.551274,"DDS","Known Flow",336091.908604,584690.182010,,0.000000,-4.639999,,,,-30.010000,,-30.984651,-34.650001,,"","C1 PROFILE",,,,"D1 PROFILE",
"64303100000017","Nodes","17",21.000000,42.400329,"DDS","Known Flow",336048.182597,584709.672314,,0.000000,,,,,-9.130000,,-8.164209,-9.130000,,"",,,,,"D1 PROFILE",
"64303100000018","Nodes","18",21.000000,42.465129,"DDS","Known Flow",336209.061193,584642.941089,,0.000000,,,,,-1.009999,,-0.903160,-1.009999,,"",,,,,"D1 PROFILE",
"64303100000019","Nodes","19",21.000000,39.546679,"DDS","Known Flow",336129.194620,584752.954326,,0.000000,-27.070000,,,,-17.790001,,-40.114618,-44.859999,,"","C1 PROFILE",,,,"D1 PROFILE",
"64303100001260","Nodes","-82613",21.000000,39.026959,"Default Known Flow Node","Known Flow",336048.545931,584788.061724,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001241","Nodes","-207254",21.000000,27.129363,"Default Known Flow Node","Known Flow",336213.936643,584753.726326,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000035","Nodes","35",21.000000,29.471923,"DDS","Known Flow",336433.198702,584809.179341,,0.000000,,,,,-4.019999,,-3.594755,-4.019999,,"",,,,,"D1 PROFILE",
"64303100000027","Nodes","27",21.000000,36.879375,"DDS","Known Flow",336384.410689,584594.025283,,0.000000,-5.050000,,-5.489999,-5.769999,-19.130000,,-31.691082,-35.439999,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE","D1 PROFILE",
"64303100000022","Nodes","22",21.000000,38.871781,"DDS","Known Flow",336342.626678,584665.389302,,0.000000,,,,,-5.670000,,-5.070216,-5.670000,,"",,,,,"D1 PROFILE",
"64303100001244","Nodes","-207259",21.000000,35.489814,"Default Known Flow Node","Known Flow",336362.001683,584576.947278,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000028","Nodes","28",21.000000,35.674141,"DDS","Known Flow",336440.668704,584525.870264,,0.000000,,,-9.379999,-3.190000,-5.320000,,-15.997558,-17.890001,,"",,,"C3  PROFILE","C4 PROFILE","D1 PROFILE",
"64303100000030","Nodes","30",21.000000,35.259372,"DDS","Known Flow",336455.506708,584506.333259,,0.000000,-17.299999,,,,-1.479999,,-16.793411,-18.779999,,"","C1 PROFILE",,,,"D1 PROFILE",
"64303100000029","Nodes","29",21.000000,35.436796,"DDS","Known Flow",336384.400689,584446.630243,,0.000000,,,,,-1.710000,,-1.529112,-1.710000,,"",,,,,"D1 PROFILE",
"64303100000024","Nodes","24",21.000000,33.261367,"DDS","Known Flow",336267.211657,584508.544260,,0.000000,,,,,-8.859999,,-7.922770,-8.859999,,"",,,,,"D1 PROFILE",
"64303100000025","Nodes","25",21.000000,34.895357,"DDS","Known Flow",336325.464673,584553.009272,,0.000000,,,,,-10.369999,,-9.273039,-10.369999,,"",,,,,"D1 PROFILE",
"64303100000098","Nodes","98",21.000000,36.534876,"DDS","Known Flow",336161.885628,584795.629338,,0.000000,-8.689999,,,,,,-7.770753,-8.689999,,"","C1 PROFILE",,,,,
"64303100000102","Nodes","102",21.000000,27.032710,"DDS","Known Flow",336219.325644,584772.108331,,0.000000,,,,,-9.750000,,-8.718624,-9.750000,,"",,,,,"D1 PROFILE",
