"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"64401000000214","Nodes","214","21.000000","29.771868","DDS demands","Known Flow","287734.844451","693652.590959","","0.000000","","","","","","","-14.330000","","","","","","","-12.814142","-14.330000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000016363","Nodes","-211","21.000000","29.770282","Default Known Flow Node","Known Flow","287738.969452","693651.715958","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016258","Nodes","-187","21.000000","28.137110","Default Known Flow Node","Known Flow","287724.792448","693538.058928","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012058","Nodes","","21.000000","28.314585","Default Known Flow Node","Known Flow","287745.170454","693523.773924","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012087","Nodes","","21.000000","25.943842","DDS demands","Known Flow","287662.372563","693382.567518","","0.000000","","","","","","","-5.619999","","","","","","","-5.025504","-5.619999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000012069","Nodes","","21.000000","26.244265","DDS demands","Known Flow","287728.229449","693348.039876","","0.000000","","","","","","","-9.899999","","","","","","","-8.852757","-9.899999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000000201","Nodes","201","21.000000","29.696237","DDS demands","Known Flow","287751.344455","693723.840978","","0.000000","","","","","","","-19.080000","","","","","","","-17.061678","-19.080000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000016426","Nodes","-232","21.000000","29.696457","Default Known Flow Node","Known Flow","287754.844456","693719.840977","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012104","Nodes","","21.000000","29.273693","Default Known Flow Node","Known Flow","287622.177070","693622.552130","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000000210","Nodes","210","21.000000","29.188326","DDS demands","Known Flow","287621.202148","693623.152180","","0.000000","","","","","","","-3.559999","","","","","","","-3.183415","-3.559999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000012119","Nodes","","21.000000","32.354778","Default Known Flow Node","Known Flow","287625.621421","693891.768024","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012211","Nodes","","21.000000","31.905482","Default Known Flow Node","Known Flow","287653.240338","693879.304861","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000000196","Nodes","196","21.000000","31.850189","DDS demands","Known Flow","287602.225619","693815.571441","","0.000000","","","","","","","-8.680000","","","","","","","-7.761811","-8.680000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000000209","Nodes","209","21.000000","31.038534","DDS demands","Known Flow","287682.094437","693748.715985","","0.000000","","","","","","","-4.630000","","","","","","","-4.140228","-4.630000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000016442","Nodes","-278","21.000000","32.354778","Default Known Flow Node","Known Flow","287635.720123","693910.560852","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012120","Nodes","","21.000000","32.354778","Default Known Flow Node","Known Flow","287636.948424","693911.254029","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012151","Nodes","","21.000000","31.474445","Default Known Flow Node","Known Flow","287683.252591","693875.894675","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012124","Nodes","","21.000000","31.441356","Default Known Flow Node","Known Flow","287687.594438","693877.841020","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016492","Nodes","-389","21.000000","32.809788","Default Known Flow Node","Known Flow","287574.094407","694186.091104","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012139","Nodes","","21.000000","33.650410","Default Known Flow Node","Known Flow","287682.199437","694112.688084","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016496","Nodes","-398","21.000000","32.464732","Default Known Flow Node","Known Flow","287614.727931","694202.601884","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
