"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64402300001084","Nodes","","21.000000","41.260623","Default Known Flow Node","Known Flow","303866.997841","637593.092704","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001090","Nodes","","21.000000","40.297264","Default Known Flow Node","Known Flow","303870.713842","637583.492702","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001045","Nodes","","21.000000","36.414986","Default Known Flow Node","Known Flow","304099.306904","637591.029704","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001098","Nodes","Maximo 288519, 1 Market Road","21.000000","36.012858","Point Loads","Known Flow","303997.778876","637507.466681","","0.000000","","","","","","","","","-15.689999","","","-14.030278","-15.689999","","","","","","","","","","","PL-AF PROFILE","",""
"64402300001075","Nodes","","21.000000","25.284780","Default Known Flow Node","Known Flow","303647.365781","637273.780618","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001109","Nodes","","21.000000","39.508735","Default Known Flow Node","Known Flow","303854.794837","637570.398698","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001110","Nodes","","21.000000","39.508735","Default Known Flow Node","Known Flow","303850.201836","637573.915699","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001100","Nodes","","21.000000","39.018871","Default Known Flow Node","Known Flow","303999.424877","637646.576719","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001068","Nodes","","21.000000","38.661180","Default Known Flow Node","Known Flow","304025.213884","637732.186742","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001114","Nodes","","21.000000","24.231626","Default Known Flow Node","Known Flow","303633.881777","637190.181595","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001037","Nodes","","21.000000","28.011866","Default Known Flow Node","Known Flow","303669.823787","637578.815701","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001117","Nodes","","21.000000","24.231626","Default Known Flow Node","Known Flow","303677.619789","637208.747600","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001062","Nodes","","21.000000","40.456601","Default Known Flow Node","Known Flow","303867.572841","637589.304703","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001119","Nodes","","21.000000","40.385410","Default Known Flow Node","Known Flow","303869.255841","637586.862703","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001120","Nodes","","21.000000","40.385410","Default Known Flow Node","Known Flow","303871.170842","637587.856703","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001091","Nodes","","21.000000","38.283624","Default Known Flow Node","Known Flow","303884.099845","637568.013698","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001094","Nodes","","21.000000","41.136271","DDS demands","Known Flow","303904.731851","637612.994710","","0.000000","","","","","-4.659999","","","","","","","-4.167055","-4.659999","","","","","","","D1 PROFILE","","","","","",""
"64402300001162","Nodes","Logger 10188, Jct Westercrofts / Knocklea","21.000000","27.023669","Val Log Post","Known Flow","303686.801329","637802.504832","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001133","Nodes","","21.000000","25.936278","Default Known Flow Node","Known Flow","303700.241877","637734.692249","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001126","Nodes","","21.000000","26.887651","Default Known Flow Node","Known Flow","303707.410797","637771.291753","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001127","Nodes","","21.000000","26.887651","Default Known Flow Node","Known Flow","303701.222796","637744.167746","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001128","Nodes","","21.000000","26.057778","Default Known Flow Node","Known Flow","303675.988601","637738.602751","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
