"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"64307700000047","Nodes","47",21.000000,59.030017,"DDS demands","Known Flow",247718.125000,559027.750000,,0.000000,-9.980000,,,,,,-8.924294,-9.980000,,"","C1 PROFILE",,,,,
"64307700000028","Nodes","28",21.000000,51.753049,"DDS demands","Known Flow",247797.625000,559251.125000,,0.000000,,-14.439999,,-0.829999,,,-13.654707,-15.269999,,"",,"C2 PROFILE",,"D1 PROFILE",,
"64307700000011","Nodes","Various properties at 5 x new supplies(ref:6608)",21.000000,49.633291,"Default Known Flow Node","Known Flow",247615.117782,559001.177827,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000009","Nodes","Various properties at 5 x new supplies (ref:6608)",21.000000,58.558634,"Default Known Flow Node","Known Flow",247846.376698,559152.112478,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000010","Nodes","Various properties at 2 x new supplies (ref:6608)",21.000000,52.867769,"Default Known Flow Node","Known Flow",247764.769849,559172.310384,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000052","Nodes",,21.000000,65.923210,"Default Known Flow Node","Known Flow",247468.125000,558939.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000057","Nodes",,21.000000,49.883656,"Default Known Flow Node","Known Flow",247450.375000,558811.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000051","Nodes",,21.000000,49.883656,"Default Known Flow Node","Known Flow",247443.500000,558812.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000056","Nodes",,21.000000,59.749463,"Default Known Flow Node","Known Flow",247527.500000,558659.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000054","Nodes",,21.000000,59.956768,"Default Known Flow Node","Known Flow",247615.000000,558680.375000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000058","Nodes",,21.000000,67.798550,"Default Known Flow Node","Known Flow",247544.875000,558883.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000055","Nodes",,21.000000,57.872948,"Default Known Flow Node","Known Flow",247566.750000,558623.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000050","Nodes",,21.000000,57.955230,"Default Known Flow Node","Known Flow",247571.125000,558633.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000059","Nodes",,21.000000,59.266894,"Default Known Flow Node","Known Flow",247732.375000,559027.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000049","Nodes",,21.000000,51.786727,"Default Known Flow Node","Known Flow",247795.250000,559253.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307700000053","Nodes",,21.000000,51.786727,"Default Known Flow Node","Known Flow",247803.375000,559253.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
