"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"94104302903040","Nodes","2903040",21.000000,24.404870,"DDS demands","Known Flow",517697.500000,143423.075000,,0.000000,,0.000000,-18.879998,-16.882833,-18.879998,,"",,"C4 PROFILE","D1 PROFILE"
"94104300007032","Nodes","Logger 7032, os 27a Lieth Road",21.000000,24.890254,"Val Log Post","Known Flow",517662.750000,143496.950000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903118","Nodes","2903118",21.000000,24.710069,"Default Known Flow Node","Known Flow",517669.125000,143486.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903127","Nodes","2903127",21.000000,28.051277,"Default Known Flow Node","Known Flow",517521.625000,143488.200000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903032","Nodes","2903032",21.000000,28.076113,"DDS demands","Known Flow",517363.500000,143545.700000,,0.000000,,,-3.549999,-3.174473,-3.549999,,"",,,"D1 PROFILE"
"94104302903029","Nodes","2903029",21.000000,27.959804,"Default Known Flow Node","Known Flow",517380.875000,143528.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903028","Nodes","2903028",21.000000,27.964593,"DDS demands","Known Flow",517386.125000,143538.700000,,0.000000,,,-0.199999,-0.178843,-0.199999,,"",,,"D1 PROFILE"
"94104302903132","Nodes","2903132",21.000000,27.915638,"DDS demands","Known Flow",517376.875000,143555.950000,,0.000000,,,-4.219999,-3.773599,-4.219999,,"",,,"D1 PROFILE"
"94104302903131","Nodes","2903131",21.000000,28.090877,"DDS demands","Known Flow",517369.250000,143535.825000,,0.000000,,,-1.169999,-1.046234,-1.169999,,"",,,"D1 PROFILE"
"94104302903125","Nodes","2903125",21.000000,27.089410,"Default Known Flow Node","Known Flow",517613.500000,143577.825000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903017","Nodes","2903017",21.000000,28.555058,"DDS demands","Known Flow",517572.375000,143612.825000,,0.000000,,,-6.380000,-5.705110,-6.380000,,"",,,"D1 PROFILE"
"94104302903124","Nodes","2903124",21.000000,27.947545,"DDS demands","Known Flow",517589.750000,143602.950000,,0.000000,,,-8.770000,-7.842291,-8.770000,,"",,,"D1 PROFILE"
"94104302903128","Nodes","2903128",21.000000,28.463973,"Default Known Flow Node","Known Flow",517569.875000,143602.450000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903019","Nodes","2903019",21.000000,28.463973,"Default Known Flow Node","Known Flow",517538.375000,143605.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903018","Nodes","2903018",21.000000,28.469634,"Default Known Flow Node","Known Flow",517570.250000,143605.325000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903012","Nodes","2903012",21.000000,28.225705,"Default Known Flow Node","Known Flow",517505.125000,143600.325000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903020","Nodes","2903020",21.000000,28.295940,"DDS demands","Known Flow",517595.625000,143580.075000,,0.000000,,,-6.740000,-6.027028,-6.740000,,"",,,"D1 PROFILE"
"94104302903011","Nodes","2903011",21.000000,28.461435,"Default Known Flow Node","Known Flow",517569.250000,143601.325000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903134","Nodes","2903134",21.000000,28.225705,"Default Known Flow Node","Known Flow",517507.125000,143596.950000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903001","Nodes","MEREBANK DG,",21.000000,30.000000,"Default Known Pressure Node","Known Pressure",517558.875000,143627.950000,,1619.999955,,,,206.063548,230.439998,,"",,,
"94104302903074","Nodes","2903074",21.000000,29.355465,"Default Known Flow Node","Known Flow",517560.875000,143619.575000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903075","Nodes","2903075",21.000000,28.697943,"Default Known Flow Node","Known Flow",517573.500000,143615.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903025","Nodes","2903025",21.000000,28.215834,"Default Known Flow Node","Known Flow",517504.125000,143602.075000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903022","Nodes","2903022",21.000000,28.246633,"DDS demands","Known Flow",517560.875000,143564.325000,,0.000000,,,-10.300000,-9.210445,-10.300000,,"",,,"D1 PROFILE"
"94104302903023","Nodes","2903023",21.000000,28.338739,"Default Known Flow Node","Known Flow",517567.500000,143547.450000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903129","Nodes","2903129",21.000000,28.241730,"DDS demands","Known Flow",517575.250000,143537.450000,,0.000000,,,-2.450000,-2.190834,-2.450000,,"",,,"D1 PROFILE"
"94104302903021","Nodes","2903021",21.000000,28.251669,"Default Known Flow Node","Known Flow",517600.875000,143572.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903026","Nodes","2903026",21.000000,28.225705,"Default Known Flow Node","Known Flow",517445.250000,143542.200000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903123","Nodes","2903123",21.000000,29.355465,"Default Known Flow Node","Known Flow",517560.375000,143618.325000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903007","Nodes","MOORHURST LANE DG,",21.000000,30.000000,"Default Known Pressure Node","Known Pressure",517008.250000,143886.575000,,999998.967025,,,,31.065127,34.739999,,"",,,
"94104302903070","Nodes","2903070",21.000000,29.448901,"DDS demands","Known Flow",516969.937500,143973.950000,,0.000000,,-5.429999,-17.370001,-20.388169,-22.800000,,"",,"C4 PROFILE","D1 PROFILE"
"94104302903104","Nodes","2903104",21.000000,29.350507,"DDS demands","Known Flow",516943.750000,144060.075000,,0.000000,,,-11.939999,-10.676961,-11.939999,,"",,,"D1 PROFILE"
"94104302903121","Nodes","2903121",21.000000,28.019847,"Default Known Flow Node","Known Flow",517362.000000,143483.825000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903085","Nodes","2903085",21.000000,27.923742,"DDS demands","Known Flow",517381.000000,143497.325000,,0.000000,,,-2.180000,-1.949395,-2.180000,,"",,,"D1 PROFILE"
"94104302903090","Nodes","2903090",21.000000,27.896224,"Default Known Flow Node","Known Flow",517407.125000,143496.950000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903086","Nodes","2903086",21.000000,27.817425,"DDS demands","Known Flow",517394.125000,143465.450000,,0.000000,,,-0.980000,-0.876333,-0.980000,,"",,,"D1 PROFILE"
"94104302903083","Nodes","2903083",21.000000,27.896586,"DDS demands","Known Flow",517369.875000,143461.325000,,0.000000,,,-1.760000,-1.573823,-1.760000,,"",,,"D1 PROFILE"
"94104302903084","Nodes","2903084",21.000000,27.859519,"DDS demands","Known Flow",517380.750000,143479.075000,,0.000000,,,-1.220000,-1.090945,-1.220000,,"",,,"D1 PROFILE"
