"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"941154-469956","Nodes","-469956",21.000000,29.175062,"Default Known Flow Node","Known Flow",525031.784022,135379.564048,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469154","Nodes","-469154",21.000000,25.699060,"Default Known Flow Node","Known Flow",524367.283841,135599.064108,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605246","Nodes","7605246",21.000000,25.693477,"DDS demands","Known Flow",524371.407060,135599.443878,,0.000000,,,,-13.369999,,,,,-11.955693,-13.369999,,"",,,,"D1 PROFILE",,,,
"941154-469166","Nodes","-469166",21.000000,25.689314,"Default Known Flow Node","Known Flow",524376.783844,135599.939108,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469183","Nodes","-469183",21.000000,27.555919,"Default Known Flow Node","Known Flow",524397.158849,135256.564015,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605243","Nodes","7605243",21.000000,27.576454,"Default Known Flow Node","Known Flow",524399.125536,135261.665109,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469190","Nodes","-469190",21.000000,27.597687,"Default Known Flow Node","Known Flow",524401.158850,135266.939017,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469008","Nodes","-469008",21.000000,24.629408,"Default Known Flow Node","Known Flow",524127.283776,135666.314126,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-7605009","Nodes","-7605009",21.000000,24.629408,"Default Known Flow Node","Known Flow",524122.408775,135676.814129,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468994","Nodes","-468994",21.000000,24.629408,"Default Known Flow Node","Known Flow",524116.283773,135691.689133,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467265","Nodes","-467265",21.000000,25.814252,"Default Known Flow Node","Known Flow",524023.033748,134730.063871,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605084","Nodes","7605084",21.000000,25.785883,"DDS demands","Known Flow",524000.283741,134735.813873,,0.000000,,,,-14.519999,,,,,-12.984044,-14.519999,,"",,,,"D1 PROFILE",,,,
"941154-467247","Nodes","-467247",21.000000,25.809495,"Default Known Flow Node","Known Flow",523958.658730,134741.063874,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467243","Nodes","-467243",21.000000,25.927789,"Default Known Flow Node","Known Flow",523923.158720,134662.563853,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467244","Nodes","-467244",21.000000,25.839476,"Default Known Flow Node","Known Flow",523928.908722,134711.813866,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467251","Nodes","-467251",21.000000,25.795327,"Default Known Flow Node","Known Flow",523970.533733,134772.813883,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467246","Nodes","-467246",21.000000,25.707045,"Default Known Flow Node","Known Flow",523953.908729,134779.313885,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467248","Nodes","-467248",21.000000,25.662914,"Default Known Flow Node","Known Flow",523968.783733,134831.813899,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467253","Nodes","-467253",21.000000,25.832227,"Default Known Flow Node","Known Flow",523975.033734,134875.563911,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467252","Nodes","-467252",21.000000,25.876337,"Default Known Flow Node","Known Flow",523973.908734,134853.188905,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467249","Nodes","-467249",21.000000,25.832227,"Default Known Flow Node","Known Flow",523969.158733,134898.688917,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605082","Nodes","7605082",21.000000,25.636027,"DDS demands","Known Flow",523985.158737,134959.938934,,0.000000,,,,-20.889999,,,,,-18.680211,-20.889999,,"",,,,"D1 PROFILE",,,,
"941154-467256","Nodes","-467256",21.000000,25.636027,"Default Known Flow Node","Known Flow",523985.158737,134961.938934,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467250","Nodes","-467250",21.000000,25.680143,"Default Known Flow Node","Known Flow",523970.283733,134959.188934,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467257","Nodes","-467257",21.000000,25.636027,"Default Known Flow Node","Known Flow",523993.158739,134969.688937,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467254","Nodes","-467254",21.000000,25.636027,"Default Known Flow Node","Known Flow",523976.408735,134981.063940,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467261","Nodes","-467261",21.000000,25.636027,"Default Known Flow Node","Known Flow",524000.908742,134960.938934,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467258","Nodes","-467258",21.000000,25.785883,"Default Known Flow Node","Known Flow",523999.158741,134756.063878,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467271","Nodes","-467271",21.000000,25.840917,"Default Known Flow Node","Known Flow",524047.783754,134734.813873,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605281","Nodes","7605281",21.000000,25.840917,"DDS demands","Known Flow",524044.783753,134734.813873,,0.000000,,,,-12.789999,,,,,-11.437046,-12.789999,,"",,,,"D1 PROFILE",,,,
"941154-467282","Nodes","-467282",21.000000,25.885054,"Default Known Flow Node","Known Flow",524099.283768,134713.438867,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467280","Nodes","-467280",21.000000,25.840917,"Default Known Flow Node","Known Flow",524098.783768,134764.563881,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605087","Nodes","7605087",21.000000,25.578720,"DDS demands","Known Flow",524180.908790,134938.438928,,0.000000,,,,-22.709999,,,,,-20.307688,-22.709999,,"",,,,"D1 PROFILE",,,,
"941154-467294","Nodes","-467294",21.000000,25.726594,"Default Known Flow Node","Known Flow",524225.783803,134957.313933,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467301","Nodes","-467301",21.000000,25.754983,"Default Known Flow Node","Known Flow",524271.408815,134974.688938,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467302","Nodes","-467302",21.000000,25.623601,"Default Known Flow Node","Known Flow",524277.831570,134950.828269,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467309","Nodes","-467309",21.000000,25.758688,"Default Known Flow Node","Known Flow",524315.908827,134988.438942,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467310","Nodes","-467310",21.000000,25.758688,"Default Known Flow Node","Known Flow",524321.783829,134967.813936,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467313","Nodes","-467313",21.000000,25.631843,"Default Known Flow Node","Known Flow",524344.408835,134975.563938,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467316","Nodes","-467316",21.000000,25.631843,"Default Known Flow Node","Known Flow",524368.783842,134975.688938,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467321","Nodes","-467321",21.000000,25.573818,"Default Known Flow Node","Known Flow",524405.783852,134958.688934,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467319","Nodes","-467319",21.000000,25.573818,"Default Known Flow Node","Known Flow",524393.658848,134955.063933,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467326","Nodes","-467326",21.000000,25.573818,"Default Known Flow Node","Known Flow",524444.283862,134965.438935,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467327","Nodes","-467327",21.000000,25.573818,"Default Known Flow Node","Known Flow",524460.158866,134937.688928,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467328","Nodes","-467328",21.000000,24.907852,"Default Known Flow Node","Known Flow",524465.033868,134907.563920,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605273","Nodes","7605273",21.000000,24.952021,"DDS demands","Known Flow",524386.806374,134885.859011,,0.000000,,,,-18.809999,,,,,-16.820238,-18.809999,,"",,,,"D1 PROFILE",,,,
"94115407605083","Nodes","7605083",21.000000,25.832227,"DDS demands","Known Flow",524000.533741,134907.563920,,0.000000,,,,-17.809999,,,,,-15.926020,-17.809999,,"",,,,"D1 PROFILE",,,,
"941154-467263","Nodes","-467263",21.000000,25.902534,"Default Known Flow Node","Known Flow",524009.658744,134704.063864,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467262","Nodes","-467262",21.000000,25.902534,"Default Known Flow Node","Known Flow",524003.658742,134683.438859,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467264","Nodes","-467264",21.000000,25.902534,"Default Known Flow Node","Known Flow",524009.658744,134710.563866,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467266","Nodes","-467266",21.000000,25.858391,"Default Known Flow Node","Known Flow",524027.408749,134704.063864,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467267","Nodes","-467267",21.000000,25.858391,"Default Known Flow Node","Known Flow",524034.033751,134691.188861,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467269","Nodes","-467269",21.000000,25.894327,"Default Known Flow Node","Known Flow",524046.658754,134806.938892,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605280","Nodes","7605280",21.000000,25.896004,"DDS demands","Known Flow",524046.783754,134811.813894,,0.000000,,,,-21.450000,,,,,-19.180974,-21.450000,,"",,,,"D1 PROFILE",,,,
"941154-467273","Nodes","-467273",21.000000,25.884803,"Default Known Flow Node","Known Flow",524060.158758,134856.438906,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467278","Nodes","-467278",21.000000,25.851893,"Default Known Flow Node","Known Flow",524081.408763,134838.188901,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467276","Nodes","-467276",21.000000,25.840917,"Default Known Flow Node","Known Flow",524073.408761,134735.313873,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467275","Nodes","-467275",21.000000,25.905287,"Default Known Flow Node","Known Flow",524067.408760,134882.688913,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467272","Nodes","-467272",21.000000,25.884803,"Default Known Flow Node","Known Flow",524048.783755,134865.813908,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605081","Nodes","7605081",21.000000,25.932035,"Default Known Flow Node","Known Flow",524061.658758,134915.688922,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467277","Nodes","-467277",21.000000,25.913420,"Default Known Flow Node","Known Flow",524075.908762,134891.563915,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467281","Nodes","-467281",21.000000,26.087160,"Default Known Flow Node","Known Flow",524098.783768,134963.938935,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467279","Nodes","-467279",21.000000,26.131241,"Default Known Flow Node","Known Flow",524092.158766,134921.563923,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467284","Nodes","-467284",21.000000,25.028789,"Default Known Flow Node","Known Flow",524126.033776,134891.188915,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467283","Nodes","-467283",21.000000,25.028789,"Default Known Flow Node","Known Flow",524103.908770,134884.688913,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467285","Nodes","-467285",21.000000,25.028789,"Default Known Flow Node","Known Flow",524129.533777,134892.438915,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467287","Nodes","-467287",21.000000,25.072959,"Default Known Flow Node","Known Flow",524144.908781,134859.688907,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467288","Nodes","-467288",21.000000,25.578720,"Default Known Flow Node","Known Flow",524158.408784,134996.438944,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467289","Nodes","-467289",21.000000,25.578720,"Default Known Flow Node","Known Flow",524160.908785,134987.938941,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467290","Nodes","-467290",21.000000,25.578720,"Default Known Flow Node","Known Flow",524170.024417,134999.598396,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605088","Nodes","7605088",21.000000,25.028789,"DDS demands","Known Flow",524191.158793,134902.563918,,0.000000,,,,-48.510000,,,,,-43.378512,-48.510000,,"",,,,"D1 PROFILE",,,,
"941154-467293","Nodes","-467293",21.000000,25.072959,"Default Known Flow Node","Known Flow",524204.658797,134837.438901,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467286","Nodes","-467286",21.000000,25.117133,"Default Known Flow Node","Known Flow",524144.783781,134820.938896,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467295","Nodes","-467295",21.000000,25.462131,"Default Known Flow Node","Known Flow",524227.908803,134919.813923,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605269","Nodes","7605269",21.000000,25.815556,"DDS demands","Known Flow",524257.908811,134996.938944,,0.000000,,,,-21.589999,,,,,-19.306163,-21.589999,,"",,,,"D1 PROFILE",,,,
"941154-467296","Nodes","-467296",21.000000,25.891144,"Default Known Flow Node","Known Flow",524238.408806,134991.188942,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467299","Nodes","-467299",21.000000,25.799352,"Default Known Flow Node","Known Flow",524265.158813,134995.563944,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605271","Nodes","7605271",21.000000,25.758688,"DDS demands","Known Flow",524270.783815,134977.188939,,0.000000,,,,-25.339999,,,,,-22.659481,-25.339999,,"",,,,"D1 PROFILE",,,,
"941154-467306","Nodes","-467306",21.000000,25.758688,"Default Known Flow Node","Known Flow",524297.533822,134983.063940,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467303","Nodes","-467303",21.000000,25.535508,"Default Known Flow Node","Known Flow",524282.596564,134934.957766,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467307","Nodes","-467307",21.000000,25.623601,"Default Known Flow Node","Known Flow",524299.533823,134957.313933,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605272","Nodes","7605272",21.000000,25.533753,"DDS demands","Known Flow",524287.158819,134898.313917,,0.000000,,,,-5.070000,,,,,-4.533684,-5.070000,,"",,,,"D1 PROFILE",,,,
"941154-467304","Nodes","-467304",21.000000,25.533753,"Default Known Flow Node","Known Flow",524285.158819,134897.063917,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605089","Nodes","7605089",21.000000,25.144671,"DDS demands","Known Flow",524340.158834,134904.688919,,0.000000,,,,-10.939999,,,,,-9.782743,-10.939999,,"",,,,"D1 PROFILE",,,,
"941154-467308","Nodes","-467308",21.000000,25.623601,"Default Known Flow Node","Known Flow",524307.658825,134934.813927,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467311","Nodes","-467311",21.000000,25.100516,"Default Known Flow Node","Known Flow",524330.408831,134938.313928,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467314","Nodes","-467314",21.000000,25.100516,"Default Known Flow Node","Known Flow",524352.158837,134940.813929,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605124","Nodes","7605124",21.000000,25.631843,"DDS demands","Known Flow",524374.158843,134977.188939,,0.000000,,,,-17.159999,,,,,-15.344779,-17.159999,,"",,,,"D1 PROFILE",,,,
"941154-467324","Nodes","-467324",21.000000,25.790134,"Default Known Flow Node","Known Flow",524435.656773,134995.688348,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467315","Nodes","-467315",21.000000,25.631843,"Default Known Flow Node","Known Flow",524368.033841,134998.063944,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467297","Nodes","-467297",21.000000,24.996198,"Default Known Flow Node","Known Flow",524246.283808,134848.938904,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467320","Nodes","-467320",21.000000,25.617938,"Default Known Flow Node","Known Flow",524402.783851,134923.188924,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467322","Nodes","-467322",21.000000,25.573818,"Default Known Flow Node","Known Flow",524408.908853,134959.813934,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605274","Nodes","7605274",21.000000,25.573818,"DDS demands","Known Flow",524443.158862,134969.563936,,0.000000,,,,-37.869998,,,,,-33.864031,-37.869998,,"",,,,"D1 PROFILE",,,,
"941154-467323","Nodes","-467323",21.000000,25.573818,"Default Known Flow Node","Known Flow",524417.908855,134927.813925,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605116","Nodes","7605116",21.000000,21.366128,"DDS demands","Known Flow",524867.908977,134948.313931,,0.000000,,,,-16.969999,,,,,-15.174876,-16.969999,,"",,,,"D1 PROFILE",,,,
"941154-467368","Nodes","-467368",21.000000,21.232895,"Default Known Flow Node","Known Flow",524894.908985,134969.688937,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467349","Nodes","-467349",21.000000,21.871888,"Default Known Flow Node","Known Flow",524848.658972,134998.938944,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-467348","Nodes","-467348",21.000000,21.871888,"Default Known Flow Node","Known Flow",524840.283970,134996.438944,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605180","Nodes","7605180,35.37",21.000000,20.971654,"DDS demands","Known Flow",524955.534001,134995.563944,,0.000000,,,,-18.400000,,,,,-16.453609,-18.400000,,"",,,,"D1 PROFILE",,,,
"941154-468998","Nodes","-468998",21.000000,26.043080,"Default Known Flow Node","Known Flow",524120.071274,135003.451446,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469042","Nodes","-469042",21.000000,25.578720,"Default Known Flow Node","Known Flow",524189.658793,135004.938946,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605268","Nodes","7605268",21.000000,26.008942,"Default Known Flow Node","Known Flow",524226.033803,135032.938954,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469114","Nodes","-469114",21.000000,25.758688,"Default Known Flow Node","Known Flow",524309.658826,135009.813947,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468948","Nodes","-468948",21.000000,25.295043,"Default Known Flow Node","Known Flow",524049.783755,135376.314047,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468952","Nodes","-468952",21.000000,25.383243,"Default Known Flow Node","Known Flow",524060.658758,135344.064038,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468950","Nodes","-468950",21.000000,25.575285,"Default Known Flow Node","Known Flow",524056.533757,135293.064024,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605074","Nodes","7605074",21.000000,25.575285,"DDS demands","Known Flow",524120.200346,135308.929021,,0.000000,0.000000,,,-8.930000,,,,,-7.985366,-8.930000,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"941154-468953","Nodes","-468953",21.000000,25.023074,"Default Known Flow Node","Known Flow",524063.158758,135491.439078,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468961","Nodes","-468961",21.000000,25.023074,"Default Known Flow Node","Known Flow",524074.908762,135486.564077,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468957","Nodes","-468957",21.000000,26.137075,"Default Known Flow Node","Known Flow",524071.783761,135068.688963,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468960","Nodes","-468960",21.000000,26.137075,"Default Known Flow Node","Known Flow",524073.033761,135048.688958,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605077","Nodes","7605077",21.000000,25.753931,"DDS demands","Known Flow",524079.033763,135118.563977,,0.000000,,,,-8.749999,,,,,-7.824406,-8.749999,,"",,,,"",,,,
"941154-468967","Nodes","-468967",21.000000,25.663534,"Default Known Flow Node","Known Flow",524078.658763,135252.689014,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468974","Nodes","-468974",21.000000,25.663534,"Default Known Flow Node","Known Flow",524086.533765,135257.064015,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468968","Nodes","-468968",21.000000,25.339141,"Default Known Flow Node","Known Flow",524079.783763,135367.064045,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605073","Nodes","7605073",21.000000,25.339141,"DDS demands","Known Flow",524078.533763,135359.314043,,0.000000,,,,-6.540000,,,,,-5.848185,-6.540000,,"",,,,"D1 PROFILE",,,,
"94115407605076","Nodes","7605076",21.000000,25.767641,"DDS demands","Known Flow",524086.283765,135180.063994,,0.000000,,,,-11.190000,,,,,-10.006298,-11.190000,,"",,,,"D1 PROFILE",,,,
"941154-462304","Nodes","-462304",21.000000,25.715541,"Default Known Flow Node","Known Flow",524071.935315,135116.820499,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468977","Nodes","-468977",21.000000,25.663534,"Default Known Flow Node","Known Flow",524090.033766,135235.439009,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468978","Nodes","-468978",21.000000,25.663534,"Default Known Flow Node","Known Flow",524095.908767,135262.689016,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605075","Nodes","7605075",21.000000,25.663534,"DDS demands","Known Flow",524119.408774,135276.064020,,0.000000,,,,-7.920000,,,,,-7.082205,-7.920000,,"",,,,"D1 PROFILE",,,,
"941154-468990","Nodes","-468990",21.000000,26.137075,"Default Known Flow Node","Known Flow",524111.783772,135068.313963,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-468986","Nodes","-468986",21.000000,26.137075,"Default Known Flow Node","Known Flow",524107.408770,135094.313970,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469001","Nodes","-469001",21.000000,25.304399,"Default Known Flow Node","Known Flow",524121.158774,135434.939063,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469007","Nodes","-469007",21.000000,25.304399,"Default Known Flow Node","Known Flow",524127.158776,135418.439059,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
