"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94118900000156","Nodes","156",21.000000,56.891852,"Default Known Flow Node","Known Flow",518776.301007,119745.606586,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000154","Nodes","154",21.000000,56.761319,"Default Known Flow Node","Known Flow",518732.859906,119767.210984,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000157","Nodes","157",21.000000,56.933063,"Default Known Flow Node","Known Flow",518860.860157,119769.417885,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000152","Nodes","152",21.000000,63.354495,"DDS demands","Known Flow",519270.523326,119236.771948,,0.000000,,,-1.640000,,,,,-1.466517,-1.640000,,"",,,"D1 PROFILE",,,,
"94118900000151","Nodes","151",21.000000,63.340765,"Default Known Flow Node","Known Flow",519271.749946,119237.349646,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000153","Nodes","153",21.000000,63.354495,"Default Known Flow Node","Known Flow",519276.315133,119300.054418,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303010","Nodes","67319/01, CHURCH ROAD, 27.05",24.000000,62.107697,"CSEP DDS Matched","Known Flow",518836.455466,119318.351190,,0.000000,,,,-27.049998,,,,-24.188592,-27.049998,,"",,,,"DC PROFILE",,,
"94118900000100","Nodes","100",21.000000,56.774901,"DDS demands","Known Flow",519023.255991,120352.270834,,0.000000,,,-5.870000,,,,,-5.249059,-5.870000,,"",,,"D1 PROFILE",,,,
"94118900000101","Nodes","101",21.000000,56.692179,"Default Known Flow Node","Known Flow",519015.672615,120286.368406,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000010","Nodes","10",21.000000,63.268551,"Default Known Flow Node","Known Flow",519231.678019,119162.052827,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000008","Nodes","8",21.000000,62.714364,"Default Known Flow Node","Known Flow",519657.229732,119381.087824,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000006","Nodes","6",21.000000,57.915232,"DDS demands","Known Flow",519184.646528,120068.281662,,0.000000,,,-4.239999,,,,,-3.791483,-4.239999,,"",,,"D1 PROFILE",,,,
"94118900000001","Nodes","1",21.000000,56.768145,"DDS demands","Known Flow",519020.360852,120352.659904,,0.000000,,,-1.330000,,,,,-1.189309,-1.330000,,"",,,"D1 PROFILE",,,,
"94118900000004","Nodes","4",21.000000,56.768145,"Default Known Flow Node","Known Flow",519024.313177,120234.923972,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000002","Nodes","2",21.000000,56.768145,"Default Known Flow Node","Known Flow",519041.611419,120239.034445,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000003","Nodes","3",21.000000,56.768145,"Default Known Flow Node","Known Flow",519024.655717,120186.112100,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000005","Nodes","5",21.000000,57.915232,"Default Known Flow Node","Known Flow",519220.448728,120075.632556,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000007","Nodes","7",21.000000,62.714364,"Default Known Flow Node","Known Flow",519631.221616,119403.753605,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000009","Nodes","9",21.000000,63.268551,"Default Known Flow Node","Known Flow",519251.494694,119166.386365,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000011","Nodes","11",21.000000,63.654894,"DDS demands","Known Flow",518876.302377,119203.856134,,0.000000,,,-4.679999,,,,,-4.184939,-4.679999,,"",,,"D1 PROFILE",,,,
