"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94116507902031","Nodes","7902031",21.000000,65.801993,"Default Known Flow Node","Known Flow",534572.480000,139836.535000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902032","Nodes","7902032",21.000000,65.706906,"DDS demands","Known Flow",534660.980000,139837.285000,,0.000000,-4.099999,,-3.666293,-4.099999,,"","D1 PROFILE",
"94116507902035","Nodes","7902035",21.000000,65.174553,"Default Known Flow Node","Known Flow",534588.980000,139536.035000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902049","Nodes","7902049",21.000000,65.149410,"DDS demands","Known Flow",534589.230000,139526.285000,,0.000000,-6.699999,,-5.991259,-6.699999,,"","D1 PROFILE",
"94116507902036","Nodes","7902036",21.000000,65.215735,"Default Known Flow Node","Known Flow",534544.730000,139501.910000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902016","Nodes","7902016",21.000000,64.579981,"DDS demands","Known Flow",534123.605000,140049.285000,,0.000000,-5.249999,,-4.694643,-5.249999,,"","D1 PROFILE",
"94116507902043","Nodes","7902043",21.000000,61.758957,"Default Known Flow Node","Known Flow",534027.980000,140451.660000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902022","Nodes","7902022",21.000000,61.705286,"DDS demands","Known Flow",533998.730000,140488.410000,,0.000000,-4.110000,,-3.675235,-4.110000,,"","D1 PROFILE",
"94116507902020","Nodes","7902020",21.000000,61.927093,"DDS demands","Known Flow",534107.980000,140285.535000,,0.000000,-14.990000,,-13.404326,-14.990000,,"","D1 PROFILE",
"94116500007110","Nodes","Logger 7110, Herons Lea",21.000000,61.925959,"Val Log Post","Known Flow",534107.980000,140291.285000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902021","Nodes","7902021",21.000000,60.277394,"DDS demands","Known Flow",534268.480000,140144.535000,,0.000000,-12.069999,,-10.793209,-12.069999,,"","D1 PROFILE",
"94116507902046","Nodes","7902046",21.000000,60.253554,"Default Known Flow Node","Known Flow",534270.105000,140136.535000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902026","Nodes","7902026",21.000000,60.233763,"Default Known Flow Node","Known Flow",534372.105000,140143.160000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902029","Nodes","7902029",21.000000,54.045234,"DDS demands","Known Flow",534611.480000,139982.035000,,0.000000,-41.939999,,-37.503497,-41.939999,,"","D1 PROFILE",
"94116507902027","Nodes","7902027",21.000000,60.199082,"Default Known Flow Node","Known Flow",534454.605000,140141.410000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902047","Nodes","7902047",21.000000,60.233763,"Default Known Flow Node","Known Flow",534373.980000,140154.285000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902030","Nodes","7902030",21.000000,53.473881,"DDS demands","Known Flow",534799.105000,140036.285000,,0.000000,-1.320000,,-1.180367,-1.320000,,"","D1 PROFILE",
"94116507902028","Nodes","7902028",21.000000,59.763382,"DDS demands","Known Flow",534583.855000,140047.910000,,0.000000,-7.010000,,-6.268468,-7.010000,,"","D1 PROFILE",
"94116507902011","Nodes","7902011",21.000000,69.574401,"Default Known Flow Node","Known Flow",533971.605000,139923.535000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902001","Nodes","DOMEWOOD DG,",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",533923.355000,139950.785000,,8534.000223,,,204.069444,228.209994,,"",,
"94116507902023","Nodes","7902023",21.000000,69.462464,"DDS demands","Known Flow",533850.980000,140021.035000,,0.000000,-1.640000,,-1.466517,-1.640000,,"","D1 PROFILE",
"94116507902037","Nodes","7902037",21.000000,63.308040,"DDS demands","Known Flow",534116.542500,140147.660000,,0.000000,-15.259999,,-13.645765,-15.259999,,"","D1 PROFILE",
"94116500000001","Nodes","1",21.000000,65.636307,"Default Known Flow Node","Known Flow",534399.572448,139704.894749,,0.000000,,,0.000000,0.000000,,"",,
"94116507902041","Nodes","7902041",21.000000,65.214387,"Default Known Flow Node","Known Flow",534597.012509,139576.468752,,0.000000,,,0.000000,0.000000,,"",,
"94116507902038","Nodes","7902038",21.000000,65.633915,"Default Known Flow Node","Known Flow",534394.162095,139712.229036,,0.000000,,,0.000000,0.000000,,"",,
"94116507902039","Nodes","7902039",21.000000,65.579282,"DDS demands","Known Flow",534434.316550,139744.097652,,0.000000,-1.970000,,-1.761609,-1.970000,,"","D1 PROFILE",
"94116507902040","Nodes","7902040",21.000000,65.633915,"Default Known Flow Node","Known Flow",534364.842969,139690.717721,,0.000000,,,0.000000,0.000000,,"",,
"94116507902042","Nodes","7902042",21.000000,65.159466,"DDS demands","Known Flow",534521.131840,139562.214792,,0.000000,-4.320000,,-3.863021,-4.320000,,"","D1 PROFILE",
