"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94122009901135","Nodes","9901135",21.000000,30.844588,"DDS demands","Known Flow",543950.216844,100863.160410,,0.000000,,,,,,,-9.340000,,,,,,-8.351995,-9.340000,,"",,,,,,,"D1 PROFILE",,,,,
"941220-201383","Nodes","-201383",21.000000,30.655396,"Default Known Flow Node","Known Flow",544003.780067,100863.804785,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901025","Nodes","9901025",21.000000,26.932316,"DDS demands","Known Flow",543874.004342,101577.186340,,0.000000,,,,,,,-3.749999,,,,,,-3.353317,-3.749999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901026","Nodes","9901026",21.000000,26.840588,"DDS demands","Known Flow",543847.574321,101529.213565,,0.000000,,,,,,,-4.330000,,,,,,-3.871963,-4.330000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901027","Nodes","9901027",21.000000,27.117022,"DDS demands","Known Flow",543814.914133,101484.304825,,0.000000,,,,,,,-5.400000,,,,,,-4.828776,-5.400000,,"",,,,,,,"D1 PROFILE",,,,,
"941220-383738","Nodes","-383738",21.000000,32.742457,"Default Known Flow Node","Known Flow",544424.164299,100648.929598,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901103","Nodes","9901103",21.000000,29.076258,"DDS demands","Known Flow",544315.427405,101029.350298,,0.000000,,,,,,,-23.149999,,,,,,-20.701143,-23.149999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901069","Nodes","9901069",21.000000,29.080347,"DDS demands","Known Flow",544414.227479,100902.659924,,0.000000,,,,,,,-19.549998,,,,,,-17.481957,-19.549998,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901070","Nodes","9901070",21.000000,29.538947,"DDS demands","Known Flow",544447.796369,100850.669478,,0.000000,,,,,,,-11.669999,,,,,,-10.435522,-11.669999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-421835","Nodes","-421835",21.000000,26.507960,"Default Known Flow Node","Known Flow",543966.289174,101576.179850,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901080","Nodes","9901080",21.000000,26.507793,"DDS demands","Known Flow",544014.415573,101649.442133,,0.000000,,,,,,,-6.280000,,,,,,-5.615688,-6.280000,,"",,,,,,,"D1 PROFILE",,,,,
