"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"94104102901366","Nodes","2901366",21.000000,48.564003,"Default Known Flow Node","Known Flow",517716.790000,147789.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901370","Nodes","2901370",21.000000,48.503107,"Default Known Flow Node","Known Flow",517742.665000,147838.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901372","Nodes","2901372",21.000000,48.473806,"DDS demands","Known Flow",517758.915000,147842.495000,,0.000000,,-5.270000,,,-4.712528,-5.270000,,"",,"D1 PROFILE",,
"94104102901377","Nodes","2901377",21.000000,48.757335,"DDS demands","Known Flow",517502.040000,147690.120000,,0.000000,,-3.579999,,,-3.201299,-3.579999,,"",,"D1 PROFILE",,
"94104102901380","Nodes","2901380",21.000000,48.758506,"Default Known Flow Node","Known Flow",517512.540000,147683.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901383","Nodes","2901383",21.000000,48.801973,"DDS demands","Known Flow",517559.915000,147607.620000,,0.000000,,-4.099999,,,-3.666293,-4.099999,,"",,"D1 PROFILE",,
"94104102901384","Nodes","2901384",21.000000,48.825324,"Default Known Flow Node","Known Flow",517561.665000,147589.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901394","Nodes","2901394",21.000000,48.883631,"Default Known Flow Node","Known Flow",517600.915000,147636.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901387","Nodes","2901387",21.000000,48.841364,"Default Known Flow Node","Known Flow",517571.290000,147630.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901398","Nodes","2901398",21.000000,48.659017,"Default Known Flow Node","Known Flow",517603.290000,147763.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901401","Nodes","2901401",21.000000,48.616733,"Default Known Flow Node","Known Flow",517638.290000,147769.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901359","Nodes","2901359",21.000000,48.006553,"DDS demands","Known Flow",517571.290000,147783.620000,,0.000000,,-1.159999,,,-1.037292,-1.159999,,"",,"D1 PROFILE",,
"94104102901360","Nodes","2901360",21.000000,48.683415,"Default Known Flow Node","Known Flow",517588.665000,147737.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901399","Nodes","2901399",21.000000,48.616733,"DDS demands","Known Flow",517633.665000,147763.620000,,0.000000,,-5.899999,,,-5.275885,-5.899999,,"",,"D1 PROFILE",,
"94104102901351","Nodes","2901351",21.000000,48.881539,"DDS demands","Known Flow",517597.665000,147671.745000,,0.000000,,-10.369999,,,-9.273039,-10.369999,,"",,"D1 PROFILE",,
"94104102901393","Nodes","2901393",21.000000,48.801394,"DDS demands","Known Flow",517596.040000,147680.995000,,0.000000,,-2.559999,,,-2.289197,-2.559999,,"",,"D1 PROFILE",,
"94104102901396","Nodes","2901396",21.000000,48.801768,"Default Known Flow Node","Known Flow",517601.790000,147498.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901363","Nodes","2901363",21.000000,47.496260,"DDS demands","Known Flow",517640.915000,147477.495000,,0.000000,-21.610000,,,,-19.324049,-21.610000,,"","C3  PROFILE",,,
"94104102901356","Nodes","2901356",21.000000,49.274412,"DDS demands","Known Flow",517678.415000,147622.245000,,0.000000,,-9.379999,,,-8.387763,-9.379999,,"",,"D1 PROFILE",,
"94104102901395","Nodes","2901395",21.000000,48.899079,"Default Known Flow Node","Known Flow",517600.915000,147649.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
