"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94117008104106","Nodes",,21.000000,39.376106,"DDS demands","Known Flow",500594.897372,107013.694329,,0.000000,,,,,-17.270000,,-15.443143,-17.270000,,"",,,,,"D1 PROFILE",
"94117008104186","Nodes",,21.000000,23.434547,"DDS demands","Known Flow",501342.119264,106393.980444,,0.000000,,,,,-2.559999,,-2.289197,-2.559999,,"",,,,,"D1 PROFILE",
"94117000001001","Nodes","Crossbush Lane DG, Constant",21.000000,55.000000,"Default Known Pressure Node","Known Pressure",503621.936196,105924.508033,,999998.967025,,,,,,,103.709214,115.977562,,"",,,,,,
"94117000000070","Nodes",,21.000000,30.540213,"Default Known Flow Node","Known Flow",501825.881658,107151.172294,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000024","Nodes",,21.000000,30.101503,"Default Known Flow Node","Known Flow",501865.288061,107109.204627,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000025","Nodes",,21.000000,31.051754,"Default Known Flow Node","Known Flow",501862.246864,107111.095742,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002372","Nodes",,0.000000,31.780688,"Default Known Flow Node","Known Flow",500611.066839,106524.489143,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002379","Nodes",,0.000000,31.423702,"DDS demands","Known Flow",500695.598191,106439.551791,,0.000000,,,,,-3.579999,,-3.201299,-3.579999,,"",,,,,"D1 PROFILE",
"94117000056266","Nodes",,21.000000,31.441340,"DDS demands","Known Flow",500480.017076,106438.817951,,0.000000,,,,,-3.680000,,-3.290721,-3.680000,,"",,,,,"D1 PROFILE",
"94117000056256","Nodes",,21.000000,31.385657,"DDS demands","Known Flow",500325.777299,106457.806178,,0.000000,,,,,-2.279999,,-2.038816,-2.279999,,"",,,,,"D1 PROFILE",
"94117000056290","Nodes",,21.000000,32.000757,"Default Known Flow Node","Known Flow",500680.041509,106579.857820,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000188","Nodes",,21.000000,39.472883,"Default Known Flow Node","Known Flow",500620.652379,107015.306330,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002391","Nodes",,0.000000,37.843317,"Default Known Flow Node","Known Flow",500597.817373,106915.655303,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056269","Nodes",,21.000000,37.467552,"Default Known Flow Node","Known Flow",500549.027360,106881.556294,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002397","Nodes",,0.000000,37.836993,"Default Known Flow Node","Known Flow",500597.985373,106912.372302,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002398","Nodes",,0.000000,37.510855,"Default Known Flow Node","Known Flow",500598.391373,106873.392291,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056258","Nodes",,21.000000,31.503820,"DDS demands","Known Flow",500342.652304,106592.931215,,0.000000,,,,,-1.960000,,-1.752667,-1.960000,,"",,,,,"D1 PROFILE",
