"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"94118709301052","Nodes","9301052","21.000000","35.904940","Default Known Flow Node","Known Flow","526181.600000","129924.442812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301088","Nodes","9301088","21.000000","35.809100","Default Known Flow Node","Known Flow","526171.850000","129894.060000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301050","Nodes","9301050","21.000000","35.817496","DDS demands","Known Flow","526187.725000","129937.060000","","0.000000","","","","-3.059999","","","","-2.736306","-3.059999","","","","","","D1 PROFILE","","",""
"94118709301092","Nodes","9301092","21.000000","35.821117","Default Known Flow Node","Known Flow","526190.475000","129940.942812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301047","Nodes","9301047","21.000000","29.090674","DDS demands","Known Flow","526211.975000","129569.810000","","0.000000","","","","-11.119999","","-17.909999","","-25.959145","-29.029998","","","","","","D1 PROFILE","","I2 PROFILE",""
"94118709301089","Nodes","9301089","21.000000","29.124147","DDS demands","Known Flow","526178.225000","129577.442812","0.000000","0.000000","","-4.550000","","","","","","-4.068691","-4.550000","","","","C4 PROFILE","","","","",""
"94118709301094","Nodes","9301094","21.000000","34.260804","Default Known Flow Node","Known Flow","526216.725000","129770.692812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301043","Nodes","SEP1689, High Street,Hand Cross, SEP1689 22.85","24.000000","36.006940","CSEP DDS Matched","Known Flow","526283.600000","129936.942812","","0.000000","","-1.949999","-10.039999","-72.140000","-12.810000","","","-86.685481","-96.940002","","","","C4 PROFILE","CC PROFILE","D1 PROFILE","DC PROFILE","",""
"94118709301093","Nodes","9301093","21.000000","34.304939","Default Known Flow Node","Known Flow","526207.850000","129777.560000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301095","Nodes","9301095","21.000000","34.192994","Default Known Flow Node","Known Flow","526216.850000","129763.942812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
