"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"94119709309023","Nodes","9309023",21.000000,66.512600,"Default Known Flow Node","Known Flow",526799.840000,118244.840000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309036","Nodes","9309036",21.000000,66.685137,"DDS demands","Known Flow",526740.090000,118223.972812,,0.000000,-3.140000,,,,,-2.807844,-3.140000,,"","D1 PROFILE",,,,
"94119709309024","Nodes","9309024",21.000000,65.889433,"DDS demands","Known Flow",526923.965000,118222.472812,,0.000000,-15.710000,,,,,-14.048163,-15.710000,,"","D1 PROFILE",,,,
"94119709309025","Nodes","9309025",21.000000,65.871762,"DDS demands","Known Flow",526955.090000,118232.972812,,0.000000,-2.779999,,,,,-2.485925,-2.779999,,"","D1 PROFILE",,,,
"94119709309032","Nodes","9309032",21.000000,65.533460,"DDS demands","Known Flow",526840.590000,118470.590000,,0.000000,-4.670000,,,,,-4.175997,-4.670000,,"","D1 PROFILE",,,,
"94119709309031","Nodes","9309031",21.000000,65.604363,"DDS demands","Known Flow",526871.715000,118507.472812,,0.000000,-2.390000,,,,,-2.137181,-2.390000,,"","D1 PROFILE",,,,
"94119709309027","Nodes","9309027",21.000000,66.535684,"Default Known Flow Node","Known Flow",526802.215000,118567.590000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309050","Nodes","-380383",21.000000,66.024914,"Default Known Flow Node","Known Flow",526841.340000,118564.222812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309049","Nodes","-380379",21.000000,66.535601,"DDS demands","Known Flow",526795.840000,118572.590000,,0.000000,-1.179999,,,,,-1.055177,-1.179999,,"","D1 PROFILE",,,,
"94119709309028","Nodes","9309028",21.000000,66.575082,"DDS demands","Known Flow",526840.090000,118632.590000,,0.000000,-1.339999,,,,,-1.198251,-1.339999,,"","D1 PROFILE",,,,
"94119709309014","Nodes","9309014",21.000000,65.777356,"DDS demands","Known Flow",526846.590000,118573.472812,,0.000000,-16.110000,,0.000000,,,-14.405850,-16.110000,,"","D1 PROFILE",,"DH PROFILE",,
"94119709309030","Nodes","9309030",21.000000,65.702644,"DDS demands","Known Flow",526877.090000,118545.340000,,0.000000,-3.920000,,,,,-3.505334,-3.920000,,"","D1 PROFILE",,,,
"94119709309033","Nodes","9309033",21.000000,65.535474,"Default Known Flow Node","Known Flow",526891.840000,118502.340000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309051","Nodes","-380389",21.000000,65.691182,"DDS demands","Known Flow",526899.340000,118535.840000,,0.000000,-2.580000,,,,,-2.307082,-2.580000,,"","D1 PROFILE",,,,
"94119709309034","Nodes","9309034",21.000000,65.248151,"DDS demands","Known Flow",526920.715000,118512.472812,,0.000000,-7.649999,,,,,-6.840766,-7.649999,,"","D1 PROFILE",,,,
"94119709309045","Nodes","-377655",21.000000,66.695876,"DDS demands","Known Flow",526722.840000,118330.472812,,0.000000,-12.199999,,,,,-10.909458,-12.199999,,"","D1 PROFILE",,,,
"94119709309037","Nodes","SEP00130, SAYERS COMMON, 20.89",26.000000,66.649614,"CSEP DDS Matched","Known Flow",526703.340000,118337.340000,,0.000000,,-20.889999,,,,-18.680211,-20.889999,,"",,"DC PROFILE",,,
"94119700007173","Nodes","Logger 7173",21.000000,66.591430,"Val Log Cath","Known Flow",526740.652500,118391.722812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309019","Nodes","P00100191, Reeds Lane, 22.62scmh",24.000000,61.821451,"CSEP DDS Matched","Known Flow",526421.277960,118156.199797,,0.000000,,-22.620000,,,,-20.227208,-22.620000,,"",,"DC PROFILE",,,
"94119709309044","Nodes","-3561442",21.000000,63.217522,"DDS demands","Known Flow",526509.590000,118179.590000,,0.000000,-8.790000,,,,,-7.860175,-8.790000,,"","D1 PROFILE",,,,
"94119709309040","Nodes","-3329720",21.000000,66.437025,"DDS demands","Known Flow",526784.590000,118205.340000,,0.000000,-4.489999,,,,,-4.015038,-4.489999,,"","D1 PROFILE",,,,
"94119709309035","Nodes","SEP00734, REEDS LANE, SAYERS COMMON, 7.47",48.000000,63.151613,"CSEP DDS Matched","Known Flow",526507.715000,118171.222812,,0.000000,,-12.550000,,,,-11.222435,-12.550000,,"",,"DC PROFILE",,,
"94119709309042","Nodes","-3330997",21.000000,65.133601,"Default Known Flow Node","Known Flow",526881.215000,118669.340000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309041","Nodes","-3330996",21.000000,65.095480,"Default Known Flow Node","Known Flow",526869.090000,118676.340000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309043","Nodes","-3330998",21.000000,63.657886,"DDS demands","Known Flow",526944.090000,118911.090000,,0.000000,,,,-35.849999,,-32.057711,-35.849999,,"",,,,"I2 PROFILE",
"94119709309029","Nodes","9309029",21.000000,65.133601,"Default Known Flow Node","Known Flow",526882.090000,118673.972812,,0.000000,0.000000,,,,,0.000000,0.000000,,"","",,,,
"94119700000001","Nodes",,21.000000,66.024598,"DDS demands","Known Flow",526851.776311,118211.599409,,0.000000,-4.810000,,,,,-4.301188,-4.810000,,"","D1 PROFILE",,,,
"94119700000010","Nodes",,21.000000,64.457737,"DDS demands","Known Flow",526572.472561,118184.808145,,0.000000,-3.510000,,,,,-3.138704,-3.510000,,"","D1 PROFILE",,,,
"94119700000002","Nodes",,21.000000,65.979166,"DDS demands","Known Flow",526842.571087,118183.896278,,0.000000,-2.059999,,,,,-1.842088,-2.059999,,"","D1 PROFILE",,,,
"94119709309039","Nodes",,21.000000,65.928910,"DDS demands","Known Flow",526855.973569,118169.119182,,0.000000,-6.119999,,,,,-5.472613,-6.119999,,"","D1 PROFILE",,,,
"94119700000005","Nodes",,21.000000,65.949368,"Default Known Flow Node","Known Flow",526835.724454,118185.138717,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309052","Nodes",,21.000000,65.857062,"DDS demands","Known Flow",526817.140737,118196.955106,,0.000000,-8.810000,,,,,-7.878060,-8.810000,,"","D1 PROFILE",,,,
"94119709309053","Nodes",,21.000000,65.949368,"Default Known Flow Node","Known Flow",526821.608231,118163.277075,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309054","Nodes","P13132118, CSEP, WHITEOAKS FARM, -113.54 SCMH",24.000000,61.013000,"CSEP Unmatched","Known Flow",526358.257434,118120.134688,,0.000000,,,,,-113.539997,-101.529499,-113.539997,,"",,,,,"DC PROFILE"
"94119709309055","Nodes",,21.000000,66.431066,"DDS demands","Known Flow",526805.456522,118193.862226,,0.000000,-1.919999,,,,,-1.716898,-1.919999,,"","D1 PROFILE",,,,
"94119709309056","Nodes",,21.000000,65.890132,"DDS demands","Known Flow",526783.119051,118185.958198,,0.000000,-10.060000,,,,,-8.995832,-10.060000,,"","D1 PROFILE",,,,
"94119709309038","Nodes",,21.000000,64.445654,"DDS demands","Known Flow",526582.404854,118119.096995,,0.000000,-1.590000,,,,,-1.421806,-1.590000,,"","D1 PROFILE",,,,
"94119709309918","Nodes","9309018",21.000000,66.706240,"Default Known Flow Node","Known Flow",526672.965000,118208.472812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119700000004","Nodes",,21.000000,61.012942,"DDS demands","Known Flow",526356.590000,118119.090000,,0.000000,-4.239999,,,,,-3.791483,-4.239999,,"","D1 PROFILE",,,,
"941197-000001","Nodes",,21.000000,66.431584,"Default Known Flow Node","Known Flow",526778.995211,118200.047987,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
