"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94120209505101","Nodes","9505101","21.000000","38.941627","DDS demands","Known Flow","558574.477882","121581.996608","","0.000000","","","","","-11.680000","","","","","","-10.444465","-11.680000","","","","","","","D1 PROFILE","","","","",""
"94120209505100","Nodes","9505100","21.000000","39.943054","DDS demands","Known Flow","558500.418129","121498.685271","","0.000000","","","","","-6.540000","","","","","","-5.848185","-6.540000","","","","","","","D1 PROFILE","","","","",""
"94120209505023","Nodes","9505023","21.000000","43.211337","DDS demands","Known Flow","558404.196949","120697.079284","","0.000000","","","","","-11.520000","","","","","","-10.301390","-11.520000","","","","","","","D1 PROFILE","","","","",""
"94120200007295","Nodes","Logger 7295, ''Holly Drive / Hailsham Road''","21.000000","43.689797","Val Log Post","Known Flow","558437.474017","120664.358568","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505030","Nodes","9505030","21.000000","43.751716","DDS demands","Known Flow","558448.668115","120661.560043","","0.000000","","","","","-10.849999","","","","","","-9.702263","-10.849999","","","","","","","D1 PROFILE","","","","",""
"94120209505109","Nodes","9505109","21.000000","39.685616","Default Known Flow Node","Known Flow","559712.777505","121897.494558","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200007293","Nodes","Logger 7293, ''Greenviews''","21.000000","39.604123","Val Log Post","Known Flow","559719.602600","121890.122077","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505174","Nodes","9505174","21.000000","34.873954","Default Known Flow Node","Known Flow","560145.585407","122048.856851","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505143","Nodes","9505143","21.000000","29.892107","DDS demands","Known Flow","557899.542966","121397.935244","","0.000000","0.000000","","","-5.140000","-9.450000","","","","","","-13.046639","-14.590000","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","","","",""
"94120209505194","Nodes","9505194","21.000000","29.915077","Default Known Flow Node","Known Flow","557907.732455","121401.893497","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505063","Nodes","9505063","21.000000","30.285227","DDS demands","Known Flow","558021.292999","121463.060261","","0.000000","","","","-13.729999","-37.020001","","","","","","-45.381558","-50.750000","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"94120200002518","Nodes","","21.000000","46.447224","Default Known Flow Node","Known Flow","559346.918359","121824.060359","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505111","Nodes","9505111","21.000000","43.559666","Default Known Flow Node","Known Flow","559520.423454","121847.117250","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505177","Nodes","9505177","21.000000","39.607657","DDS demands","Known Flow","559742.421002","121904.175793","","0.000000","","","","","-7.970000","","","","","","-7.126916","-7.970000","","","","","","","D1 PROFILE","","","","",""
"94120209505183","Nodes","9505183","21.000000","34.110753","DDS demands","Known Flow","560205.350585","122082.727121","","0.000000","","","","","-1.549999","","","","","","-1.386037","-1.549999","","","","","","","D1 PROFILE","","","","",""
"94120200002512","Nodes","","21.000000","47.151629","Default Known Flow Node","Known Flow","559345.071036","121821.383822","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505108","Nodes","9505108","21.000000","44.743986","DDS demands","Known Flow","559150.356318","121795.629757","","0.000000","","","","","-13.309999","","","-9.460000","","","-20.361342","-22.769999","","","","","","","D1 PROFILE","","","I2 PROFILE","",""
"94120209505107","Nodes","9505107","21.000000","41.692817","DDS demands","Known Flow","558870.793230","121767.685344","","0.000000","","","","","-8.130000","","","","","","-7.269991","-8.130000","","","","","","","D1 PROFILE","","","","",""
"94120209505069","Nodes","9505069","21.000000","39.652259","DDS demands","Known Flow","558041.293004","121286.310213","","0.000000","","","","-6.749999","-17.479999","","","-13.109999","","","-33.390095","-37.339997","","","","","","C4 PROFILE","D1 PROFILE","","","I2 PROFILE","",""
"94120209505070","Nodes","9505070","21.000000","39.751082","DDS demands","Known Flow","558051.632163","121104.849722","","0.000000","","","","","-18.989999","","","","","","-16.981198","-18.989999","","","","","","","D1 PROFILE","","","","",""
"94120209505064","Nodes","9505064","21.000000","32.720063","DDS demands","Known Flow","558123.543026","121517.560276","","0.000000","-7.070000","","","","-9.800000","","","","","","-15.085456","-16.870000","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"94120209505065","Nodes","9505065","21.000000","34.046357","DDS demands","Known Flow","558117.667945","121482.059631","","0.000000","-11.119999","","","-4.770000","-4.829999","","","","","","-18.528193","-20.720000","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","","","",""
"94120209505066","Nodes","9505066","21.000000","37.488170","DDS demands","Known Flow","558106.543022","121395.935243","","0.000000","-46.439996","","","-4.150000","-4.010000","","","","","","-48.824295","-54.599995","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","","","",""
"94120209505026","Nodes","9505026","21.000000","43.424082","DDS demands","Known Flow","558470.668121","120772.810073","","0.000000","","","","","-10.909999","","","","","","-9.755916","-10.909999","","","","","","","D1 PROFILE","","","","",""
"94120209505016","Nodes","9505016","21.000000","45.559276","DDS demands","Known Flow","558191.426893","120559.689571","","0.000000","","","","","-16.149999","","","","","","-14.441618","-16.149999","","","","","","","D1 PROFILE","","","","",""
"94120209505015","Nodes","9505015","21.000000","43.763761","DDS demands","Known Flow","558140.201111","120645.440700","","0.000000","","","","","-27.469999","","","","","","-24.564165","-27.469999","","","","","","","D1 PROFILE","","","","",""
"94120200002276","Nodes","","21.000000","42.410126","Default Known Flow Node","Known Flow","558082.816291","120715.830748","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505159","Nodes","9505159","21.000000","39.360333","DDS demands","Known Flow","557841.454592","121001.974897","","0.000000","","","","","-21.699999","","","","","","-19.404527","-21.699999","","","","","","","D1 PROFILE","","","","",""
"94120209505149","Nodes","9505149","21.000000","39.050569","DDS demands","Known Flow","557783.101889","121053.284055","","0.000000","","","","","-22.039999","","","","","","-19.708563","-22.039999","","","","","","","D1 PROFILE","","","","",""
"94120209505142","Nodes","9505142","21.000000","29.737064","DDS demands","Known Flow","557872.807905","121392.898637","","0.000000","-34.880000","","","","-7.849999","","","","","","-38.209931","-42.730000","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"94120209505145","Nodes","9505145, ''P07115945'',''Thorntree Close'', 8.58","22.999998","36.187002","CSEP DDS Matched","Known Flow","557933.965975","121018.730140","","0.000000","","","","","","-8.579999","","","","","-7.672389","-8.579999","","","","","","","","DC PROFILE","","","",""
"94120209505141","Nodes","9505141","21.000000","30.047758","DDS demands","Known Flow","557627.539402","121334.360640","","0.000000","","","","","-24.719999","","","","","","-22.105066","-24.719999","","","","","","","D1 PROFILE","","","","",""
"94120200002613","Nodes","","21.000000","31.579385","Default Known Flow Node","Known Flow","557533.042866","121318.560222","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002412","Nodes","","21.000000","34.768666","Default Known Flow Node","Known Flow","556183.915009","121694.309937","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505123","Nodes","9505123","21.000000","35.056987","DDS demands","Known Flow","556026.348348","121672.709455","","0.000000","","","","","-22.790001","","","","","","-20.379228","-22.790001","","","","","","","D1 PROFILE","","","","",""
"94120209505192","Nodes","9505192","21.000000","35.261945","DDS demands","Known Flow","555984.542444","121670.060318","","0.000000","","","","","-1.949999","","","","","","-1.743724","-1.949999","","","","","","","D1 PROFILE","","","","",""
"94120200002272","Nodes","","21.000000","40.344417","Default Known Flow Node","Known Flow","557896.667965","120816.560085","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505158","Nodes","9505158","21.000000","40.720158","DDS demands","Known Flow","557690.904161","120836.251673","","0.000000","","","","","-17.920000","","","","","","-16.024385","-17.920000","","","","","","","D1 PROFILE","","","","",""
"94120200002256","Nodes","","21.000000","40.631588","DDS demands","Known Flow","557601.417884","120784.185077","","0.000000","","","","","-2.230000","","","","","","-1.994105","-2.230000","","","","","","","D1 PROFILE","","","","",""
"94120200002029","Nodes","","21.000000","39.961781","Default Known Flow Node","Known Flow","555528.542828","121594.834383","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505053","Nodes","9505053","21.000000","42.155791","DDS demands","Known Flow","555377.414910","121594.562468","","0.000000","","","","","-7.239999","","","","","","-6.474137","-7.239999","","","","","","","D1 PROFILE","","","","",""
"94120200002027","Nodes","","21.000000","46.521320","Default Known Flow Node","Known Flow","555115.417208","121588.810295","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002025","Nodes","","21.000000","36.713125","Default Known Flow Node","Known Flow","554827.917887","121581.533479","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505046","Nodes","9505046","21.000000","33.700833","DDS demands","Known Flow","554714.667392","121577.511040","","0.000000","","","","","-8.680000","","","","","","-7.761811","-8.680000","","","","","","","D1 PROFILE","","","","",""
"94120209505045","Nodes","9505045","21.000000","28.673388","DDS demands","Known Flow","554506.542042","121558.060287","","0.000000","","-3.309999","","","-8.989999","","","","","","-10.998880","-12.299999","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"94120209505044","Nodes","9505044","21.000000","27.419425","DDS demands","Known Flow","554167.183660","121456.315907","","0.000000","","","","","-6.030000","","","","","","-5.392134","-6.030000","","","","","","","D1 PROFILE","","","","",""
"94120200002008","Nodes","","21.000000","27.419425","Default Known Flow Node","Known Flow","554089.666929","121420.935250","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002093","Nodes","","21.000000","26.824614","Default Known Flow Node","Known Flow","554444.417025","120259.559934","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505165","Nodes","9505165","21.000000","27.105152","DDS demands","Known Flow","554639.792079","120334.684954","","0.000000","","","","","-25.140000","","","","","","-22.480638","-25.140000","","","","","","","D1 PROFILE","","","","",""
"94120200002585","Nodes","","21.000000","27.774763","Default Known Flow Node","Known Flow","554823.924575","120487.547921","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002431","Nodes","","21.000000","27.863395","Default Known Flow Node","Known Flow","554813.917126","120436.434982","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505020","Nodes","9505020","21.000000","45.818468","DDS demands","Known Flow","558265.043065","120436.059982","","0.000000","","","","","-25.040000","","","","","","-22.391217","-25.040000","","","","","","","D1 PROFILE","","","","",""
"94120200002174","Nodes","","21.000000","45.065759","Default Known Flow Node","Known Flow","558253.293062","120391.309970","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002135","Nodes","","21.000000","44.977395","Default Known Flow Node","Known Flow","558350.543088","120245.934930","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002037","Nodes","","21.000000","44.885512","DDS demands","Known Flow","558394.168100","120261.309934","","0.000000","","","","","-3.710000","","","","","","-3.317548","-3.710000","","","","","","","D1 PROFILE","","","","",""
"94120200002153","Nodes","","21.000000","45.092188","Default Known Flow Node","Known Flow","558365.168092","120322.934951","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002129","Nodes","","21.000000","45.004333","DDS demands","Known Flow","558309.293077","120188.434914","","0.000000","","","","","-20.070000","","","","","","-17.946953","-20.070000","","","","","","","D1 PROFILE","","","","",""
"94120200002128","Nodes","","21.000000","45.036190","Default Known Flow Node","Known Flow","558374.168095","120181.809913","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002130","Nodes","","21.000000","45.036190","Default Known Flow Node","Known Flow","558336.417496","120200.060207","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002078","Nodes","","21.000000","44.767505","Default Known Flow Node","Known Flow","558458.793118","120376.809966","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002150","Nodes","","21.000000","44.767505","Default Known Flow Node","Known Flow","558419.168107","120312.934948","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002167","Nodes","","21.000000","47.179402","Default Known Flow Node","Known Flow","558111.168023","120352.559959","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002172","Nodes","","21.000000","47.222204","Default Known Flow Node","Known Flow","558131.043029","120385.434968","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002133","Nodes","","21.000000","41.373160","Default Known Flow Node","Known Flow","558197.668047","120231.809926","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002131","Nodes","","21.000000","41.300424","DDS demands","Known Flow","558194.168046","120210.684920","","0.000000","","","","","-9.829999","","","","","","-8.790161","-9.829999","","","","","","","D1 PROFILE","","","","",""
"94120200002138","Nodes","","21.000000","42.091920","Default Known Flow Node","Known Flow","558216.043052","120264.934935","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002137","Nodes","","21.000000","41.950238","Default Known Flow Node","Known Flow","558223.918054","120264.309935","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002134","Nodes","","21.000000","41.397596","Default Known Flow Node","Known Flow","558218.668052","120234.059927","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002042","Nodes","","21.000000","41.036296","Default Known Flow Node","Known Flow","558222.668053","120199.184917","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
