"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94117908306113","Nodes","-498466","21.000000","29.516911","DDS demands","Known Flow","513120.550000","116549.200000","","0.000000","","","","-3.670000","","","","","","-3.281779","-3.670000","","","","","","D1 PROFILE","","","","",""
"94117908306117","Nodes","-498470","21.000000","29.516264","DDS demands","Known Flow","513140.800000","116587.700000","","0.000000","","","","-4.199999","","","","","","-3.755715","-4.199999","","","","","","D1 PROFILE","","","","",""
"94117900007170","Nodes","7170","21.000000","32.822729","Val Log Cath","Known Flow","513097.643750","116026.200000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306065","Nodes","SEP00629, RECTORY PLACE, RECTORY LANE, 9.60scmh","25.000000","28.638569","CSEP DDS Matched","Known Flow","512968.175000","116401.387500","","0.000000","","","","","-9.600000","","","","","-8.584492","-9.600000","","","","","","","DC PROFILE","","","",""
"94117908306064","Nodes","8306064","21.000000","33.856422","DDS demands","Known Flow","513217.050000","115985.582812","","0.000000","","","","-6.370000","","","","","","-5.696168","-6.370000","","","","","","D1 PROFILE","","","","",""
"94117908306109","Nodes","-3368991","21.000000","33.967434","DDS demands","Known Flow","513213.237500","115922.200000","","0.000000","","","","-10.889999","","","","","","-9.738032","-10.889999","","","","","","D1 PROFILE","","","","",""
"94117908306102","Nodes","-3362299","21.000000","24.693255","DDS demands","Known Flow","512829.800000","115743.450000","","0.000000","","","","-4.610000","","","","","","-4.122344","-4.610000","","","","","","D1 PROFILE","","","","",""
"94117908306103","Nodes","-3362300","21.000000","24.731544","DDS demands","Known Flow","512848.550000","115762.332812","","0.000000","","","","-4.760000","","","","","","-4.256477","-4.760000","","","","","","D1 PROFILE","","","","",""
"94117908306106","Nodes","-3362303","21.000000","25.677201","Default Known Flow Node","Known Flow","512914.925000","115831.082812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306104","Nodes","-3362301","21.000000","24.706903","DDS demands","Known Flow","512853.300000","115779.832812","","0.000000","","","","-4.019999","","","","","","-3.594755","-4.019999","","","","","","D1 PROFILE","","","","",""
