"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"94103304619270","Nodes","4619270","21.000000","32.073229","Default Known Flow Node","Known Flow","496777.919957","155378.928510","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620619","Nodes","4620619","21.000000","32.073229","Default Known Flow Node","Known Flow","496781.151335","155382.694491","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304621586","Nodes","4621586","21.000000","24.641077","Default Known Flow Node","Known Flow","493851.775538","155904.444633","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622515","Nodes","4622515","21.000000","29.565014","Default Known Flow Node","Known Flow","494484.900710","155890.194629","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620453","Nodes","4620453","21.000000","22.738838","Default Known Flow Node","Known Flow","495436.150969","155585.569546","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304625280","Nodes","4625280","21.000000","22.738838","Default Known Flow Node","Known Flow","495456.771012","155500.818193","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304621263","Nodes","4621263","21.000000","37.197203","Default Known Flow Node","Known Flow","497816.651617","155678.194571","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103302702044","Nodes","2702044","21.000000","37.240062","DDS demands","Known Flow","497668.776576","155927.444639","","0.000000","","","-2.460000","","","","-26.680000","","","","-6.000000","","","","","-31.422818","-35.140000","","","","","","C3 PROFILE","","","","D1 PROFILE","","","","I2 PROFILE","","","","",""
"94103304620350","Nodes","4620350","21.000000","36.427796","DDS demands","Known Flow","499692.027127","155723.069584","","0.000000","","","","","","","-1.940000","","","","","","","","","-1.734782","-1.940000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"94103304619998","Nodes","4619998","21.000000","37.408834","Default Known Flow Node","Known Flow","499797.527156","155984.194655","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304625650","Nodes","4625650","21.000000","23.861912","Default Known Flow Node","Known Flow","493852.275538","156497.319794","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620137","Nodes","4620137","21.000000","23.861912","Default Known Flow Node","Known Flow","493910.150554","156453.319782","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620680","Nodes","4620680","21.000000","24.277259","Default Known Flow Node","Known Flow","493838.650534","156319.069746","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619873","Nodes","4619873","21.000000","23.861912","Default Known Flow Node","Known Flow","493849.900537","156498.444795","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619997","Nodes","4619997","21.000000","25.876290","Default Known Flow Node","Known Flow","494337.900670","156498.069795","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622687","Nodes","4622687","21.000000","27.087104","Default Known Flow Node","Known Flow","494405.525688","156292.444739","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
