"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)"
"94123300102816","Nodes","102816",21.000000,40.325012,"DDS demands","Known Flow",541448.946797,121232.483376,,0.000000,,,,,-5.209999,,,,,-4.658875,-5.209999,,"",,,,,"D1 PROFILE",,,,
"94123300102815","Nodes","102815",21.000000,45.321750,"DDS demands","Known Flow",541448.000000,121085.632812,,0.000000,,,,,-3.160000,,,,,-2.825728,-3.160000,,"",,,,,"D1 PROFILE",,,,
"94123309211030","Nodes","9211030",21.000000,44.318372,"DDS demands","Known Flow",541482.112498,121127.168520,,0.000000,,,,,-18.520000,,,,,-16.560915,-18.520000,,"",,,,,"D1 PROFILE",,,,
"94123309211039","Nodes","9211039",21.000000,48.310679,"DDS demands","Known Flow",541169.236292,121120.036088,,0.000000,,,,,-5.700000,,,,,-5.097042,-5.700000,,"",,,,,"D1 PROFILE",,,,
"94123309211083","Nodes","9211083",21.000000,37.394652,"DDS demands","Known Flow",541281.842691,121190.663578,,0.000000,,,,,-3.110000,,,,,-2.781017,-3.110000,,"",,,,,"D1 PROFILE",,,,
"94123309211042","Nodes","23, 24, 25 & 26 Allington Crescent, NA:17832",21.000000,47.201676,"DDS demands","Known Flow",541328.669952,121077.538300,,0.000000,,,,,-8.209999,,,,-8.579999,-15.013918,-16.789999,,"",,,,,"D1 PROFILE",,,,"PL-AF PROFILE"
"94123300102797","Nodes","102797",21.000000,35.881051,"DDS demands","Known Flow",541305.929094,121247.270376,,0.000000,,,,,-4.320000,,,,,-3.863021,-4.320000,,"",,,,,"D1 PROFILE",,,,
"94123309211028","Nodes","9211028",21.000000,38.232056,"DDS demands","Known Flow",541318.234919,121182.469699,,0.000000,-0.910000,,,,-7.780000,,,,,-7.770753,-8.690000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"94123309211046","Nodes","9211046",21.000000,40.129851,"DDS demands","Known Flow",541372.860779,121174.741041,,0.000000,,,,,-2.640000,,,,,-2.360735,-2.640000,,"",,,,,"D1 PROFILE",,,,
"94123300102796","Nodes","102796",21.000000,38.028237,"DDS demands","Known Flow",541292.422700,121137.358344,,0.000000,,,,,-8.020000,,,,,-7.171628,-8.020000,,"",,,,,"D1 PROFILE",,,,
"94123300102801","Nodes","102801",21.000000,39.972199,"DDS demands","Known Flow",541357.000000,121150.250000,,0.000000,,,,,-6.840000,,,,,-6.116450,-6.840000,,"",,,,,"D1 PROFILE",,,,
"94123309211072","Nodes","9211072",21.000000,40.579018,"DDS demands","Known Flow",541420.358264,121266.714581,,0.000000,,,,,-7.590000,,,,,-6.787114,-7.590000,,"",,,,,"D1 PROFILE",,,,
