"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"60603000001477","Nodes","-82518","21.000000","24.985149","Default Known Flow Node","Known Flow","392008.074825","796354.559905","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000108","Nodes","108","21.000000","25.081200","DDS demands","Known Flow","392045.324926","796492.296373","","0.000000","","","","","","-8.140000","","","","-7.278933","-8.140000","","","","","","","","D1 PROFILE","","",""
"60603000001479","Nodes","-82527","21.000000","31.924633","Default Known Flow Node","Known Flow","391461.452787","796593.439820","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000272","Nodes","272","21.000000","33.443050","DDS demands","Known Flow","391509.373689","796503.623945","","0.000000","","","","","","-3.810000","","","","-3.406970","-3.810000","","","","","","","","D1 PROFILE","","",""
"60603000000134","Nodes","134","21.000000","29.363732","DDS demands","Known Flow","391572.126764","796526.709284","","0.000000","","","","","","-1.200000","","","","-1.073061","-1.200000","","","","","","","","D1 PROFILE","","",""
"60603000000277","Nodes","277","21.000000","32.177704","DDS demands","Known Flow","391523.773033","796544.776640","","0.000000","","","","","","-7.999999","","","","-7.153743","-7.999999","","","","","","","","D1 PROFILE","","",""
"60603000000135","Nodes","135","21.000000","27.415327","Default Known Flow Node","Known Flow","391548.440057","796564.270494","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000021","Nodes","21","21.000000","24.196809","DDS demands","Known Flow","391856.980083","796525.940944","","0.000000","","","","","","-4.770000","","","","-4.265419","-4.770000","","","","","","","","D1 PROFILE","","",""
"60603000000022","Nodes","22","21.000000","24.328407","DDS demands","Known Flow","391811.428246","796515.146940","","0.000000","","","","","","-6.179999","","","","-5.526266","-6.179999","","","","","","","","D1 PROFILE","","",""
"60603000000179","Nodes","179","21.000000","26.498362","Default Known Flow Node","Known Flow","391526.596142","796594.686822","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
