"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600400000502","Nodes","502","21.000000","20.865690","DDS demands","Known Flow","265893.963508","844359.631967","","0.000000","","","","","","","-13.669999","","","","","","","","","","","-12.223956","-13.669999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400000515","Nodes","515","21.000000","26.362375","DDS demands","Known Flow","266001.088537","844178.881918","","0.000000","","","-1.980000","","","","-49.539999","","","","","","","","","","","-46.070099","-51.519999","","","","","","C3 PROFILE","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011743","Nodes","-657","21.000000","25.045494","Default Known Flow Node","Known Flow","266193.213589","844281.881946","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011747","Nodes","-666","21.000000","25.030313","Default Known Flow Node","Known Flow","266193.064413","844326.756892","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011744","Nodes","-659","21.000000","25.045494","Default Known Flow Node","Known Flow","266201.963592","844282.006946","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010858","Nodes","-1463328","21.000000","25.001994","Default Known Flow Node","Known Flow","266243.463603","844284.131947","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011746","Nodes","-665","21.000000","25.008701","DDS demands","Known Flow","266219.463596","844317.631956","","0.000000","","","","","","","-2.959999","","","","","","","","","","","-2.646884","-2.959999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011682","Nodes","-4904641","21.000000","24.965199","Default Known Flow Node","Known Flow","266239.086095","844318.613081","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010644","Nodes","-1462889","21.000000","25.008701","Default Known Flow Node","Known Flow","266216.213596","844306.631953","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010900","Nodes","-1463415","21.000000","24.965199","Default Known Flow Node","Known Flow","266256.838607","844322.256957","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011757","Nodes","-686","21.000000","24.835362","Default Known Flow Node","Known Flow","266358.838634","844465.131996","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010997","Nodes","-1463633","21.000000","24.835362","Default Known Flow Node","Known Flow","266293.963617","844464.631996","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
