"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"60603900000093","Nodes","93,","21.000000","26.405055","DDS demands","Known Flow","332335.606587","860138.636261","","0.000000","","-4.810000","","","-4.301188","-4.810000","","","","D1 PROFILE","",""
"60603900000092","Nodes","92,","21.000000","26.074120","DDS demands","Known Flow","332354.106592","860194.011276","","0.000000","","-9.260000","","","-8.280457","-9.260000","","","","D1 PROFILE","",""
"60603900000001","Nodes","MOSSTODLOCH D.G, Site ID 1087","21.000000","33.999999","Default Known Pressure Node","Known Pressure","332782.981709","859906.386198","","999998.967025","","","","","399.044730","446.250000","","","","","",""
"60603900000034","Nodes","34,","21.000000","26.899992","DDS demands","Known Flow","332553.606647","860144.386263","","0.000000","","-11.270000","","","-10.077835","-11.270000","","","","D1 PROFILE","",""
"60603900000032","Nodes","32,","21.000000","29.793252","DDS demands","Known Flow","332742.231698","860084.011246","","0.000000","","-13.130000","","","-11.741081","-13.130000","","","","D1 PROFILE","",""
"60603900000030","Nodes","30,","21.000000","29.871812","DDS demands","Known Flow","332807.606716","860072.136243","","0.000000","","-1.339999","","","-1.198251","-1.339999","","","","D1 PROFILE","",""
"60603901462475","Nodes","1462475,","21.000000","26.405055","Default Known Flow Node","Known Flow","332326.981585","860096.261250","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000031","Nodes","31,","21.000000","29.915236","Default Known Flow Node","Known Flow","332814.356718","860105.511252","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000033","Nodes","33,","21.000000","29.786219","DDS demands","Known Flow","332748.856700","860117.511255","","0.000000","","-1.720000","","","-1.538054","-1.720000","","","","D1 PROFILE","",""
"60603900000040","Nodes","40,","21.000000","25.066671","DDS demands","Known Flow","332427.356612","860070.386242","","0.000000","","-9.479999","","","-8.477185","-9.479999","","","","D1 PROFILE","",""
"60603901462484","Nodes","1462484,","21.000000","25.066671","Default Known Flow Node","Known Flow","332429.981613","860125.761258","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000037","Nodes","37,","21.000000","25.474207","DDS demands","Known Flow","332537.981642","860050.261237","","0.000000","","-11.390000","","","-10.185142","-11.390000","","","","D1 PROFILE","",""
"60603901462471","Nodes","1462471,","21.000000","24.592757","DDS demands","Known Flow","332345.731590","860085.386247","","0.000000","","-7.129999","","","-6.375773","-7.129999","","","","D1 PROFILE","",""
"60603901462489","Nodes","1462489,","21.000000","30.021810","Default Known Flow Node","Known Flow","332876.606734","860052.636238","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000029","Nodes","29,","21.000000","29.468490","DDS demands","Known Flow","332893.481739","860147.386263","","0.000000","","-11.069999","","","-9.898992","-11.069999","","","","D1 PROFILE","",""
"60603900000095","Nodes","95,","21.000000","26.461038","Default Known Flow Node","Known Flow","332403.106606","860179.136272","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000070","Nodes","70,","21.000000","26.461038","Default Known Flow Node","Known Flow","332403.763601","860182.129250","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000073","Nodes","73,","21.000000","26.461038","Default Known Flow Node","Known Flow","332390.493225","860187.190781","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603901462501","Nodes","1462501,","21.000000","27.851945","DDS demands","Known Flow","332625.945407","860130.929415","","0.000000","","-7.760000","","","-6.939131","-7.760000","","","","D1 PROFILE","",""
"60603901462504","Nodes","1462504,","21.000000","26.461038","Default Known Flow Node","Known Flow","332390.856602","860188.636275","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000024","Nodes","24,","21.000000","23.060897","DDS demands","Known Flow","333389.981874","860112.261254","","0.000000","","-15.449999","","","-13.815665","-15.449999","","","","D1 PROFILE","",""
"60603900000025","Nodes","25,","21.000000","23.060664","DDS demands","Known Flow","333390.856874","860115.636255","","0.000000","","-6.079999","","","-5.436844","-6.079999","","","","D1 PROFILE","",""
"60603900000026","Nodes","26,","21.000000","23.036157","DDS demands","Known Flow","333274.856843","860144.886263","","0.000000","","-13.489999","","","-12.062999","-13.489999","","","","D1 PROFILE","",""
"60603900000023","Nodes","23,","21.000000","23.319633","DDS demands","Known Flow","333253.106837","860079.386245","","0.000000","","-16.330000","","","-14.602578","-16.330000","","","","D1 PROFILE","",""
"60603900000044","Nodes","44,","21.000000","23.608046","DDS demands","Known Flow","333189.106819","859964.761214","","0.000000","","-9.359999","","","-8.369879","-9.359999","","","","D1 PROFILE","",""
"60603900000081","Nodes","81,","21.000000","23.017099","DDS demands","Known Flow","333256.356838","859948.886209","","0.000000","","-15.030000","","","-13.440095","-15.030000","","","","D1 PROFILE","",""
"60603910000032","Nodes","10000032,","21.000000","23.652604","Default Known Flow Node","Known Flow","333199.285252","860018.874234","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000083","Nodes","83,","21.000000","22.635087","DDS demands","Known Flow","333370.356869","859918.136201","","0.000000","","-7.989999","","","-7.144800","-7.989999","","","","D1 PROFILE","",""
"60603900000084","Nodes","84,","21.000000","22.669437","Default Known Flow Node","Known Flow","333360.731866","859861.886186","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000086","Nodes","86,","21.000000","22.553953","DDS demands","Known Flow","333422.981883","859895.886195","","0.000000","","-4.510000","","","-4.032922","-4.510000","","","","D1 PROFILE","",""
"60603900000015","Nodes","15,","21.000000","25.026181","DDS demands","Known Flow","332999.731768","860068.261242","","0.000000","","-15.920000","","","-14.235949","-15.920000","","","","D1 PROFILE","",""
"60603900000017","Nodes","17,","21.000000","24.481756","DDS demands","Known Flow","333065.606786","860057.761239","","0.000000","","-16.580000","","","-14.826132","-16.580000","","","","D1 PROFILE","",""
"60603901462510","Nodes","1462510,","21.000000","23.041296","DDS demands","Known Flow","333328.663948","860126.383317","","0.000000","","-7.259999","","","-6.492022","-7.259999","","","","D1 PROFILE","",""
"60603900000027","Nodes","27,","21.000000","22.571890","DDS demands","Known Flow","333368.106868","860186.761274","","0.000000","","-11.609999","","","-10.381868","-11.609999","","","","D1 PROFILE","",""
"60603900000016","Nodes","16,","21.000000","25.013298","DDS demands","Known Flow","332984.481764","859972.636216","","0.000000","","-7.760000","","","-6.939131","-7.760000","","","","D1 PROFILE","",""
"60603900000022","Nodes","22,","21.000000","23.707350","DDS demands","Known Flow","333221.481828","860089.761248","","0.000000","","-0.769999","","","-0.688547","-0.769999","","","","D1 PROFILE","",""
"60603900000043","Nodes","43,","21.000000","23.676124","Default Known Flow Node","Known Flow","333190.231820","860020.261229","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000021","Nodes","21,","21.000000","23.725948","DDS demands","Known Flow","333178.481817","860019.386229","","0.000000","","-12.449999","","","-11.133012","-12.449999","","","","D1 PROFILE","",""
"60603900000045","Nodes","45,","21.000000","22.875488","DDS demands","Known Flow","333306.481851","859938.261207","","0.000000","","-3.059999","","","-2.736306","-3.059999","","","","D1 PROFILE","",""
"60603900000018","Nodes","18,","21.000000","24.425519","DDS demands","Known Flow","333047.731781","859962.511213","","0.000000","","-18.360000","","","-16.417840","-18.360000","","","","D1 PROFILE","",""
"60603900000047","Nodes","47,","21.000000","22.847678","DDS demands","Known Flow","333348.106863","859921.886202","","0.000000","","-1.669999","","","-1.493343","-1.669999","","","","D1 PROFILE","",""
"60603900000082","Nodes","82,","21.000000","23.024333","DDS demands","Known Flow","333277.856844","859903.636197","","0.000000","","-2.769999","","","-2.476983","-2.769999","","","","D1 PROFILE","",""
"60603901462479","Nodes","1462479,","21.000000","23.060664","Default Known Flow Node","Known Flow","333397.606876","860143.261262","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000041","Nodes","41,","21.000000","23.652078","DDS demands","Known Flow","333200.606823","860024.761230","","0.000000","","-4.360000","","","-3.898790","-4.360000","","","","D1 PROFILE","",""
"60603900000042","Nodes","42,","21.000000","23.590391","DDS demands","Known Flow","333357.981865","860019.011229","","0.000000","","-2.720000","","","-2.432272","-2.720000","","","","D1 PROFILE","",""
"60603900000020","Nodes","20,","21.000000","24.119759","DDS demands","Known Flow","333096.106794","859954.636211","","0.000000","","-8.149999","","","-7.287875","-8.149999","","","","D1 PROFILE","",""
"60603900000019","Nodes","19,","21.000000","24.132989","DDS demands","Known Flow","333122.606801","860039.386234","","0.000000","","-17.320000","","","-15.487854","-17.320000","","","","D1 PROFILE","",""
"60603901462498","Nodes","1462498,","21.000000","22.669437","Default Known Flow Node","Known Flow","333358.606866","859849.636182","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000046","Nodes","46,","21.000000","22.864211","DDS demands","Known Flow","333322.981856","859971.511216","","0.000000","","-1.980000","","","-1.770551","-1.980000","","","","D1 PROFILE","",""
"60603900000085","Nodes","85,","21.000000","22.661378","DDS demands","Known Flow","333407.606879","859852.261183","","0.000000","","-1.549999","","","-1.386037","-1.549999","","","","D1 PROFILE","",""
"60603900000167","Nodes","167,","21.000000","23.735910","Default Known Flow Node","Known Flow","333176.329816","860019.786229","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000168","Nodes","168,","21.000000","23.779768","Default Known Flow Node","Known Flow","333170.234814","859978.295217","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603901462503","Nodes","1462503,","21.000000","24.927054","Default Known Flow Node","Known Flow","332604.356660","860037.386234","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603901462488","Nodes","1462488,","21.000000","32.076568","Default Known Flow Node","Known Flow","332849.606727","859953.136211","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000028","Nodes","28,","21.000000","30.077228","DDS demands","Known Flow","332869.856733","860060.261240","","0.000000","-26.770001","-0.990000","","","-24.823490","-27.760001","","","C2 PROFILE","D1 PROFILE","",""
"60603911462501","Nodes","11462501,","21.000000","26.461038","Default Known Flow Node","Known Flow","332405.106606","860181.761273","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603911462510","Nodes","11462510,","21.000000","21.045228","DDS demands","Known Flow","333385.356873","860182.511273","","0.000000","","","-45.700000","","-40.865759","-45.700000","","","","","DH PROFILE",""
