"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60205100003755","Nodes","-54042","21.000000","23.788739","Default Known Flow Node","Known Flow","313415.217439","694119.969086","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000227","Nodes","227","21.000000","23.507170","DDS demands","Known Flow","313328.835415","694383.369158","","0.000000","","","","","-9.289999","","","","","-8.307284","-9.289999","","","","","","","D1 PROFILE","","","",""
"60205100000075","Nodes","75","21.000000","23.558741","DDS demands","Known Flow","313342.112419","694380.597157","","0.000000","","","","","-11.479999","","","","","-10.265620","-11.479999","","","","","","","D1 PROFILE","","","",""
"60205100003751","Nodes","-54037","21.000000","23.549170","DDS demands","Known Flow","313345.825641","694352.828811","","0.000000","","","","","-4.670000","","","","","-4.175997","-4.670000","","","","","","","D1 PROFILE","","","",""
"60205100003761","Nodes","-54051","21.000000","25.647153","Default Known Flow Node","Known Flow","313493.825409","694454.062947","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000249","Nodes","249","21.000000","23.632015","DDS demands","Known Flow","313384.828431","694237.326118","","0.000000","","","","","-13.579999","","","","","-12.143478","-13.579999","","","","","","","D1 PROFILE","","","",""
"60205100000250","Nodes","250","21.000000","23.461866","DDS demands","Known Flow","313343.601419","694241.069119","","0.000000","","","","","-8.260000","","","","","-7.386240","-8.260000","","","","","","","D1 PROFILE","","","",""
"60205100003754","Nodes","-54040","21.000000","23.848875","DDS demands","Known Flow","313403.838436","694191.574105","","0.000000","","","","","-6.429999","","","","","-5.749820","-6.429999","","","","","","","D1 PROFILE","","","",""
"60205100000280","Nodes","280","21.000000","24.351825","DDS demands","Known Flow","313458.811451","694147.468093","","0.000000","","","","","-12.539999","","","","","-11.213492","-12.539999","","","","","","","D1 PROFILE","","","",""
"60205100003759","Nodes","-54047","21.000000","24.087305","Default Known Flow Node","Known Flow","313435.342444","694159.744097","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000281","Nodes","281","21.000000","23.766000","DDS demands","Known Flow","313416.960439","694117.593085","","0.000000","","","","","-12.950000","","","","","-11.580122","-12.950000","","","","","","","D1 PROFILE","","","",""
"60205100000282","Nodes","282","21.000000","22.527264","DDS demands","Known Flow","313426.861442","694074.479074","","0.000000","","","","","-8.050000","","","","","-7.198454","-8.050000","","","","","","","D1 PROFILE","","","",""
"60205100000283","Nodes","283","21.000000","22.279206","DDS demands","Known Flow","313470.477454","694075.965074","","0.000000","","","","","-7.050000","","","","","-6.304236","-7.050000","","","","","","","D1 PROFILE","","","",""
"60205100003760","Nodes","-54048","21.000000","22.253182","DDS demands","Known Flow","313447.983448","694022.969059","","0.000000","","","","","-10.359999","","","","","-9.264096","-10.359999","","","","","","","D1 PROFILE","","","",""
"60205100003749","Nodes","-54035","21.000000","23.319850","Default Known Flow Node","Known Flow","313324.353414","694345.860147","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003748","Nodes","-54034","21.000000","23.289667","DDS demands","Known Flow","313322.000413","694345.068147","","0.000000","","","","","-2.450000","","","","","-2.190834","-2.450000","","","","","","","D1 PROFILE","","","",""
"60205100003750","Nodes","","21.000000","23.551903","DDS demands","Known Flow","313350.210621","694339.982584","","0.000000","","","","","-6.340000","","","","","-5.669341","-6.340000","","","","","","","D1 PROFILE","","","",""
"60205100003752","Nodes","-54038","21.000000","23.749476","DDS demands","Known Flow","313365.775425","694168.716099","","0.000000","","","","","-8.749999","","","","","-7.824406","-8.749999","","","","","","","D1 PROFILE","","","",""
"60205100003756","Nodes","-54044","21.000000","23.785622","Default Known Flow Node","Known Flow","313416.476439","694119.716086","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003757","Nodes","-54045","21.000000","23.796522","Default Known Flow Node","Known Flow","313417.694439","694120.980086","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003758","Nodes","-54046","21.000000","24.034830","Default Known Flow Node","Known Flow","313432.220443","694155.489096","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000259","Nodes","259","21.000000","25.963305","DDS demands","Known Flow","313608.792491","694334.205144","","0.000000","","","","","-14.900000","","","","","-13.323847","-14.900000","","","","","","","D1 PROFILE","","","",""
"60205100000152","Nodes","152","21.000000","25.268438","DDS demands","Known Flow","313546.317474","694208.072110","","0.000000","","","","","-17.729999","","","","","-15.854482","-17.729999","","","","","","","D1 PROFILE","","","",""
"60205100003762","Nodes","-54053","21.000000","24.890304","DDS demands","Known Flow","313516.497466","694137.735091","","0.000000","","","","","-4.719999","","","","","-4.220708","-4.719999","","","","","","","D1 PROFILE","","","",""
"60205100003772","Nodes","-54071","21.000000","27.198209","Default Known Flow Node","Known Flow","313598.430309","694443.472584","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000125","Nodes","125","21.000000","33.003773","DDS demands","Known Flow","313797.212543","694463.809179","","0.000000","","","","","-1.850000","","","","","-1.654303","-1.850000","","","","","","","D1 PROFILE","","","",""
"60205100000237","Nodes","237","21.000000","26.115304","DDS demands","Known Flow","313618.837494","694342.736147","","0.000000","","","","","-4.300000","","","","","-3.845137","-4.300000","","","","","","","D1 PROFILE","","","",""
"60205100000341","Nodes","341","21.000000","26.029190","DDS demands","Known Flow","313625.721043","694336.480876","","0.000000","","","","","-12.109999","","","","","-10.828979","-12.109999","","","","","","","D1 PROFILE","","","",""
"60205100003773","Nodes","-54072","21.000000","27.499381","Default Known Flow Node","Known Flow","313601.601490","694378.858156","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003779","Nodes","-54078","21.000000","27.499381","Default Known Flow Node","Known Flow","313621.500495","694378.637156","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003787","Nodes","-54088","21.000000","27.454634","Default Known Flow Node","Known Flow","313668.214508","694385.895158","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003794","Nodes","-54095","21.000000","28.963803","DDS demands","Known Flow","313724.337523","694075.676074","","0.000000","","","","","-13.120000","","","","","-11.732139","-13.120000","","","","","","","D1 PROFILE","","","",""
"60205100003805","Nodes","-54106","21.000000","29.446462","DDS demands","Known Flow","313793.612542","694098.607080","","0.000000","","","","","-2.049999","","","","","-1.833146","-2.049999","","","","","","","D1 PROFILE","","","",""
"60205100003819","Nodes","-54121","21.000000","32.403822","DDS demands","Known Flow","313890.616568","694389.868159","","0.000000","","","","","-8.050000","","","","","-7.198454","-8.050000","","","","","","","D1 PROFILE","","","",""
"60205100003814","Nodes","-54116","21.000000","32.385575","DDS demands","Known Flow","313865.739561","694387.100159","","0.000000","","","","","-6.419999","","","","","-5.740878","-6.419999","","","","","","","D1 PROFILE","","","",""
"60205100003820","Nodes","","21.000000","31.655111","Default Known Flow Node","Known Flow","313931.715579","694228.980116","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000349","Nodes","349","21.000000","32.009566","DDS demands","Known Flow","313904.016572","694321.833141","","0.000000","","","","","-12.910000","","","","","-11.544353","-12.910000","","","","","","","D1 PROFILE","","","",""
"60205100003826","Nodes","-54129","21.000000","32.633636","DDS demands","Known Flow","313965.134588","694407.351164","","0.000000","","","","","-8.720000","","","","","-7.797580","-8.720000","","","","","","","D1 PROFILE","","","",""
"60205100003830","Nodes","-54133","21.000000","32.740217","DDS demands","Known Flow","313998.574707","694420.694907","","0.000000","","","","","-7.730000","","","","","-6.912304","-7.730000","","","","","","","D1 PROFILE","","","",""
"60205100000176","Nodes","176","21.000000","33.469557","DDS demands","Known Flow","313875.970564","694491.617187","","0.000000","","","","","-9.970000","","","","","-8.915352","-9.970000","","","","","","","D1 PROFILE","","","",""
"60205100000335","Nodes","P09122323, Great North Road CSEP, -149.82 SCMH","21.000000","25.818809","CSEP DDS Matched","Known Flow","314968.567861","694592.799215","","0.000000","","","","","","-116.490000","","","","-104.167445","-116.490000","","","","","","","","DC PROFILE","","",""
"60205100000334","Nodes","334","21.000000","33.456881","DDS demands","Known Flow","313876.614564","694483.091185","","0.000000","","","","","-9.310000","","","","","-8.325168","-9.310000","","","","","","","D1 PROFILE","","","",""
"60205100003809","Nodes","-54110","21.000000","33.123077","DDS demands","Known Flow","313805.825373","694460.983613","","0.000000","","","","","-1.399999","","","","","-1.251905","-1.399999","","","","","","","D1 PROFILE","","","",""
"60205100000124","Nodes","124","21.000000","32.050189","DDS demands","Known Flow","313788.854540","694459.936178","","0.000000","","","","","-9.689999","","","","","-8.664970","-9.689999","","","","","","","D1 PROFILE","","","",""
"60205100003798","Nodes","-54099","21.000000","30.846425","Default Known Flow Node","Known Flow","313764.344534","694445.073174","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000339","Nodes","339","21.000000","29.922894","DDS demands","Known Flow","313746.365529","694433.862171","","0.000000","","","","","-4.960000","","","","","-4.435321","-4.960000","","","","","","","D1 PROFILE","","","",""
"60205100000343","Nodes","343","21.000000","29.272828","DDS demands","Known Flow","313774.082536","694339.097146","","0.000000","","","","","-22.200000","","","","","-19.851637","-22.200000","","","","","","","D1 PROFILE","","","",""
"60205100000340","Nodes","340","21.000000","28.979205","DDS demands","Known Flow","313764.597534","694254.537123","","0.000000","","","","","-9.069999","","","","","-8.110555","-9.069999","","","","","","","D1 PROFILE","","","",""
"60205100000165","Nodes","165","21.000000","28.281034","DDS demands","Known Flow","313678.722510","694392.384160","","0.000000","","","","","-2.640000","","","","","-2.360735","-2.640000","","","","","","","D1 PROFILE","","","",""
"60205100003793","Nodes","-54094","21.000000","28.988727","Default Known Flow Node","Known Flow","313723.762523","694419.425167","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000077","Nodes","77","21.000000","27.131287","DDS demands","Known Flow","313674.985509","694385.739158","","0.000000","","","","","-3.829999","","","","","-3.424854","-3.829999","","","","","","","D1 PROFILE","","","",""
"60205100003916","Nodes","-56482","21.000000","27.131287","Default Known Flow Node","Known Flow","313678.402490","694387.575835","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000155","Nodes","155","21.000000","27.455844","DDS demands","Known Flow","313614.874493","694441.693173","","0.000000","","","","","-25.700001","","","","","-22.981400","-25.700001","","","","","","","D1 PROFILE","","","",""
"60205100003788","Nodes","-54089","21.000000","27.454691","Default Known Flow Node","Known Flow","313671.730509","694393.125160","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003778","Nodes","-54077","21.000000","27.581856","Default Known Flow Node","Known Flow","313620.374495","694476.646183","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003780","Nodes","-54079","21.000000","27.616930","Default Known Flow Node","Known Flow","313630.261052","694475.222119","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003785","Nodes","-54086","21.000000","26.034914","Default Known Flow Node","Known Flow","313646.598502","694316.491139","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000078","Nodes","78","21.000000","25.500521","DDS demands","Known Flow","313570.213481","694277.580129","","0.000000","","","","","-3.359999","","","","","-3.004572","-3.359999","","","","","","","D1 PROFILE","","","",""
"60205100003782","Nodes","-54083","21.000000","24.381636","DDS demands","Known Flow","313640.476500","694233.184117","","0.000000","","","","","-13.380000","","","","","-11.964636","-13.380000","","","","","","","D1 PROFILE","","","",""
"60205100000239","Nodes","239","21.000000","24.051726","DDS demands","Known Flow","313721.775797","694194.674817","","0.000000","-3.319999","","","","-12.040000","","","","","-13.735187","-15.360000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"60205100003792","Nodes","-54093","21.000000","24.051410","Default Known Flow Node","Known Flow","313721.999522","694192.919106","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003795","Nodes","-54096","21.000000","24.006763","Default Known Flow Node","Known Flow","313727.300524","694195.357106","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000157","Nodes","157","21.000000","25.092079","DDS demands","Known Flow","313541.748473","694138.471091","","0.000000","","","","","-5.530000","","","","","-4.945025","-5.530000","","","","","","","D1 PROFILE","","","",""
"60205100003768","Nodes","-54063","21.000000","25.550276","DDS demands","Known Flow","313567.606480","694272.086127","","0.000000","","","","","-2.970000","","","","","-2.655827","-2.970000","","","","","","","D1 PROFILE","","","",""
"60205100003765","Nodes","-54058","21.000000","25.000118","DDS demands","Known Flow","313541.919179","694134.971612","","0.000000","","","","","-15.659999","","","","","-14.003452","-15.659999","","","","","","","D1 PROFILE","","","",""
"60205100000245","Nodes","245","21.000000","24.439838","DDS demands","Known Flow","313559.653478","694048.504066","","0.000000","","","","","-13.659999","","","","","-12.215016","-13.659999","","","","","","","D1 PROFILE","","","",""
"60205100000244","Nodes","244","21.000000","24.446812","DDS demands","Known Flow","313509.112464","694026.197060","","0.000000","","","","","-12.709999","","","","","-11.365509","-12.709999","","","","","","","D1 PROFILE","","","",""
"60205100000246","Nodes","246","21.000000","24.275568","DDS demands","Known Flow","313630.606497","694052.083067","","0.000000","","","","","-5.879999","","","","","-5.258001","-5.879999","","","","","","","D1 PROFILE","","","",""
"60205100000279","Nodes","279","21.000000","24.185592","Default Known Flow Node","Known Flow","313693.360514","694072.110073","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000235","Nodes","235","21.000000","29.471377","DDS demands","Known Flow","313795.017542","694099.131080","","0.000000","","","0.000000","","-19.229999","","","","","-17.195810","-19.229999","","","","","C4 PROFILE","","D1 PROFILE","","","",""
"60205100003810","Nodes","-54111","21.000000","28.891381","DDS demands","Known Flow","313811.995547","694065.719071","","0.000000","","","","","-2.970000","","","","","-2.655827","-2.970000","","","","","","","D1 PROFILE","","","",""
"60205100003823","Nodes","-54126","21.000000","31.506679","Default Known Flow Node","Known Flow","313954.736974","694144.952319","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000090","Nodes","90","21.000000","33.189650","DDS demands","Known Flow","313844.429556","694010.973056","","0.000000","","","","","-14.779999","","","","-6.000000","-18.581849","-20.780001","","","","","","","D1 PROFILE","","","","I2 PROFILE"
"60205100000092","Nodes","92","21.000000","33.144077","DDS demands","Known Flow","313991.079595","694059.203069","","0.000000","-6.000000","","","","-29.110001","","","","","-31.395991","-35.110002","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"60205100003828","Nodes","-54131","21.000000","33.136055","DDS demands","Known Flow","313983.238391","694056.641982","","0.000000","","","","","-5.940000","","","","","-5.311654","-5.940000","","","","","","","D1 PROFILE","","","",""
"60205100000234","Nodes","234","21.000000","31.498145","DDS demands","Known Flow","313957.620586","694145.871093","","0.000000","","","","","-29.399999","","","","","-26.290005","-29.399999","","","","","","","D1 PROFILE","","","",""
"60205100000232","Nodes","232","21.000000","31.640084","DDS demands","Known Flow","313930.268579","694228.559115","","0.000000","","","","","-23.780001","","","","","-21.264503","-23.780001","","","","","","","D1 PROFILE","","","",""
"60205100003813","Nodes","-54114","21.000000","31.220846","DDS demands","Known Flow","313842.590555","694211.253111","","0.000000","","","","","-13.340000","","","","","-11.928867","-13.340000","","","","","","","D1 PROFILE","","","",""
"60205100000350","Nodes","350","21.000000","31.875517","DDS demands","Known Flow","313844.882556","694313.721139","","0.000000","","","","","-7.129999","","","","","-6.375773","-7.129999","","","","","","","D1 PROFILE","","","",""
"60205100000247","Nodes","247","21.000000","24.266313","DDS demands","Known Flow","313683.824512","694169.760099","","0.000000","","","","","-19.089999","","","","","-17.070619","-19.089999","","","","","","","D1 PROFILE","","","",""
"60205100003766","Nodes","-54060","21.000000","24.752704","DDS demands","Known Flow","313555.369100","694278.359592","","0.000000","","","","","-8.830000","","","","","-7.895944","-8.830000","","","","","","","D1 PROFILE","","","",""
"60205100000173","Nodes","173","21.000000","21.754851","DDS demands","Known Flow","313496.927461","694320.856141","","0.000000","","-12.749999","","","-12.060000","","","","","-22.185546","-24.810000","","","","C2 PROFILE","","","D1 PROFILE","","","",""
"60205100003764","Nodes","-54057","21.000000","23.892488","DDS demands","Known Flow","313540.228473","694240.761119","","0.000000","","","","","-3.510000","","","","","-3.138704","-3.510000","","","","","","","D1 PROFILE","","","",""
"60205100003775","Nodes","-54074","21.000000","27.363818","Default Known Flow Node","Known Flow","313609.000337","694442.328811","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003777","Nodes","-54076","21.000000","27.242918","Default Known Flow Node","Known Flow","313618.202494","694418.250167","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003774","Nodes","-54073","21.000000","27.363818","Default Known Flow Node","Known Flow","313608.763491","694439.589173","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003784","Nodes","-54085","21.000000","27.454691","Default Known Flow Node","Known Flow","313644.006501","694394.953161","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003781","Nodes","-54080","21.000000","27.610017","Default Known Flow Node","Known Flow","313630.530497","694477.102183","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003791","Nodes","-54092","21.000000","24.070560","Default Known Flow Node","Known Flow","313719.525522","694197.829107","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003776","Nodes","-54075","21.000000","24.377190","DDS demands","Known Flow","313611.223492","694196.137107","","0.000000","","","","","-7.050000","","","","","-6.304236","-7.050000","","","","","","","D1 PROFILE","","","",""
"60205100003783","Nodes","-54084","21.000000","27.454691","Default Known Flow Node","Known Flow","313641.860500","694409.246165","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000342","Nodes","342","21.000000","25.204453","DDS demands","Known Flow","313736.468526","694279.475129","","0.000000","","","","","-12.050000","","","","","-10.775325","-12.050000","","","","","","","D1 PROFILE","","","",""
"60205100003797","Nodes","-54098","21.000000","24.025602","Default Known Flow Node","Known Flow","313749.998530","694224.950114","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003796","Nodes","-54097","21.000000","23.990545","DDS demands","Known Flow","313732.764525","694180.573102","","0.000000","","","","","-3.569999","","","","","-3.192357","-3.569999","","","","","","","D1 PROFILE","","","",""
"60205100003801","Nodes","-54102","21.000000","30.802027","Default Known Flow Node","Known Flow","313775.598537","694431.596171","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003800","Nodes","-54101","21.000000","29.527680","Default Known Flow Node","Known Flow","313773.587536","694387.711159","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003803","Nodes","-54104","21.000000","32.108662","Default Known Flow Node","Known Flow","313789.771422","694459.764770","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003799","Nodes","-54100","21.000000","29.389316","DDS demands","Known Flow","313773.105536","694138.579091","","0.000000","","","","","-4.280000","","","","","-3.827252","-4.280000","","","","","","","D1 PROFILE","","","",""
"60205100003806","Nodes","-54107","21.000000","32.611083","Default Known Flow Node","Known Flow","313797.487543","694459.943178","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000333","Nodes","333","21.000000","33.123077","DDS demands","Known Flow","313799.252543","694458.427178","","0.000000","","","","","-1.299999","","","","","-1.162483","-1.299999","","","","","","","D1 PROFILE","","","",""
"60205100003802","Nodes","-54103","21.000000","31.305836","DDS demands","Known Flow","313782.308539","694199.305107","","0.000000","","","","","-2.109999","","","","","-1.886799","-2.109999","","","","","","","D1 PROFILE","","","",""
"60205100003811","Nodes","-54112","21.000000","30.852830","DDS demands","Known Flow","313824.233550","694265.196125","","0.000000","","","","","-11.119999","","","","","-9.943702","-11.119999","","","","","","","D1 PROFILE","","","",""
"60205100003824","Nodes","-54127","21.000000","31.625886","Default Known Flow Node","Known Flow","313957.249586","694136.712090","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003827","Nodes","-54130","21.000000","33.136055","Default Known Flow Node","Known Flow","313981.846593","694061.256070","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003790","Nodes","-54091","21.000000","27.131287","Default Known Flow Node","Known Flow","313680.996511","694388.970159","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000108","Nodes","108","21.000000","33.431093","DDS demands","Known Flow","314132.851634","694109.966083","","0.000000","","-16.889998","","","-10.430000","","","","","-24.430033","-27.319999","","","","C2 PROFILE","","","D1 PROFILE","","","",""
"60205100003836","Nodes","-54140","21.000000","30.683469","DDS demands","Known Flow","314072.160618","694194.257106","","0.000000","","","","","-13.290000","","","","","-11.884156","-13.290000","","","","","","","D1 PROFILE","","","",""
"60205100000098","Nodes","98","21.000000","32.123153","DDS demands","Known Flow","314028.448606","694348.341148","","0.000000","","","","","-7.080000","","","","","-6.331062","-7.080000","","","","","","","D1 PROFILE","","","",""
"60205100003835","Nodes","-54139","21.000000","31.920026","DDS demands","Known Flow","314069.351617","694364.341152","","0.000000","","","","","-9.239999","","","","","-8.262573","-9.239999","","","","","","","D1 PROFILE","","","",""
"60205100000175","Nodes","175","21.000000","34.122911","DDS demands","Known Flow","314237.726663","694183.341103","","0.000000","","","","","-3.999999","","","","","-3.576871","-3.999999","","","","","","","D1 PROFILE","","","",""
"60205100003853","Nodes","-54166","21.000000","34.123794","Default Known Flow Node","Known Flow","314245.288715","694159.484766","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000109","Nodes","109","21.000000","33.380644","DDS demands","Known Flow","314125.976632","694130.716089","","0.000000","","","","","-4.239999","","","","","-3.791483","-4.239999","","","","","","","D1 PROFILE","","","",""
"60205100000325","Nodes","325","21.000000","34.013579","Default Known Flow Node","Known Flow","314266.101670","694103.716081","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003856","Nodes","-54169","21.000000","34.013579","Default Known Flow Node","Known Flow","314247.951665","694145.260093","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000101","Nodes","101","21.000000","37.951009","DDS demands","Known Flow","314268.360998","694444.691947","","0.000000","","","","","-12.570000","","","","","-11.240319","-12.570000","","","","","","","D1 PROFILE","","","",""
"60205100003859","Nodes","-54173","21.000000","37.903996","Default Known Flow Node","Known Flow","314270.816672","694443.332174","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003837","Nodes","-54143","21.000000","30.508090","DDS demands","Known Flow","314100.127625","694216.991112","","0.000000","","","","","-9.509999","","","","","-8.504012","-9.509999","","","","","","","D1 PROFILE","","","",""
"60205100003862","Nodes","-54177","21.000000","34.466489","Default Known Flow Node","Known Flow","314295.319678","694154.380095","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
