"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201200001510","Nodes","1510","21.000000","28.294504","DDS demands","Known Flow","325252.750000","701387.625000","","0.000000","","","","","","","-2.539999","","","","","","","-2.271313","-2.539999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296456","Nodes","-296456","21.000000","29.496889","Default Known Flow Node","Known Flow","325399.500000","701150.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001143","Nodes","1143","21.000000","29.004763","DDS demands","Known Flow","325404.125000","701323.500000","","0.000000","","","","","","","-5.929999","","","","","","","-5.302711","-5.929999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001214","Nodes","1214","21.000000","28.804576","DDS demands","Known Flow","325501.500000","701337.375000","","0.000000","","","","","","","-1.820000","","","","","","","-1.627476","-1.820000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001215","Nodes","1215","21.000000","28.710660","DDS demands","Known Flow","325503.875000","701210.125000","","0.000000","","","","","","","-2.269999","","","","","","","-2.029874","-2.269999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000166","Nodes","166","21.000000","28.803656","DDS demands","Known Flow","325905.750000","701320.375000","","0.000000","","","","","","","-4.819999","","","","","","","-4.310130","-4.819999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296485","Nodes","-296485","21.000000","29.112650","Default Known Flow Node","Known Flow","325893.875000","701271.500000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001593","Nodes","1593","21.000000","30.417484","DDS demands","Known Flow","325835.750000","701082.125000","","0.000000","","","","","","","-3.430000","","","","","","","-3.067167","-3.430000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000164","Nodes","164","21.000000","30.426527","DDS demands","Known Flow","325838.875000","701078.500000","","0.000000","-4.380000","","","","","","-6.880000","","","","","","","-10.068893","-11.260000","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","",""
"60201200000161","Nodes","161","21.000000","28.567767","DDS demands","Known Flow","325600.000000","701101.250000","","0.000000","","","","","","","-2.679999","","","","","","","-2.396503","-2.679999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001434","Nodes","1434","21.000000","28.576582","DDS demands","Known Flow","325590.250000","701114.375000","","0.000000","","","","","","","-0.750000","","","","","","","-0.670663","-0.750000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001704","Nodes","1704","21.000000","28.215404","DDS demands","Known Flow","325852.125000","701490.250000","","0.000000","","","","","","","-5.179999","","","","","","","-4.632048","-5.179999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001708","Nodes","1708","21.000000","28.226771","DDS demands","Known Flow","325730.625000","701495.250000","","0.000000","","","","","","","-2.769999","","","","","","","-2.476983","-2.769999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296459","Nodes","-296459","21.000000","29.133547","Default Known Flow Node","Known Flow","325502.750000","701127.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001440","Nodes","1440","21.000000","29.137256","DDS demands","Known Flow","325500.625000","701127.500000","","0.000000","","","","","","","-0.970000","","","","","","","-0.867391","-0.970000","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296473","Nodes","-296473","21.000000","30.141682","Default Known Flow Node","Known Flow","325778.250000","701119.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296474","Nodes","-296474","21.000000","30.141682","Default Known Flow Node","Known Flow","325783.375000","701108.500000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296486","Nodes","-296486","21.000000","28.369093","Default Known Flow Node","Known Flow","325899.500000","701431.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296487","Nodes","-296487","21.000000","28.369093","Default Known Flow Node","Known Flow","325909.375000","701433.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296488","Nodes","-296488","21.000000","28.722921","Default Known Flow Node","Known Flow","325909.625000","701343.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000667","Nodes","667","21.000000","28.496609","DDS demands","Known Flow","325911.875000","701395.875000","","0.000000","","","","","","","-14.710000","","","","","","","-13.153945","-14.710000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001328","Nodes","1328","21.000000","28.098983","DDS demands","Known Flow","325772.625000","701407.750000","","0.000000","","","","","","","-16.739999","","","","","","","-14.969207","-16.739999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296489","Nodes","-296489","21.000000","28.442946","Default Known Flow Node","Known Flow","325911.000000","701415.500000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001005","Nodes","1005","21.000000","29.845440","DDS demands","Known Flow","325827.625000","701169.000000","","0.000000","","","","","","","-13.380000","","","","","","","-11.964636","-13.380000","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296476","Nodes","-296476","21.000000","29.845440","Default Known Flow Node","Known Flow","325787.750000","701153.500000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296475","Nodes","-296475","21.000000","29.845440","Default Known Flow Node","Known Flow","325783.375000","701180.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001004","Nodes","1004","21.000000","29.990038","DDS demands","Known Flow","325846.000000","701141.250000","","0.000000","","","","","","","0.000000","","","","","","","0.000000","0.000000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001240","Nodes","1240","21.000000","29.573843","DDS demands","Known Flow","325770.875000","701040.000000","","0.000000","","","","","","","-7.089999","","","","","","","-6.340004","-7.089999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001241","Nodes","1241","21.000000","29.240333","DDS demands","Known Flow","325811.000000","701037.000000","","0.000000","-6.860000","","","-4.119999","","","-0.999999","","","","","","","-10.712731","-11.979999","","","C1 PROFILE","","","C4 PROFILE","","","D1 PROFILE","","","","","",""
