"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60603700000370","Nodes","370","21.000000","32.766773","DDS demands","Known Flow","389206.872063","803339.120805","","0.000000","","","","","","-6.900000","","","","","","","-6.170103","-6.900000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000038","Nodes","38","21.000000","22.858928","DDS demands","Known Flow","389439.247126","803282.245790","","0.000000","","","","","","-15.050000","","","","","","","-13.457979","-15.050000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000041","Nodes","41","21.000000","23.113460","DDS demands","Known Flow","389499.247142","803404.620823","","0.000000","","","","","","-14.519999","","","","","","","-12.984044","-14.519999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000037","Nodes","37","21.000000","21.742357","DDS demands","Known Flow","389501.567641","803316.039694","","0.000000","","","","","","-16.750000","","","","","","","-14.978150","-16.750000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000036","Nodes","36","21.000000","24.904720","DDS demands","Known Flow","389676.997190","803283.870790","","0.000000","","","","","","-15.169999","","","","","","","-13.565285","-15.169999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001384","Nodes","1384","21.000000","23.119362","DDS demands","Known Flow","389501.254459","803404.275954","","0.000000","","","","","","-4.790000","","","","","","","-4.283303","-4.790000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001382","Nodes","-1382","21.000000","23.470091","Default Known Flow Node","Known Flow","389831.364304","803402.510878","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000028","Nodes","28","21.000000","24.852641","DDS demands","Known Flow","389777.747218","803321.620801","","0.000000","","","","","","-13.510000","","","","","","","-12.080884","-13.510000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000029","Nodes","29","21.000000","24.956544","DDS demands","Known Flow","389887.997248","803373.870815","","0.000000","","","","","","-9.379999","","","","","","","-8.387763","-9.379999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001375","Nodes","-1375","21.000000","23.773449","Default Known Flow Node","Known Flow","389757.726236","803361.919829","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000030","Nodes","30","21.000000","27.388592","DDS demands","Known Flow","389813.997228","803243.120779","","0.000000","","","","","","-13.820000","","","","","","","-12.358091","-13.820000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000031","Nodes","31","21.000000","27.324682","DDS demands","Known Flow","389939.122262","803301.620795","","0.000000","","","","","","-14.229999","","","","","","","-12.724720","-14.229999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000184","Nodes","184","21.000000","28.028660","DDS demands","Known Flow","389821.997230","803226.370775","","0.000000","","","","","","-1.909999","","","","","","","-1.707956","-1.909999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000034","Nodes","34","21.000000","25.296712","DDS demands","Known Flow","389700.372197","803210.995771","","0.000000","","","","","","-11.430000","","","","","","","-10.220911","-11.430000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000307","Nodes","307","21.000000","30.415673","DDS demands","Known Flow","389844.372236","803180.370762","","0.000000","","","","","","-17.309999","","","","","","","-15.478911","-17.309999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001329","Nodes","-1329","21.000000","30.208539","Default Known Flow Node","Known Flow","389856.997239","803159.245756","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000306","Nodes","306","21.000000","32.376222","DDS demands","Known Flow","389850.872238","803153.120755","","0.000000","","","","","","-11.340000","","","","","","","-10.140432","-11.340000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000305","Nodes","305","21.000000","32.234500","DDS demands","Known Flow","389884.122247","803167.495759","","0.000000","","","","","","-10.270000","","","","","","","-9.183618","-10.270000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000308","Nodes","308","21.000000","35.187828","DDS demands","Known Flow","389636.497179","803116.495745","","0.000000","","","","-4.940000","","-22.340001","","","","","","","-24.394266","-27.280000","","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"60603700000309","Nodes","309","21.000000","33.748876","DDS demands","Known Flow","389680.247191","803040.120724","","0.000000","","","","","","-4.260000","","","","","","","-3.809368","-4.260000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603701462694","Nodes","-1462694","21.000000","33.748876","Default Known Flow Node","Known Flow","389681.247192","803037.870723","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000310","Nodes","310","21.000000","33.486020","DDS demands","Known Flow","389699.622197","803048.495726","","0.000000","-8.209999","","","","","-15.729999","","","","","","","-21.407576","-23.939999","","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"60603700000304","Nodes","304","21.000000","29.587273","DDS demands","Known Flow","389902.872252","803126.745748","","0.000000","","","","","","-20.379998","","","","","","","-18.224160","-20.379998","","","","","","","","","D1 PROFILE","","","","","","",""
"60603701462873","Nodes","-1462873","21.000000","32.364505","Default Known Flow Node","Known Flow","389901.372252","803175.370761","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603701462518","Nodes","-1462518","21.000000","25.296712","Default Known Flow Node","Known Flow","389699.497197","803215.745772","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000035","Nodes","35","21.000000","24.935984","DDS demands","Known Flow","389595.372168","803207.870770","","0.000000","","","","","","-7.230000","","","","","","","-6.465195","-7.230000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000026","Nodes","26","21.000000","23.481193","DDS demands","Known Flow","389832.997233","803403.370823","","0.000000","","","","","","-16.580000","","","","","","","-14.826132","-16.580000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001327","Nodes","-1327","21.000000","32.219687","Default Known Flow Node","Known Flow","389887.368740","803158.010706","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603701462709","Nodes","-1462709","21.000000","32.219687","Default Known Flow Node","Known Flow","389889.997248","803168.995759","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000027","Nodes","27","21.000000","22.938620","DDS demands","Known Flow","389739.247207","803515.120853","","0.000000","","","","","","-17.639999","","","","","","","-15.774003","-17.639999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000022","Nodes","22","21.000000","22.249603","DDS demands","Known Flow","389636.497179","803607.120878","","0.000000","","","","","","-11.660000","","","","","","","-10.426580","-11.660000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000405","Nodes","","21.000000","21.979103","DDS demands","Known Flow","389562.951839","803595.558702","","0.000000","","","","","","-6.699999","","","","","","","-5.991259","-6.699999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000221","Nodes","221","21.000000","22.402143","DDS demands","Known Flow","389673.622190","803528.120857","","0.000000","","","","","","-8.180000","","","","","","","-7.314702","-8.180000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000023","Nodes","23","21.000000","22.223258","DDS demands","Known Flow","389684.497193","803506.745851","","0.000000","","","","","","-11.409999","","","","","","","-10.203026","-11.409999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000185","Nodes","185","21.000000","22.259645","DDS demands","Known Flow","389672.372189","803500.995849","","0.000000","","","","","","-4.289999","","","","","","","-3.836194","-4.289999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000024","Nodes","24","21.000000","21.455553","DDS demands","Known Flow","389599.747169","803494.745848","","0.000000","","","","","","-13.810000","","","","","","","-12.349149","-13.810000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000299","Nodes","299","21.000000","27.570206","DDS demands","Known Flow","390031.997287","802887.370682","","0.000000","","","","","","-20.479999","","","","","","","-18.313583","-20.479999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603701462850","Nodes","-1462850","21.000000","29.295687","Default Known Flow Node","Known Flow","390075.708299","802949.286699","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000354","Nodes","354, P00065563, INCHGARTH ROAD, -16.06SCMH","22.999998","29.024105","CSEP DDS Matched","Known Flow","390105.654307","802926.121693","","0.000000","","","","","","","-16.100000","","","","","","-14.396908","-16.100000","","","","","","","","","","DC PROFILE","","","","","",""
"60603700000325","Nodes","325","21.000000","26.651754","DDS demands","Known Flow","389918.497256","802878.495680","","0.000000","","","","","","-12.659999","","","","","","","-11.320798","-12.659999","","","","","","","","","D1 PROFILE","","","","","","",""
