"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60606400000089","Nodes","89,","21.000000","50.688372","Default Known Flow Node","Known Flow","409924.304500","851912.877785","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000066","Nodes","66,","21.000000","31.487372","Default Known Flow Node","Known Flow","409597.359611","852264.483118","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000067","Nodes","67,","21.000000","31.487372","Default Known Flow Node","Known Flow","409596.622611","852263.806118","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000087","Nodes","87,","21.000000","50.877685","Default Known Flow Node","Known Flow","409831.526553","851939.056813","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000065","Nodes","65,","21.000000","50.732460","Default Known Flow Node","Known Flow","409923.522809","851907.766727","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000086","Nodes","86,","21.000000","51.394520","Default Known Flow Node","Known Flow","409645.287842","852038.335542","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000088","Nodes","88,","21.000000","50.755774","Default Known Flow Node","Known Flow","409836.662076","851936.921693","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000070","Nodes","70,","21.000000","49.690431","Default Known Flow Node","Known Flow","409840.740421","852014.201342","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000084","Nodes","84,","21.000000","49.672879","Default Known Flow Node","Known Flow","409859.415817","852022.815513","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000085","Nodes","85,","21.000000","49.690431","Default Known Flow Node","Known Flow","409841.467903","852031.957208","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000072","Nodes","72,","21.000000","40.917398","DDS demands","Known Flow","409571.346899","852083.596948","","0.000000","","","-10.960000","","","","","-9.800629","-10.960000","","","","","D1 PROFILE","","","",""
"60606400000091","Nodes","91,","21.000000","49.759534","Default Known Flow Node","Known Flow","409691.901242","852076.805143","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000096","Nodes","96,","21.000000","40.928173","Default Known Flow Node","Known Flow","409548.653174","852223.725236","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000071","Nodes","71,","21.000000","49.690431","Default Known Flow Node","Known Flow","409841.776678","852044.361059","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000099","Nodes","99,","21.000000","49.606348","Default Known Flow Node","Known Flow","409870.892660","852048.341972","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000004","Nodes","4,","21.000000","73.862945","DDS demands","Known Flow","409186.781304","851967.869264","","0.000000","","","-11.870000","","","","","-10.614366","-11.870000","","","","","D1 PROFILE","","","",""
"60606400000027","Nodes","27,","21.000000","73.262270","DDS demands","Known Flow","409278.928105","851956.592956","","0.000000","","","-6.500000","","","","","-5.812416","-6.500000","","","","","D1 PROFILE","","","",""
"60606400000007","Nodes","7,","21.000000","70.606468","DDS demands","Known Flow","409349.205703","852062.977520","","0.000000","","","-6.320000","","","","","-5.651457","-6.320000","","","","","D1 PROFILE","","","",""
"60606400000008","Nodes","8,","21.000000","52.436278","DDS demands","Known Flow","409620.976120","852017.074972","","0.000000","","-2.529999","-6.919999","","","","","-8.450358","-9.450000","","","","C3 PROFILE","D1 PROFILE","","","",""
"60606400000001","Nodes","ST FERGUS D.G., Site ID 1280","21.000000","74.999996","Default Known Pressure Node","Known Pressure","409197.967216","852081.389365","","999998.967025","","","","","","","","285.228697","318.970011","","","","","","","","",""
"60606400000003","Nodes","P00088634, Wiseman Terrace, 21.80","24.000000","74.795535","CSEP DDS Matched","Known Flow","409192.122748","852060.307536","","0.000000","","","-0.019999","-21.799999","","","","-19.511834","-21.819998","","","","","D1 PROFILE","DC PROFILE","","",""
"60606400000012","Nodes","12,","21.000000","49.697134","DDS demands","Known Flow","409824.388500","851961.888085","","0.000000","","","-3.199999","","-18.719999","","","-19.601256","-21.920000","","","","","D1 PROFILE","","DH PROFILE","",""
"60606400000011","Nodes","11,","21.000000","49.607984","DDS demands","Known Flow","409878.816264","852038.291226","","0.000000","","","-2.170000","","","","","-1.940452","-2.170000","","","","","D1 PROFILE","","","",""
"60606400000009","Nodes","9,","21.000000","49.718240","DDS demands","Known Flow","409685.826230","852072.043647","","0.000000","","","-5.270000","","","","","-4.712528","-5.270000","","","","","D1 PROFILE","","","",""
"60606400000014","Nodes","14,","21.000000","50.841755","DDS demands","Known Flow","409835.987836","851934.752987","","0.000000","","","-12.979999","","","","","-11.606948","-12.979999","","","","","D1 PROFILE","","","",""
"60606400000028","Nodes","28,","21.000000","49.583828","DDS demands","Known Flow","409731.142533","852031.324650","","0.000000","","","-4.839999","","","","","-4.328014","-4.839999","","","","","D1 PROFILE","","","",""
"60606400000010","Nodes","10,","21.000000","49.714435","DDS demands","Known Flow","409736.724976","852111.613318","","0.000000","","","-2.809999","","","","","-2.512752","-2.809999","","","","","D1 PROFILE","","","",""
"60606400000023","Nodes","23,","21.000000","49.630957","Default Known Flow Node","Known Flow","409779.578437","852144.122839","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000018","Nodes","18,","21.000000","40.042391","DDS demands","Known Flow","409720.619441","852189.451197","","0.000000","","","-2.700000","","","","","-2.414388","-2.700000","","","","","D1 PROFILE","","","",""
"60606400000032","Nodes","32,","21.000000","40.108083","Default Known Flow Node","Known Flow","409684.681683","852160.202867","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000015","Nodes","15,","21.000000","50.732357","DDS demands","Known Flow","409924.725411","851907.586337","","0.000000","","","-5.729999","","","","","-5.123868","-5.729999","","","","","D1 PROFILE","","","",""
"60606400000022","Nodes","22,","21.000000","74.680409","DDS demands","Known Flow","409104.455738","852070.535354","","0.000000","","","-5.379999","","","","","-4.810892","-5.379999","","","","","D1 PROFILE","","","",""
"60606400000020","Nodes","P00069919, SCHOOL ROAD, 69.10","33.000000","37.128083","CSEP DDS Matched","Known Flow","409438.974796","852341.927324","","0.000000","","","-2.390000","-69.099998","","","","-63.927638","-71.489998","","","","","D1 PROFILE","DC PROFILE","","",""
"60606400000006","Nodes","6,","21.000000","73.222160","Default Known Flow Node","Known Flow","409361.621032","851880.050743","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000030","Nodes","30,","21.000000","73.072061","Default Known Flow Node","Known Flow","409295.785616","851982.562635","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000005","Nodes","5,","21.000000","67.821293","DDS demands","Known Flow","408893.141683","851994.636258","","0.000000","","","-9.829999","","","-4.880000","","-13.153944","-14.709999","","","","","D1 PROFILE","","","I2 PROFILE",""
"60606400000031","Nodes","31,","21.000000","73.021456","DDS demands","Known Flow","409364.810291","851964.338299","","0.000000","-2.840000","","-0.220000","","","","","-2.736306","-3.059999","","","C1 PROFILE","","D1 PROFILE","","","",""
"60606400000021","Nodes","21,","21.000000","40.924043","DDS demands","Known Flow","409489.231650","852158.891122","","0.000000","","","-11.050000","","","","","-9.881108","-11.050000","","","","","D1 PROFILE","","","",""
"60606400000017","Nodes","17,","21.000000","44.762319","DDS demands","Known Flow","409639.557649","852123.211652","","0.000000","","","-2.779999","","","","","-2.485925","-2.779999","","","","","D1 PROFILE","","","",""
"60606400000029","Nodes","29,","21.000000","49.446567","DDS demands","Known Flow","409749.461387","852075.083528","","0.000000","","","-6.469999","","","","","-5.785589","-6.469999","","","","","D1 PROFILE","","","",""
"60606400000016","Nodes","16,","21.000000","49.880048","DDS demands","Known Flow","409885.640852","852001.689928","","0.000000","","","-13.489999","","","","","-12.062999","-13.489999","","","","","D1 PROFILE","","","",""
"60606400000024","Nodes","24,","21.000000","41.300922","Default Known Flow Node","Known Flow","409549.571929","852144.986623","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
