"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60604800000024","Nodes","24","21.000000","31.470074","DDS demands","Known Flow","386841.166419","806520.903671","","0.000000","","","","-8.579999","","","","","","-7.672388","-8.579999","","","","","","D1 PROFILE","","","","",""
"60604800000081","Nodes","81","21.000000","48.770724","DDS demands","Known Flow","386877.359429","806896.722773","","0.000000","","","","-8.329999","","","","","","-7.448834","-8.329999","","","","","","D1 PROFILE","","","","",""
"60604800009796","Nodes","-94956","21.000000","48.739347","Default Known Flow Node","Known Flow","386850.057421","806899.037774","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009799","Nodes","-94959","21.000000","35.754751","Default Known Flow Node","Known Flow","386920.890441","806667.324711","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009800","Nodes","-94960","21.000000","35.754751","Default Known Flow Node","Known Flow","386921.707441","806669.275712","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000113","Nodes","113","21.000000","39.472320","DDS demands","Known Flow","386459.367315","807017.726806","","0.000000","","","","-10.629999","","","","","","-9.505535","-10.629999","","","","","","D1 PROFILE","","","","",""
"60604800000100","Nodes","100","21.000000","39.764701","DDS demands","Known Flow","386493.808360","807012.541100","","0.000000","","","","-1.720000","","","","","","-1.538054","-1.720000","","","","","","D1 PROFILE","","","","",""
"60604800000141","Nodes","141","21.000000","68.147007","DDS demands","Known Flow","386286.114268","807239.619867","","0.000000","","","","-17.840000","","","","","","-15.952846","-17.840000","","","","","","D1 PROFILE","","","","",""
"60604800000142","Nodes","142","21.000000","65.812477","DDS demands","Known Flow","386173.110237","807290.715881","","0.000000","","","","-17.979999","","","","","","-16.078035","-17.979999","","","","","","D1 PROFILE","","","","",""
"60604800000143","Nodes","143","21.000000","65.774496","DDS demands","Known Flow","386199.328721","807309.619192","","0.000000","","","","-1.360000","","","","","","-1.216136","-1.360000","","","","","","D1 PROFILE","","","","",""
"60604800000146","Nodes","146","21.000000","64.403519","DDS demands","Known Flow","386150.654231","807360.137900","","0.000000","","","","-12.560000","","","","","","-11.231375","-12.560000","","","","","","D1 PROFILE","","","","",""
"60604800000145","Nodes","","21.000000","64.973314","DDS demands","Known Flow","386202.437245","807335.800893","","0.000000","","","","-14.250000","","","","","","-12.742604","-14.250000","","","","","","D1 PROFILE","","","","",""
"60604800000130","Nodes","130","21.000000","67.866687","DDS demands","Known Flow","386372.060291","807113.825833","","0.000000","","","","-1.739999","","","","","","-1.555938","-1.739999","","","","","","D1 PROFILE","","","","",""
"60604800000131","Nodes","131","21.000000","67.469713","DDS demands","Known Flow","386346.967452","807087.651420","","0.000000","","","","-10.150000","","","","","","-9.076310","-10.150000","","","","","","D1 PROFILE","","","","",""
"60604800009776","Nodes","-93140","21.000000","66.487556","Default Known Flow Node","Known Flow","386197.048244","807472.320930","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000174","Nodes","174","21.000000","66.493186","DDS demands","Known Flow","386201.416454","807470.545903","","0.000000","","","","-17.950000","","","","","","-16.051210","-17.950000","","","","","","D1 PROFILE","","","","",""
"60604800000208","Nodes","208","21.000000","67.787228","DDS demands","Known Flow","386406.184582","807120.917995","","0.000000","","","","-2.089999","","","","","","-1.868915","-2.089999","","","","","","D1 PROFILE","","","","",""
"60604800000193","Nodes","193","21.000000","67.671083","DDS demands","Known Flow","386417.930717","807289.406403","","0.000000","","","","-16.049999","","","","","","-14.352195","-16.049999","","","","","","D1 PROFILE","","","","",""
"60604800000195","Nodes","195","21.000000","67.367922","DDS demands","Known Flow","386436.224548","807348.020853","","0.000000","","","","-8.590000","","","","","","-7.681331","-8.590000","","","","","","D1 PROFILE","","","","",""
"60604800000190","Nodes","190","21.000000","67.461103","DDS demands","Known Flow","386340.215283","807279.013877","","0.000000","","","","-3.890000","","","","","","-3.478507","-3.890000","","","","","","D1 PROFILE","","","","",""
"60604800000192","Nodes","192","21.000000","67.422169","DDS demands","Known Flow","386330.451280","807305.821885","","0.000000","","","","-4.090000","","","","","","-3.657350","-4.090000","","","","","","D1 PROFILE","","","","",""
"60604800000191","Nodes","191","21.000000","67.559380","DDS demands","Known Flow","386377.346293","807305.238885","","0.000000","","","","-2.880000","","","","","","-2.575347","-2.880000","","","","","","D1 PROFILE","","","","",""
"60604800000189","Nodes","189","21.000000","67.917100","DDS demands","Known Flow","386373.865724","807236.198652","","0.000000","","","","-4.699999","","","","","","-4.202823","-4.699999","","","","","","D1 PROFILE","","","","",""
"60604800000140","Nodes","140","21.000000","68.300282","DDS demands","Known Flow","386348.962753","807200.222773","","0.000000","","","","-2.329999","","","-3.039999","","","-4.801949","-5.369999","","","","","","D1 PROFILE","","","I2 PROFILE","",""
"60604800000144","Nodes","144","21.000000","68.176012","DDS demands","Known Flow","386251.730258","807285.035879","","0.000000","","","","-1.960000","","","","","","-1.752666","-1.960000","","","","","","D1 PROFILE","","","","",""
"60604800000171","Nodes","171","21.000000","67.217963","DDS demands","Known Flow","386232.886885","807427.892028","","0.000000","","","","-3.530000","","","","","","-3.156588","-3.530000","","","","","","D1 PROFILE","","","","",""
"60604800000173","Nodes","173","21.000000","67.248600","DDS demands","Known Flow","386212.944248","807433.060919","","0.000000","","","","-6.199999","","","","","","-5.544150","-6.199999","","","","","","D1 PROFILE","","","","",""
