"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60204800009445","Nodes","-26","21.000000","25.327523","Default Known Flow Node","Known Flow","328230.479406","706589.029770","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009441","Nodes","-1462510","21.000000","25.415489","Default Known Flow Node","Known Flow","328216.855466","706540.219466","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009427","Nodes","-1462478","21.000000","25.376372","Default Known Flow Node","Known Flow","328241.480473","706544.844467","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009449","Nodes","-45","21.000000","25.375283","Default Known Flow Node","Known Flow","328244.105474","706707.469511","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000095","Nodes","95","21.000000","33.154532","DDS demands","Known Flow","328315.855493","706772.219529","","0.000000","","","","","-4.530000","","-4.050807","-4.530000","","","","","","","D1 PROFILE",""
"60204800000100","Nodes","100","21.000000","34.632823","DDS demands","Known Flow","328402.980517","706599.344482","","0.000000","-12.000000","","","","-3.569999","","-13.922972","-15.569999","","","C1 PROFILE","","","","D1 PROFILE",""
"60204800009430","Nodes","-1462485","21.000000","38.311577","Default Known Flow Node","Known Flow","328462.355533","706749.969523","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000059","Nodes","","21.000000","37.349582","DDS demands","Known Flow","328493.401543","706849.037816","","0.000000","","","","","-4.079999","","-3.648408","-4.079999","","","","","","","D1 PROFILE",""
"60204800009452","Nodes","-49","21.000000","35.301693","Default Known Flow Node","Known Flow","328633.230580","706718.969514","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000056","Nodes","56","21.000000","33.827303","DDS demands","Known Flow","328545.105556","706610.469485","","0.000000","","","","","-8.380000","","-7.493546","-8.380000","","","","","","","D1 PROFILE",""
"60204800009431","Nodes","-1462487","21.000000","33.783999","Default Known Flow Node","Known Flow","328576.230564","706610.719485","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000057","Nodes","57","21.000000","33.694317","DDS demands","Known Flow","328567.480562","706542.094466","","0.000000","","","","","-6.210000","","-5.553093","-6.210000","","","","","","","D1 PROFILE",""
"60204800000055","Nodes","55","21.000000","34.226275","DDS demands","Known Flow","328548.230557","706654.719497","","0.000000","","","","","-0.720000","","-0.643836","-0.720000","","","","","","","D1 PROFILE",""
"60204800000053","Nodes","53","21.000000","33.827075","DDS demands","Known Flow","328634.480580","706608.344484","","0.000000","","","","","-9.720000","","-8.691797","-9.720000","","","","","","","D1 PROFILE",""
"60204800000054","Nodes","54","21.000000","33.232450","DDS demands","Known Flow","328555.855559","706502.469455","","0.000000","","","","","-10.090000","","-9.022658","-10.090000","","","","","","","D1 PROFILE",""
"60204800009443","Nodes","-24","21.000000","32.194767","Default Known Flow Node","Known Flow","328736.375910","706584.879775","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000052","Nodes","52","21.000000","34.305854","DDS demands","Known Flow","328629.730579","706661.594499","","0.000000","","","","","-10.770000","","-9.630727","-10.770000","","","","","","","D1 PROFILE",""
"60204800000035","Nodes","35","21.000000","35.212432","DDS demands","Known Flow","328700.105598","706699.344509","","0.000000","","","","","-8.149999","","-7.287875","-8.149999","","","","","","","D1 PROFILE",""
"60204800009438","Nodes","-1462501","21.000000","35.212432","Default Known Flow Node","Known Flow","328719.480603","706698.094509","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000109","Nodes","109","21.000000","38.031631","DDS demands","Known Flow","328751.605612","706748.844522","","0.000000","","","","","-7.679999","","-6.867593","-7.679999","","","","","","","D1 PROFILE",""
"60204800009429","Nodes","-1462481","21.000000","38.031631","Default Known Flow Node","Known Flow","328772.355618","706748.719522","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000107","Nodes","107","21.000000","38.388398","DDS demands","Known Flow","328691.980596","706820.594542","","0.000000","","","","","-9.620000","","-8.602376","-9.620000","","","","","","","D1 PROFILE",""
"60204800009462","Nodes","-72","21.000000","39.319036","Default Known Flow Node","Known Flow","328587.721727","706856.005652","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009463","Nodes","-75","21.000000","39.946013","Default Known Flow Node","Known Flow","328666.355708","706864.342328","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009460","Nodes","-65","21.000000","39.319036","Default Known Flow Node","Known Flow","328581.480566","706805.469538","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009464","Nodes","-76","21.000000","39.945939","Default Known Flow Node","Known Flow","328668.730589","706864.469554","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000001","Nodes","East Freuchie DG, Tel, Clocked, Site ID 1483","21.000000","40.000000","Default Known Pressure Node","Known Pressure","328668.355589","706861.344553","","1298.499032","","","","","","","551.616170","616.869974","","","","","","","",""
"60204800009435","Nodes","-1462495","21.000000","39.945939","Default Known Flow Node","Known Flow","328670.230590","706864.594554","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000206","Nodes","206","21.000000","32.161510","DDS demands","Known Flow","328738.480608","706584.219478","","0.000000","","","","","-18.540000","","-16.578800","-18.540000","","","","","","","D1 PROFILE",""
"60204800009453","Nodes","-4904540","21.000000","32.161510","Default Known Flow Node","Known Flow","328755.359255","706617.346786","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009424","Nodes","-1462468","21.000000","32.161510","Default Known Flow Node","Known Flow","328750.355612","706621.094488","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000112","Nodes","112","21.000000","35.131334","Default Known Flow Node","Known Flow","328801.519626","706692.509507","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000200","Nodes","200","21.000000","24.560272","DDS demands","Known Flow","328154.855450","706837.969547","","0.000000","","","","","-2.250000","","-2.011990","-2.250000","","","","","","","D1 PROFILE",""
"60204800009458","Nodes","-60","21.000000","25.625539","Default Known Flow Node","Known Flow","328200.230462","706763.469526","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000201","Nodes","201","21.000000","22.999947","DDS demands","Known Flow","328209.355464","706976.344584","","0.000000","","","","","-13.890000","","-12.420687","-13.890000","","","","","","","D1 PROFILE",""
"60204800009459","Nodes","-61","21.000000","25.625539","Default Known Flow Node","Known Flow","328190.480459","706764.469527","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000108","Nodes","108","21.000000","38.157015","DDS demands","Known Flow","328773.355618","706809.719539","","0.000000","","","","","-6.619999","","-5.919722","-6.619999","","","","","","","D1 PROFILE",""
"60204800009440","Nodes","-1462507","21.000000","38.114074","Default Known Flow Node","Known Flow","328779.480620","706830.219544","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000205","Nodes","205","21.000000","34.525452","DDS demands","Known Flow","329000.480680","706579.094476","","0.000000","","","","","-5.619999","","-5.025504","-5.619999","","","","","","","D1 PROFILE",""
"60204800000204","Nodes","204","21.000000","34.764063","DDS demands","Known Flow","328995.730678","706645.844494","","0.000000","","","","","-10.520000","","-9.407172","-10.520000","","","","","","","D1 PROFILE",""
"60204800009123","Nodes","Logger 9002, Church Street","21.000000","35.958994","Val Log Cath","Known Flow","328473.076879","706559.594310","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009212","Nodes","Logger 9648, East End","21.000000","35.192969","Val Log Cath","Known Flow","328720.553403","706690.601625","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009461","Nodes","-66","21.000000","38.625875","Default Known Flow Node","Known Flow","328516.355548","706807.969538","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000105","Nodes","105","21.000000","24.759779","DDS demands","Known Flow","328272.355482","706377.094421","","0.000000","","","","","-9.659999","","-8.638144","-9.659999","","","","","","","D1 PROFILE",""
"60204800009421","Nodes","-10","21.000000","25.154253","Default Known Flow Node","Known Flow","328353.855504","706430.719436","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009442","Nodes","-15","21.000000","25.198246","Default Known Flow Node","Known Flow","328312.230492","706460.969444","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009433","Nodes","-1462491","21.000000","25.198246","Default Known Flow Node","Known Flow","328310.230492","706461.844444","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000113","Nodes","","21.000000","35.897079","DDS demands","Known Flow","328473.045930","706872.911577","","0.000000","","","","","-15.299999","","-13.681533","-15.299999","","","","","","","D1 PROFILE",""
"60204800001001","Nodes","1001","21.000000","34.990609","Default Known Flow Node","Known Flow","328860.069412","706684.075554","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000114","Nodes","114","21.000000","34.891091","DDS demands","Known Flow","328919.855658","706673.844502","","0.000000","","","","","-5.039999","","-4.506857","-5.039999","","","","","","","D1 PROFILE",""
"60204800001000","Nodes","1000","21.000000","34.989951","Default Known Flow Node","Known Flow","328854.367127","706688.420233","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009468","Nodes","","21.000000","25.356954","Default Known Flow Node","Known Flow","328270.782858","706603.499978","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000245","Nodes","","21.000000","25.563149","Default Known Flow Node","Known Flow","328170.422454","706750.097523","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000246","Nodes","","21.000000","25.519211","Default Known Flow Node","Known Flow","328198.203461","706739.561520","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000247","Nodes","","21.000000","25.345400","DDS demands","Known Flow","328257.964258","706673.255740","","0.000000","","-14.550000","","","","","-13.010870","-14.550000","","","","C2 PROFILE","","","",""
"60204800000251","Nodes","","21.000000","25.523529","Default Known Flow Node","Known Flow","328300.117489","706499.446454","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000252","Nodes","","21.000000","27.433595","Default Known Flow Node","Known Flow","328414.288520","706494.547453","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000254","Nodes","","21.000000","32.227539","Default Known Flow Node","Known Flow","328455.871532","706500.197455","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000270","Nodes","","21.000000","32.505286","Default Known Flow Node","Known Flow","328457.942532","706500.008457","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
