"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60603100009322","Nodes","-1462627","21.000000","25.161399","Default Known Flow Node","Known Flow","395018.589644","829700.886979","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000165","Nodes","165, Modley Place DG, Constant, Site ID 1249","21.000000","49.999998","Default Known Pressure Node","Known Pressure","394896.464611","830538.628207","","198.200000","","","","","","","","","","105.016950","117.440002","","","","","","","","","","",""
"60603100000222","Nodes","222","21.000000","22.829968","DDS demands","Known Flow","394541.374896","830350.447553","","0.000000","","","","","-2.490000","","","","","-2.226602","-2.490000","","","","","","","D1 PROFILE","","","",""
"60603100009311","Nodes","-1462506","21.000000","38.500027","Default Known Flow Node","Known Flow","395738.015840","829652.123965","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100009379","Nodes","-753","21.000000","38.457077","Default Known Flow Node","Known Flow","395738.246840","829679.765973","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100009361","Nodes","-4904558","21.000000","24.601399","Default Known Flow Node","Known Flow","394489.187219","830005.072780","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000047","Nodes","47","21.000000","27.022454","DDS demands","Known Flow","394950.512625","830003.970061","","0.000000","","","","","-13.340000","","","","","-11.928867","-13.340000","","","","","","","D1 PROFILE","","","",""
"60603100000035","Nodes","35","21.000000","24.718274","DDS demands","Known Flow","394637.404540","830019.913065","","0.000000","","","","","-21.500000","","","","","-19.225685","-21.500000","","","","","","","D1 PROFILE","","","",""
"60603100000036","Nodes","36","21.000000","24.758268","DDS demands","Known Flow","394565.614521","830013.107064","","0.000000","","","","","-5.280000","","","","","-4.721470","-5.280000","","","","","","","D1 PROFILE","","","",""
"60603100009358","Nodes","-4904545","21.000000","26.535264","Default Known Flow Node","Known Flow","394734.758658","830001.655467","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000040","Nodes","40","21.000000","26.433748","DDS demands","Known Flow","394769.973576","830048.527073","","0.000000","","","","","-10.589999","","","","","-9.469767","-10.589999","","","","","","","D1 PROFILE","","","",""
"60603100000200","Nodes","200","21.000000","48.859610","DDS demands","Known Flow","394890.334609","830443.740181","","0.000000","","","","","-17.920000","","","","","-16.024385","-17.920000","","","","","","","D1 PROFILE","","","",""
"60603100009346","Nodes","-170","21.000000","48.825069","Default Known Flow Node","Known Flow","394949.939625","830430.984177","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000202","Nodes","202","21.000000","45.135384","DDS demands","Known Flow","394968.847630","830354.857157","","0.000000","","","","","-5.099999","","","","","-4.560511","-5.099999","","","","","","","D1 PROFILE","","","",""
"60603100009364","Nodes","-4904581","21.000000","44.562477","Default Known Flow Node","Known Flow","394997.505577","830359.105315","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000068","Nodes","68","21.000000","26.345626","DDS demands","Known Flow","394812.015588","830068.920079","","0.000000","","","","","-5.260000","","","","","-4.703586","-5.260000","","","","","","","D1 PROFILE","","","",""
"60603100000041","Nodes","41","21.000000","26.323328","DDS demands","Known Flow","394860.569601","830055.242075","","0.000000","","","","","-9.989999","","","","","-8.933236","-9.989999","","","","","","","D1 PROFILE","","","",""
"60603100000030","Nodes","30","21.000000","23.089604","DDS demands","Known Flow","394716.313562","830191.277112","","0.000000","","","","","-5.119999","","","","","-4.578395","-5.119999","","","","","","","D1 PROFILE","","","",""
"60603100000031","Nodes","31","21.000000","22.955298","DDS demands","Known Flow","394687.627554","830153.063102","","0.000000","","","","","-4.940000","","","","","-4.417436","-4.940000","","","","","","","D1 PROFILE","","","",""
"60603100000029","Nodes","29","21.000000","23.676849","DDS demands","Known Flow","394578.419839","830103.336355","","0.000000","","","","","-18.979998","","","","","-16.972255","-18.979998","","","","","","","D1 PROFILE","","","",""
"60603100000283","Nodes","283","21.000000","26.579530","DDS demands","Known Flow","394726.624565","829816.488010","","0.000000","","","","","-2.499999","","","","","-2.235544","-2.499999","","","","","","","D1 PROFILE","","","",""
"60603100000034","Nodes","34","21.000000","23.083388","DDS demands","Known Flow","394916.106616","830152.035101","","0.000000","","","","","-16.169999","","","","","-14.459503","-16.169999","","","","","","","D1 PROFILE","","","",""
"60603100000201","Nodes","201","21.000000","48.784483","DDS demands","Known Flow","394950.015625","830463.656186","","0.000000","","","","","-4.309999","","","","","-3.854079","-4.309999","","","","","","","D1 PROFILE","","","",""
"60603100009324","Nodes","-1462630","21.000000","48.741509","Default Known Flow Node","Known Flow","394949.201625","830416.651173","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000045","Nodes","45","21.000000","28.092486","DDS demands","Known Flow","395088.911663","830061.772077","","0.000000","","","","","-18.479999","","","","","-16.525146","-18.479999","","","","","","","D1 PROFILE","","","",""
"60603100000203","Nodes","203","21.000000","42.895617","DDS demands","Known Flow","395056.393654","830403.400170","","0.000000","","","","","-10.439999","","","","","-9.335634","-10.439999","","","","","","","D1 PROFILE","","","",""
"60603100000204","Nodes","204","21.000000","42.468125","DDS demands","Known Flow","395069.508658","830433.460178","","0.000000","","","","","-1.700000","","","","","-1.520170","-1.700000","","","","","","","D1 PROFILE","","","",""
"60603100000205","Nodes","205","21.000000","40.027407","DDS demands","Known Flow","395068.095657","830465.467187","","0.000000","","","","","-7.940000","","","","","-7.100090","-7.940000","","","","","","","D1 PROFILE","","","",""
