"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"602006-481","Nodes","-481","21.000000","38.347811","Default Known Flow Node","Known Flow","363522.000000","740230.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-1463028","Nodes","-1463028","21.000000","39.515163","Default Known Flow Node","Known Flow","363704.875000","740420.125000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001214","Nodes","1214","21.000000","39.515163","DDS","Known Flow","363725.000000","740456.125000","","0.000000","","","-6.210000","","","","","","","","","","-5.553092","-6.210000","","","","","C3 PROFILE","","","","","","","","",""
"602006-508","Nodes","-508","21.000000","39.148570","Default Known Flow Node","Known Flow","363804.625000","740481.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-1462965","Nodes","-1462965","21.000000","39.148570","Default Known Flow Node","Known Flow","363811.250000","740478.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001212","Nodes","1212","21.000000","38.496303","DDS","Known Flow","363648.125000","740484.625000","","0.000000","","","","","-6.070000","","","","","","","","-5.427901","-6.070000","","","","","","","D1 PROFILE","","","","","","",""
"602006-510","Nodes","-510","21.000000","38.496303","Default Known Flow Node","Known Flow","363645.500000","740485.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-511","Nodes","-511","21.000000","38.496546","Default Known Flow Node","Known Flow","363648.964752","740484.833934","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001424","Nodes","1424","21.000000","39.172254","Default Known Flow Node","Known Flow","363920.875000","740438.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001423","Nodes","1423","21.000000","39.129785","Default Known Flow Node","Known Flow","363955.375000","740467.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001408","Nodes","1408","21.000000","39.187640","Default Known Flow Node","Known Flow","363940.125000","740472.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-503","Nodes","-503","21.000000","39.233047","Default Known Flow Node","Known Flow","363934.125000","740475.000000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000588","Nodes","588","21.000000","38.367291","Default Known Flow Node","Known Flow","363657.750000","740260.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000589","Nodes","589","21.000000","38.367291","Default Known Flow Node","Known Flow","363666.500000","740246.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000591","Nodes","591","21.000000","38.330847","Default Known Flow Node","Known Flow","363708.375000","740268.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000592","Nodes","592","21.000000","37.261238","DDS demands","Known Flow","363468.781250","741829.750000","","0.000000","-34.459998","","","","","","","","","","","","-30.814743","-34.459998","","","C1 PROFILE","","","","","","","","","","",""
"60200600001178","Nodes","1178","21.000000","38.461158","DDS","Known Flow","363704.875000","740290.625000","","0.000000","","","","-3.440000","-10.324000","","","","","","","","-12.308014","-13.764000","","","","","","C4 PROFILE","D1 PROFILE","","","","","","",""
"602006-484","Nodes","-484","21.000000","38.288308","Default Known Flow Node","Known Flow","363729.125000","740242.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-4904645","Nodes","-4904645","21.000000","38.330847","Default Known Flow Node","Known Flow","363692.500000","740244.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001177","Nodes","1177","21.000000","38.503717","Default Known Flow Node","Known Flow","363663.375000","740342.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000593","Nodes","593","21.000000","38.484603","DDS","Known Flow","363778.750000","740365.375000","","0.000000","","","","","-13.585000","","","","","","","","-12.147948","-13.585000","","","","","","","D1 PROFILE","","","","","","",""
"602006-491","Nodes","-491","21.000000","38.414391","Default Known Flow Node","Known Flow","363824.125000","740365.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-482","Nodes","-482","21.000000","38.347811","Default Known Flow Node","Known Flow","363525.750000","740231.750000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-4904634","Nodes","-4904634","21.000000","38.220192","Default Known Flow Node","Known Flow","363525.625000","740218.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-1462491","Nodes","-1462491","21.000000","38.347409","Default Known Flow Node","Known Flow","363528.250000","740235.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-1463275","Nodes","-1463275","21.000000","39.233047","Default Known Flow Node","Known Flow","363953.875000","740486.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-485","Nodes","-485","21.000000","38.330847","Default Known Flow Node","Known Flow","363691.750000","740243.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-4904600","Nodes","-4904600","21.000000","38.256919","Default Known Flow Node","Known Flow","363864.250000","740419.750000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-480","Nodes","-480","21.000000","38.220192","Default Known Flow Node","Known Flow","363527.625000","740219.125000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000143","Nodes","143","21.000000","29.089934","DDS","Known Flow","361964.500000","740500.750000","","0.000000","","","","","-7.916000","","","","","","","","-7.078627","-7.916000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000067","Nodes","67","21.000000","29.375808","DDS","Known Flow","361833.250000","740697.875000","","0.000000","","","","","-29.176001","","","","","","","","-26.089699","-29.176001","","","","","","","D1 PROFILE","","","","","","",""
"60200600000706","Nodes","Logger 9545, Post, Kinghorne Street","21.000000","30.684184","Val Log Post","Known Flow","361895.750000","740721.750000","","0.000000","","","","","-7.564999","","","","","","","","-6.764757","-7.564999","","","","","","","D1 PROFILE","","","","","","",""
"60200600000146","Nodes","146","21.000000","27.231721","DDS","Known Flow","361797.875000","740562.250000","","0.000000","","","","","-3.381000","","","","","","","","-3.023350","-3.381000","","","","","","","D1 PROFILE","","","","","","",""
