"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60601300000034","Nodes","","21.000000","36.634977","DDS demands","Known Flow","368901.363537","864394.352419","","0.000000","","","","","","-1.679999","","","","","","-1.502286","-1.679999","","","","","","","","D1 PROFILE","","","","",""
"60601300000210","Nodes","210","21.000000","27.161500","DDS demands","Known Flow","368599.795168","863746.761564","","0.000000","","","","","","-3.729999","","","","","","-3.335432","-3.729999","","","","","","","","D1 PROFILE","","","","",""
"60601300000092","Nodes","","21.000000","27.996389","DDS demands","Known Flow","368785.453506","863949.556298","","0.000000","","-33.060000","","","","-9.829999","","","","","","-38.353006","-42.890000","","","","C2 PROFILE","","","","D1 PROFILE","","","","",""
"60601300010230","Nodes","-1462568","21.000000","34.936711","Default Known Flow Node","Known Flow","368792.946186","864232.371895","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300010250","Nodes","-99","21.000000","31.930647","Default Known Flow Node","Known Flow","368738.069824","864020.954100","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000038","Nodes","","21.000000","33.636470","DDS demands","Known Flow","368738.014493","864104.654340","","0.000000","","","","","","-10.130000","","","","","","-9.058427","-10.130000","","","","","","","","D1 PROFILE","","","","",""
"60601300000161","Nodes","","21.000000","30.486923","DDS demands","Known Flow","368511.181431","864074.557332","","0.000000","","","","","","-0.980000","","","","","","-0.876333","-0.980000","","","","","","","","D1 PROFILE","","","","",""
"60601300000035","Nodes","35","21.000000","35.718800","DDS demands","Known Flow","368850.777614","864237.764140","","0.000000","","-8.989999","-4.079999","","","-1.070000","","","","","","-12.644241","-14.139999","","","","C2 PROFILE","C3 PROFILE","","","D1 PROFILE","","","","",""
"60601300000071","Nodes","","21.000000","23.299009","DDS demands","Known Flow","369015.795568","864256.741382","","0.000000","","","","-3.869999","","-13.369999","","","","","","-15.416315","-17.239999","","","","","","C4 PROFILE","","D1 PROFILE","","","","",""
"60601300000026","Nodes","","21.000000","37.712710","DDS demands","Known Flow","368640.381466","864428.886428","","0.000000","","","","","","-10.239999","","","","","","-9.156791","-10.239999","","","","","","","","D1 PROFILE","","","","",""
"60601300002028","Nodes","","21.000000","32.513449","Default Known Flow Node","Known Flow","368864.702527","863849.227271","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300001010","Nodes","","21.000000","39.968706","DDS demands","Known Flow","368847.331522","864507.890450","","0.000000","","-159.999991","","","","","","","","","","-143.074856","-159.999991","","","","C2 PROFILE","","","","","","","","",""
"60601300002027","Nodes","","21.000000","35.673603","Default Known Flow Node","Known Flow","368857.870903","864218.371659","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002026","Nodes","","21.000000","32.033740","Default Known Flow Node","Known Flow","368878.111600","863830.407239","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
