"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601000001030","Nodes","1030","21.000000","27.198824","Default Known Flow Node","Known Flow","288682.156250","856553.937500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-466","Nodes","-466","21.000000","27.198824","Default Known Flow Node","Known Flow","288703.875000","856539.937500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001003","Nodes","1003","21.000000","27.198824","Default Known Flow Node","Known Flow","288679.250000","856555.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000081","Nodes","81","21.000000","27.311916","DDS demands","Known Flow","288686.250000","856560.250000","","0.000000","","","","","-9.689999","","","","-8.664970","-9.689999","","","","","","","D1 PROFILE","","",""
"60601000001002","Nodes","1002","21.000000","27.084365","Default Known Flow Node","Known Flow","288678.000000","856547.562500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000633","Nodes","633","21.000000","27.403110","Default Known Flow Node","Known Flow","288279.125000","855806.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000142","Nodes","142","21.000000","27.172387","DDS demands","Known Flow","288271.250000","855776.500000","","0.000000","","","","","-5.070000","","","","-4.533684","-5.070000","","","","","","","D1 PROFILE","","",""
"60601000000147","Nodes","147","21.000000","26.959144","DDS demands","Known Flow","288307.500000","855757.875000","","0.000000","","","","","-7.099999","","","","-6.348946","-7.099999","","","","","","","D1 PROFILE","","",""
"606010-306","Nodes","-306","21.000000","27.900775","Default Known Flow Node","Known Flow","287672.875000","856720.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000116","Nodes","116","21.000000","28.323501","Default Known Flow Node","Known Flow","287723.562500","856690.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-300","Nodes","-300","21.000000","28.848808","Default Known Flow Node","Known Flow","287786.250000","856653.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000400","Nodes","400","21.000000","26.650902","DDS demands","Known Flow","288657.625000","856516.125000","","0.000000","","","","","-2.789999","","","","-2.494867","-2.789999","","","","","","","D1 PROFILE","","",""
"60601000001004","Nodes","1004","21.000000","27.059755","Default Known Flow Node","Known Flow","288739.500000","856527.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001005","Nodes","1005","21.000000","27.048423","Default Known Flow Node","Known Flow","288727.531250","856507.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000092","Nodes","92","21.000000","26.923842","DDS demands","Known Flow","288738.500000","856468.750000","","0.000000","","","","","-6.650000","","","","-5.946549","-6.650000","","","","","","","D1 PROFILE","","",""
"60601000001006","Nodes","1006","21.000000","27.739390","Default Known Flow Node","Known Flow","287939.843750","856754.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001007","Nodes","CSEP, VICTORIA STREET, P11127453, -10.430","22.999998","28.438115","CSEP Unmatched","Known Flow","287887.819525","856669.987979","","0.000000","","","","","","-10.430000","","","-9.326693","-10.430000","","","","","","","","DC PROFILE","",""
"606010-311","Nodes","-311","21.000000","27.697741","Default Known Flow Node","Known Flow","287927.250000","856733.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000648","Nodes","648","21.000000","27.764144","Default Known Flow Node","Known Flow","287937.375000","856764.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000269","Nodes","269, ""330967 68154-01"", ""RUALLAN DRIVE"", 21.60","37.000000","37.420193","CSEP DDS Matched","Known Flow","288142.687500","855512.562500","","0.000000","","","","","","-8.050000","","","-7.198454","-8.050000","","","","","","","","DC PROFILE","",""
"60601000001025","Nodes","1025","21.000000","37.063283","Default Known Flow Node","Known Flow","288152.875000","855522.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-28","Nodes","-28","21.000000","35.690280","Default Known Flow Node","Known Flow","288158.656250","855579.562500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-18","Nodes","-18","21.000000","38.597297","Default Known Flow Node","Known Flow","288127.500000","855467.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-99996","Nodes","-99996","21.000000","32.804550","Default Known Flow Node","Known Flow","286662.656250","855454.937500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000292","Nodes","292, ""306172"", ""MOSS SIDE BRAE"", 31.00","27.000000","32.754177","CSEP DDS Matched","Known Flow","286662.843750","855448.562500","","0.000000","","","","","-13.789999","-29.000000","","","-38.263585","-42.790000","","","","","","","D1 PROFILE","DC PROFILE","",""
"606010-19","Nodes","-19","21.000000","33.668073","Default Known Flow Node","Known Flow","286735.250000","855477.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000690","Nodes","690","21.000000","32.704404","Default Known Flow Node","Known Flow","286545.375000","855440.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000296","Nodes","296","21.000000","32.698995","DDS demands","Known Flow","286332.000000","855479.875000","","0.000000","","","","","-2.180000","","","","-1.949395","-2.180000","","","","","","","D1 PROFILE","","",""
"60601000000641","Nodes","641","21.000000","36.666284","DDS demands","Known Flow","286974.125000","855384.500000","","0.000000","","","","","-16.809999","","","","-15.031803","-16.809999","","","","","","","D1 PROFILE","","",""
"60601000000640","Nodes","640","21.000000","37.482585","DDS demands","Known Flow","286958.875000","855421.500000","","0.000000","","","","","-14.170000","","","","-12.671067","-14.170000","","","","","","","D1 PROFILE","","",""
"60601000000501","Nodes","501","21.000000","34.298438","DDS demands","Known Flow","286863.875000","855452.125000","","0.000000","","","","","-5.489999","","","","-4.909256","-5.489999","","","","","","","D1 PROFILE","","",""
"60601000000505","Nodes","505","21.000000","34.319804","DDS demands","Known Flow","286812.125000","855455.875000","","0.000000","","","","","-2.259999","","","","-2.020932","-2.259999","","","","","","","D1 PROFILE","","",""
"60601000000502","Nodes","502","21.000000","34.056734","DDS demands","Known Flow","286867.875000","855391.750000","","0.000000","","","","","-17.399999","","","","-15.559390","-17.399999","","","","","","","D1 PROFILE","","",""
"60601000000503","Nodes","503","21.000000","33.710081","DDS demands","Known Flow","286877.125000","855336.375000","","0.000000","","","","","-6.719999","","","","-6.009144","-6.719999","","","","","","","D1 PROFILE","","",""
"60601000000506","Nodes","506","21.000000","34.185699","Default Known Flow Node","Known Flow","286773.125000","855355.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000507","Nodes","507","21.000000","34.096802","Default Known Flow Node","Known Flow","286816.750000","855324.250000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000504","Nodes","504","21.000000","33.910077","DDS demands","Known Flow","286845.875000","855264.250000","","0.000000","","","","","-4.709999","","","","-4.211766","-4.709999","","","","","","","D1 PROFILE","","",""
"606010-11","Nodes","-11","21.000000","39.721037","Default Known Flow Node","Known Flow","288108.625000","855433.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000268","Nodes","268, ""CAWDOR ROAD DG""","21.000000","40.000000","Default Known Pressure Node","Known Pressure","288099.875000","855434.750000","","999998.967025","","","","","","","","","547.835316","612.641994","","","","","","","","","",""
"60601000000297","Nodes","297","21.000000","33.471396","DDS demands","Known Flow","286699.375000","855540.125000","","0.000000","","","","","-9.909999","","","","-8.861699","-9.909999","","","","","","","D1 PROFILE","","",""
"60601000000639","Nodes","639","21.000000","38.016935","DDS demands","Known Flow","286986.625000","855533.625000","","0.000000","","","","","-2.499999","","","","-2.235544","-2.499999","","","","","","","D1 PROFILE","","",""
"60601000000521","Nodes","521","21.000000","36.147883","DDS demands","Known Flow","286733.000000","855881.250000","","0.000000","","","","","-2.409999","","","","-2.155065","-2.409999","","","","","","","D1 PROFILE","","",""
"60601000000519","Nodes","519","21.000000","36.305371","DDS demands","Known Flow","286737.250000","855837.625000","","0.000000","","","","","-5.820000","","","","-5.204348","-5.820000","","","","","","","D1 PROFILE","","",""
"60601000000298","Nodes","298","21.000000","33.408790","DDS demands","Known Flow","286542.750000","855513.250000","","0.000000","","","","","-7.829999","","","","-7.001726","-7.829999","","","","","","","D1 PROFILE","","",""
"60601000000500","Nodes","500","21.000000","34.450762","DDS demands","Known Flow","286860.500000","855519.750000","","0.000000","","","","","-3.099999","","","","-2.772075","-3.099999","","","","","","","D1 PROFILE","","",""
"60601000000295","Nodes","295","21.000000","33.919075","DDS demands","Known Flow","286904.375000","855528.250000","","0.000000","","-7.349999","","","-4.600000","","","","-10.685904","-11.950000","","","","C2 PROFILE","","","D1 PROFILE","","",""
"60601000000291","Nodes","291","21.000000","34.511508","DDS demands","Known Flow","286846.000000","855521.875000","","0.000000","","","","","-10.180000","","","","-9.103139","-10.180000","","","","","","","D1 PROFILE","","",""
"60601000000635","Nodes","635","21.000000","38.045736","DDS demands","Known Flow","286988.500000","855539.000000","","0.000000","","","","","-4.610000","","","","-4.122344","-4.610000","","","","","","","D1 PROFILE","","",""
"60601000000567","Nodes","567","21.000000","36.601443","DDS demands","Known Flow","286792.375000","855602.875000","","0.000000","","","","","-3.190000","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","",""
"60601000000508","Nodes","508","21.000000","36.473010","Default Known Flow Node","Known Flow","286699.250000","855583.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-4904590","Nodes","-4904590","21.000000","36.601443","Default Known Flow Node","Known Flow","286789.750000","855614.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000290","Nodes","290","21.000000","36.455827","DDS demands","Known Flow","286828.125000","855610.000000","","0.000000","","","","","-11.979999","","","","-10.712730","-11.979999","","","","","","","D1 PROFILE","","",""
"60601000000289","Nodes","289","21.000000","36.650294","DDS demands","Known Flow","286826.500000","855617.125000","","0.000000","","","","","-6.119999","","","","-5.472613","-6.119999","","","","","","","D1 PROFILE","","",""
"60601000000568","Nodes","568","21.000000","36.601443","Default Known Flow Node","Known Flow","286788.250000","855623.250000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-40","Nodes","-40","21.000000","36.601443","Default Known Flow Node","Known Flow","286794.250000","855624.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000509","Nodes","509","21.000000","37.019759","DDS demands","Known Flow","286811.375000","855685.500000","","0.000000","","","","","-3.390000","","","","-3.031398","-3.390000","","","","","","","D1 PROFILE","","",""
"60601000000287","Nodes","287","21.000000","37.059157","DDS demands","Known Flow","286819.500000","855691.375000","","0.000000","","","","","-4.530000","","","","-4.050807","-4.530000","","","","","","","D1 PROFILE","","",""
"60601000000288","Nodes","288","21.000000","36.859764","DDS demands","Known Flow","286808.250000","855743.625000","","0.000000","","","","","-7.139999","","","","-6.384715","-7.139999","","","","","","","D1 PROFILE","","",""
"60601000000285","Nodes","285","21.000000","37.610275","DDS demands","Known Flow","286981.000000","855725.125000","","0.000000","","","","","-2.349999","","","","-2.101411","-2.349999","","","","","","","D1 PROFILE","","",""
"60601000000276","Nodes","276","21.000000","37.744757","Default Known Flow Node","Known Flow","286989.375000","855749.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000286","Nodes","286","21.000000","37.094138","DDS demands","Known Flow","286943.500000","855608.125000","","0.000000","","","","","-8.749999","","","","-7.824406","-8.749999","","","","","","","D1 PROFILE","","",""
"60601000000277","Nodes","277","21.000000","36.987202","DDS demands","Known Flow","286862.250000","855948.625000","","0.000000","","","","","-9.659999","","","","-8.638144","-9.659999","","","","","","","D1 PROFILE","","",""
"60601000000510","Nodes","510","21.000000","36.656594","DDS demands","Known Flow","286704.625000","855670.000000","","0.000000","","","","","-1.450000","","","","-1.296616","-1.450000","","","","","","","D1 PROFILE","","",""
"60601000000518","Nodes","518","21.000000","36.945136","DDS demands","Known Flow","286762.625000","855674.375000","","0.000000","","","","","-6.020000","","","","-5.383191","-6.020000","","","","","","","D1 PROFILE","","",""
"60601000000511","Nodes","511, P08117184, 7.85 SCMH","22.999998","35.564432","CSEP Unmatched","Known Flow","286628.360827","855673.004526","","0.000000","","","","","","","-7.849999","","-7.019610","-7.849999","","","","","","","","","PL-AF PROFILE",""
"60601000000512","Nodes","512","21.000000","36.321777","DDS demands","Known Flow","286694.250000","855710.500000","","0.000000","","","","","-1.070000","","","","-0.956813","-1.070000","","","","","","","D1 PROFILE","","",""
"60601000000515","Nodes","515","21.000000","35.608462","DDS demands","Known Flow","286619.250000","855688.875000","","0.000000","","","","","-1.729999","","","","-1.546996","-1.729999","","","","","","","D1 PROFILE","","",""
"60601000000513","Nodes","513","21.000000","36.297234","DDS demands","Known Flow","286695.875000","855717.625000","","0.000000","","","","","-7.099999","","","","-6.348946","-7.099999","","","","","","","D1 PROFILE","","",""
"60601000000514","Nodes","514","21.000000","36.307603","DDS demands","Known Flow","286746.625000","855729.250000","","0.000000","","","","","-4.670000","","","","-4.175997","-4.670000","","","","","","","D1 PROFILE","","",""
"60601000000517","Nodes","517","21.000000","35.505126","DDS demands","Known Flow","286536.500000","855836.375000","","0.000000","","","","","-2.269999","","","","-2.029874","-2.269999","","","","","","","D1 PROFILE","","",""
"60601000000516","Nodes","516","21.000000","35.573329","Default Known Flow Node","Known Flow","286630.875000","855668.625000","","0.000000","","","","","-1.029999","","","","-0.921044","-1.029999","","","","","","","D1 PROFILE","","",""
"60601000000349","Nodes","349","21.000000","36.256722","DDS demands","Known Flow","286672.500000","855761.375000","","0.000000","","","","","-4.460000","","","","-3.988211","-4.460000","","","","","","","D1 PROFILE","","",""
"60601000000347","Nodes","347","21.000000","36.262076","DDS demands","Known Flow","286652.750000","855794.125000","","0.000000","","","","","-10.119999","","","","-9.049484","-10.119999","","","","","","","D1 PROFILE","","",""
"60601000000348","Nodes","348","21.000000","35.938754","DDS demands","Known Flow","286610.625000","855856.875000","","0.000000","","","","","-6.429999","","","","-5.749820","-6.429999","","","","","","","D1 PROFILE","","",""
"60601000000345","Nodes","345","21.000000","36.350490","DDS demands","Known Flow","286691.750000","855814.000000","","0.000000","","","","","-7.119999","","","","-6.366831","-7.119999","","","","","","","D1 PROFILE","","",""
"60601000000346","Nodes","346","21.000000","36.110449","DDS demands","Known Flow","286670.625000","855867.250000","","0.000000","","","","","-6.079999","","","","-5.436844","-6.079999","","","","","","","D1 PROFILE","","",""
"60601000000343","Nodes","343","21.000000","36.477230","DDS demands","Known Flow","286740.625000","855821.500000","","0.000000","","","","","-2.720000","","","","-2.432272","-2.720000","","","","","","","D1 PROFILE","","",""
"60601000000523","Nodes","523","21.000000","36.413721","DDS demands","Known Flow","286775.375000","855829.000000","","0.000000","","","","","-1.309999","","","","-1.171425","-1.309999","","","","","","","D1 PROFILE","","",""
"60601000000520","Nodes","520","21.000000","36.133138","DDS demands","Known Flow","286726.875000","855883.875000","","0.000000","","","","","-3.359999","","","","-3.004572","-3.359999","","","","","","","D1 PROFILE","","",""
"60601000000524","Nodes","524","21.000000","36.577204","DDS demands","Known Flow","286752.000000","855811.125000","","0.000000","","","","","-1.590000","","","","-1.421806","-1.590000","","","","","","","D1 PROFILE","","",""
"60601000000339","Nodes","339","21.000000","36.456945","DDS demands","Known Flow","286790.500000","855826.750000","","0.000000","","","","","-2.450000","","","","-2.190834","-2.450000","","","","","","","D1 PROFILE","","",""
"60601000000420","Nodes","420","21.000000","36.582198","DDS demands","Known Flow","286793.000000","855815.750000","","0.000000","","","","","-3.110000","","","","-2.781017","-3.110000","","","","","","","D1 PROFILE","","",""
"60601000000338","Nodes","338","21.000000","36.513530","DDS demands","Known Flow","286791.375000","855882.000000","","0.000000","","","","","-3.199999","","","","-2.861497","-3.199999","","","","","","","D1 PROFILE","","",""
"60601000000341","Nodes","341","21.000000","36.581754","DDS demands","Known Flow","286798.625000","855791.125000","","0.000000","","","","","-2.470000","","","","-2.208718","-2.470000","","","","","","","D1 PROFILE","","",""
"606010-92","Nodes","-92","21.000000","36.214935","Default Known Flow Node","Known Flow","286836.000000","855823.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000522","Nodes","522","21.000000","36.673172","DDS demands","Known Flow","286811.750000","855858.250000","","0.000000","","","","","-5.070000","","","","-4.533684","-5.070000","","","","","","","D1 PROFILE","","",""
"60601000000337","Nodes","337","21.000000","36.600925","DDS demands","Known Flow","286780.750000","855941.875000","","0.000000","","","","","-2.209999","","","","-1.976221","-2.209999","","","","","","","D1 PROFILE","","",""
"60601000000525","Nodes","525","21.000000","36.624559","Default Known Flow Node","Known Flow","286803.125000","855772.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000342","Nodes","342","21.000000","36.366625","DDS demands","Known Flow","286830.375000","855797.375000","","0.000000","","","","","-0.669999","","","","-0.599125","-0.669999","","","","","","","D1 PROFILE","","",""
"60601000000278","Nodes","278","21.000000","36.908430","Default Known Flow Node","Known Flow","286862.500000","855957.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000279","Nodes","279","21.000000","36.948543","Default Known Flow Node","Known Flow","286898.125000","855956.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-1462519","Nodes","-1462519","21.000000","36.043836","Default Known Flow Node","Known Flow","286826.625000","855837.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000340","Nodes","340","21.000000","36.097241","DDS demands","Known Flow","286846.750000","855792.250000","","0.000000","","","","","-7.230000","","","","-6.465195","-7.230000","","","","","","","D1 PROFILE","","",""
"606010-4904582","Nodes","-4904582","21.000000","37.612942","Default Known Flow Node","Known Flow","287017.625000","855503.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000637","Nodes","637","21.000000","32.400559","Default Known Flow Node","Known Flow","287081.125000","855569.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000636","Nodes","636","21.000000","37.546313","DDS demands","Known Flow","287018.750000","855497.000000","","0.000000","","","","","-0.449999","","","","-0.402398","-0.449999","","","","","","","D1 PROFILE","","",""
"60601000000606","Nodes","606","21.000000","37.325512","DDS demands","Known Flow","287111.625000","855717.000000","","0.000000","","","","","-10.029999","","","","-8.969005","-10.029999","","","","","","","D1 PROFILE","","",""
"606010-48","Nodes","-48","21.000000","37.620265","Default Known Flow Node","Known Flow","287167.000000","855671.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000272","Nodes","28 properties @ Albyn Court, NA:14284","21.000000","38.976933","Point Loads","Known Flow","287106.875000","855588.625000","","0.000000","","","","","","","-36.609999","","-32.737317","-36.609999","","","","","","","","","PL-AF PROFILE",""
"60601000000274","Nodes","274","21.000000","38.827615","Default Known Flow Node","Known Flow","287069.125000","855610.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000634","Nodes","634","21.000000","38.673369","Default Known Flow Node","Known Flow","287047.125000","855623.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000275","Nodes","275","21.000000","38.412759","DDS demands","Known Flow","287045.750000","855658.250000","","0.000000","","","","","-3.899999","","","","-3.487449","-3.899999","","","","","","","D1 PROFILE","","",""
"60601000000604","Nodes","604","21.000000","37.008227","DDS demands","Known Flow","287091.375000","855662.125000","","0.000000","","-5.400000","","","-19.350001","","","","-22.131894","-24.750000","","","","C2 PROFILE","","","D1 PROFILE","","",""
"606010-1462646","Nodes","-1462646","21.000000","37.008227","Default Known Flow Node","Known Flow","287108.000000","855639.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-1462681","Nodes","-1462681","21.000000","37.008227","Default Known Flow Node","Known Flow","287103.875000","855684.250000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000273","Nodes","273","21.000000","38.080716","DDS demands","Known Flow","287177.375000","855631.375000","","0.000000","","","","","-1.860000","","","","-1.663245","-1.860000","","","","","","","D1 PROFILE","","",""
"60601000000605","Nodes","605","21.000000","34.847208","DDS demands","Known Flow","287168.250000","855671.750000","","0.000000","","","","","-7.179999","","","","-6.420484","-7.179999","","","","","","","D1 PROFILE","","",""
"60601000000607","Nodes","607","21.000000","33.417850","DDS demands","Known Flow","287306.875000","855754.500000","","0.000000","","","","","-16.090000","","","","-14.387966","-16.090000","","","","","","","D1 PROFILE","","",""
"60601000000610","Nodes","610","21.000000","32.928899","DDS demands","Known Flow","287198.375000","855788.625000","","0.000000","","","","","-6.090000","","","","-5.445787","-6.090000","","","","","","","D1 PROFILE","","",""
"60601000000611","Nodes","611","21.000000","32.818897","DDS demands","Known Flow","287167.000000","855745.375000","","0.000000","","","","","-5.480000","","","","-4.900314","-5.480000","","","","","","","D1 PROFILE","","",""
"60601000000609","Nodes","609","21.000000","32.983601","DDS demands","Known Flow","287242.000000","855836.500000","","0.000000","","","","","-10.110000","","","","-9.040542","-10.110000","","","","","","","D1 PROFILE","","",""
"60601000000608","Nodes","608","21.000000","33.083138","DDS demands","Known Flow","287273.000000","855812.625000","","0.000000","","","","","-2.059999","","","","-1.842088","-2.059999","","","","","","","D1 PROFILE","","",""
"60601000000612","Nodes","612","21.000000","33.020982","DDS demands","Known Flow","287302.125000","855831.000000","","0.000000","","","","","-6.969999","","","","-6.232698","-6.969999","","","","","","","D1 PROFILE","","",""
"60601000000613","Nodes","613","21.000000","33.037897","DDS demands","Known Flow","287269.750000","855865.250000","","0.000000","","","","","-2.099999","","","","-1.877857","-2.099999","","","","","","","D1 PROFILE","","",""
"60601000000614","Nodes","614","21.000000","32.947258","DDS demands","Known Flow","287363.875000","855788.000000","","0.000000","","","","","-6.999999","","","","-6.259525","-6.999999","","","","","","","D1 PROFILE","","",""
"60601000000615","Nodes","615","21.000000","32.742339","DDS demands","Known Flow","287386.750000","855852.250000","","0.000000","","","","","-8.169999","","","","-7.305760","-8.169999","","","","","","","D1 PROFILE","","",""
"60601000000616","Nodes","616","21.000000","32.446740","DDS demands","Known Flow","287423.000000","855873.000000","","0.000000","","","","","-8.649999","","","","-7.734984","-8.649999","","","","","","","D1 PROFILE","","",""
"606010-1462719","Nodes","-1462719","21.000000","32.742339","Default Known Flow Node","Known Flow","287379.375000","855865.000000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-1462625","Nodes","-1462625","21.000000","32.446740","Default Known Flow Node","Known Flow","287432.000000","855879.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
