"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200800000167","Nodes","167","21.000000","34.530926","DDS demands","Known Flow","345469.001720","750116.574500","","0.000000","","","","","","-13.579999","","","","","","","","-12.143478","-13.579999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800004207","Nodes","-316537","21.000000","34.389451","Default Known Flow Node","Known Flow","345452.250000","750206.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000521","Nodes","521","21.000000","34.362868","DDS demands","Known Flow","345437.750000","750213.875000","","0.000000","","","","","","-15.370000","","","","","","","","-13.744129","-15.370000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000524","Nodes","524","21.000000","33.917731","DDS demands","Known Flow","345417.250000","750293.125000","","0.000000","","","","","","-11.079999","","","","","","","","-9.907934","-11.079999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000034","Nodes","34","21.000000","36.193508","DDS demands","Known Flow","345331.992848","750420.662195","","0.000000","-9.359999","","","-5.030000","","-7.979999","","","","","","","","-20.003653","-22.369999","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"60200800000593","Nodes","593","21.000000","36.025101","Daily Metered Site","Known Flow","345355.521788","750436.267798","","0.000000","-62.620000","","","","","","","","","","","","","-55.995926","-62.620000","","","C1 PROFILE","","","","","","","","","","","",""
"60200800004168","Nodes","-316442","21.000000","35.687600","Default Known Flow Node","Known Flow","345036.625000","750293.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000587","Nodes","587","21.000000","35.077601","DDS demands","Known Flow","345138.625000","750389.500000","","0.000000","","","","","","-4.719999","","","","","","","","-4.220708","-4.719999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000725","Nodes","725","21.000000","36.273826","Default Known Flow Node","Known Flow","345200.125000","750233.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004186","Nodes","-316494","21.000000","36.119979","Default Known Flow Node","Known Flow","345262.125000","750370.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004184","Nodes","-316492","21.000000","36.119979","Default Known Flow Node","Known Flow","345259.500000","750369.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004188","Nodes","-316500","21.000000","36.106179","Default Known Flow Node","Known Flow","345278.372504","750383.560279","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004192","Nodes","-316509","21.000000","35.046368","Default Known Flow Node","Known Flow","345299.000000","750220.500000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004202","Nodes","-316527","21.000000","34.530926","Default Known Flow Node","Known Flow","345426.750000","750097.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004299","Nodes","-317910","21.000000","34.487459","Default Known Flow Node","Known Flow","345417.500000","750092.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004209","Nodes","-316539","21.000000","33.723187","Default Known Flow Node","Known Flow","345462.721370","750328.658129","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004205","Nodes","-316535","21.000000","33.884100","Default Known Flow Node","Known Flow","345448.250000","750285.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004300","Nodes","-317911","21.000000","34.441953","Default Known Flow Node","Known Flow","345428.417177","750045.145503","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004302","Nodes","-317913","21.000000","34.426466","Default Known Flow Node","Known Flow","345437.714974","750055.865316","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000642","Nodes","642","21.000000","34.344120","DDS demands","Known Flow","345439.109647","749955.072828","","0.000000","","","","","","-6.280000","","","","","","","","-5.615688","-6.280000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800004287","Nodes","-317898","21.000000","34.964989","Default Known Flow Node","Known Flow","345257.776698","750013.602173","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004298","Nodes","-317909","21.000000","35.363439","Default Known Flow Node","Known Flow","345311.594064","750046.544458","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004307","Nodes","-317919","21.000000","34.417129","Default Known Flow Node","Known Flow","345500.125000","750010.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000438","Nodes","438","21.000000","35.240452","Default Known Flow Node","Known Flow","345852.121405","750335.212502","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004309","Nodes","-317921","21.000000","34.633575","Default Known Flow Node","Known Flow","345501.875000","750079.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004313","Nodes","-317926","21.000000","34.674758","Default Known Flow Node","Known Flow","345520.560279","750054.970603","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000072","Nodes","72","21.000000","35.554741","DDS demands","Known Flow","345739.250000","750446.500000","","0.000000","","","","","","-2.190000","","","","","","","","-1.958337","-2.190000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000437","Nodes","437","21.000000","35.462074","DDS demands","Known Flow","345737.125000","750442.125000","","0.000000","","-6.000000","","","","-14.040000","","","","","","","","-17.920126","-20.040000","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
