"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"96113600335023","Nodes","-335023","21.000000","29.497047","Default Known Flow Node","Known Flow","558066.500000","137530.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600366986","Nodes","-366986","21.000000","29.585847","Default Known Flow Node","Known Flow","558077.125000","137511.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600404929","Nodes","404929","21.000000","29.860872","DDS demands","Known Flow","560075.250000","142235.250000","0.000000","","","","-8.920000","","","","","","","","","","-7.976423","-8.920000","","","","","","C4 PROFILE","","","","","","","","","",""
"96113606804205","Nodes","6804205","21.000000","29.878549","DDS demands","Known Flow","560143.625000","142226.250000","0.000000","","","","-3.370000","","","","","","","","","","-3.013514","-3.370000","","","","","","C4 PROFILE","","","","","","","","","",""
"96113600404930","Nodes","-404930","21.000000","29.922195","Default Known Flow Node","Known Flow","560124.000000","142149.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600418808","Nodes","418808","21.000000","30.274803","DDS demands","Known Flow","559968.375000","142236.625000","0.000000","","","","","","","","","","-25.829999","","","","-23.097648","-25.829999","","","","","","","","","","","","I2 PROFILE","","","",""
"96113600404936","Nodes","-404936","21.000000","29.992182","Default Known Flow Node","Known Flow","560233.125000","142192.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606804006","Nodes","DOWDING WAY DG, Site ID 6334","21.000000","30.000000","Default Known Pressure Node","Known Pressure","560241.250000","142206.500000","99999.002583","","","","","","","","","","","","","","81.516896","91.159997","","","","","","","","","","","","","","","",""
"96113606804206","Nodes","6804206","21.000000","30.298805","DDS demands","Known Flow","559896.312500","142184.343750","0.000000","-53.040000","","","","","","","","","","","","","-47.429319","-53.040000","","","C1 PROFILE","","","","","","","","","","","","",""
"96113600113694","Nodes","-113694","21.000000","30.429981","Default Known Flow Node","Known Flow","559854.562500","142188.734375","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600113699","Nodes","-113699","21.000000","30.080291","Default Known Flow Node","Known Flow","559842.250000","141972.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606804207","Nodes","6804207","21.000000","30.167680","Default Known Flow Node","Known Flow","559801.750000","141860.187500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600113696","Nodes","-113696","21.000000","30.123982","Default Known Flow Node","Known Flow","559780.687500","141897.718750","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600113698","Nodes","-113698","21.000000","30.167680","Default Known Flow Node","Known Flow","559738.812500","141818.109375","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000158","Nodes","-158","21.000000","23.134148","Default Known Flow Node","Known Flow","552515.665000","140224.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000156","Nodes","-156","21.000000","23.089101","Default Known Flow Node","Known Flow","552521.040000","140223.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000159","Nodes","-159","21.000000","23.324671","Default Known Flow Node","Known Flow","552495.290000","140224.195000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113601463085","Nodes","1463085","21.000000","23.221613","DDS demands","Known Flow","552497.540000","140236.945000","0.000000","","","","","","-10.679999","","","","","","","","-9.550247","-10.679999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000164","Nodes","-164","21.000000","24.023857","Default Known Flow Node","Known Flow","552677.290000","140247.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806012","Nodes","6806012","21.000000","24.059898","DDS demands","Known Flow","552692.415000","140228.695000","0.000000","","","-2.230000","","","-34.509998","","","","","","","","-32.853563","-36.739997","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","",""
"96113600000168","Nodes","168","21.000000","23.879575","DDS demands","Known Flow","552651.415000","140273.945000","0.000000","","","","","","-16.040000","","","","","","","","-14.343256","-16.040000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000161","Nodes","-161","21.000000","24.059898","Default Known Flow Node","Known Flow","552693.540000","140227.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600010022","Nodes","","21.000000","22.776913","Default Known Flow Node","Known Flow","552301.623745","140200.355404","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806011","Nodes","6806011","21.000000","23.043225","DDS demands","Known Flow","552398.852500","140206.570000","0.000000","","","","-8.420000","","-22.959998","","","","","","","","-28.060555","-31.379997","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","",""
"96113600010024","Nodes","","21.000000","22.732548","Default Known Flow Node","Known Flow","552273.595618","140193.772819","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113611004420","Nodes","Logger 4420, cr Benachie, Chafford Lane, Fordcombe, Tunbridge Wells, Kent","21.000000","22.732548","Val Log Post","Known Flow","552273.290000","140194.507500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000180","Nodes","-180","21.000000","21.068908","Default Known Flow Node","Known Flow","552106.790000","140705.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000179","Nodes","-179","21.000000","21.072600","Default Known Flow Node","Known Flow","552108.915000","140702.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000175","Nodes","-175","21.000000","21.660724","Default Known Flow Node","Known Flow","552184.915000","140597.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000174","Nodes","-174","21.000000","21.660724","Default Known Flow Node","Known Flow","552186.790000","140594.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000165","Nodes","-165","21.000000","24.410052","Default Known Flow Node","Known Flow","552768.040000","140247.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000166","Nodes","-166","21.000000","24.523976","Default Known Flow Node","Known Flow","552789.040000","140260.945000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806013","Nodes","6806013","21.000000","25.390374","DDS demands","Known Flow","552962.915000","140267.366875","0.000000","","","-1.529999","","","-19.589999","","","","","","","","-18.885882","-21.119999","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","",""
"96113600000018","Nodes","-18","21.000000","33.476882","Default Known Flow Node","Known Flow","554334.290000","139096.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000017","Nodes","-17","21.000000","33.476882","Default Known Flow Node","Known Flow","554334.915000","139094.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000016","Nodes","-16","21.000000","33.476882","Default Known Flow Node","Known Flow","554352.915000","139050.195000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000140","Nodes","-140","21.000000","39.981289","Default Known Flow Node","Known Flow","554473.915000","139624.820000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000145","Nodes","-145","21.000000","39.981289","Default Known Flow Node","Known Flow","554444.415000","139651.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806027","Nodes","6806027","21.000000","37.800093","DDS demands","Known Flow","554372.165000","139460.070000","0.000000","0.000000","-45.219999","","","","-11.079999","","","","","","","","-50.344468","-56.299998","","","C1 PROFILE","C2 PROFILE","","","","D1 PROFILE","","","","","","","",""
"96113600010085","Nodes","10085","21.000000","40.561170","DDS demands","Known Flow","554413.737017","139571.512189","0.000000","","","","","","-22.570000","","","","","","","","-20.182497","-22.570000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000004","Nodes","4","21.000000","21.813182","Default Known Flow Node","Known Flow","555049.165000","138673.820000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113604904558","Nodes","-4904558","21.000000","21.857810","Default Known Flow Node","Known Flow","555039.915000","138678.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000008","Nodes","-8","21.000000","21.857810","Default Known Flow Node","Known Flow","555043.415000","138717.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600326888","Nodes","-326888","21.000000","21.902445","Default Known Flow Node","Known Flow","555054.165000","138733.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600010116","Nodes","","21.000000","29.892941","Default Known Flow Node","Known Flow","554969.515180","139105.450103","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000019","Nodes","-19","21.000000","29.875794","Default Known Flow Node","Known Flow","554985.915000","139099.195000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000044","Nodes","-44","21.000000","32.594850","Default Known Flow Node","Known Flow","554978.415000","139173.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000041","Nodes","-41","21.000000","32.590827","Default Known Flow Node","Known Flow","555001.665000","139167.445000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000003","Nodes","3","21.000000","21.813182","DDS demands","Known Flow","555079.540000","138661.820000","0.000000","","-60.950000","","-6.099999","","","","","","","","","","-59.957309","-67.050001","","","","C2 PROFILE","","C4 PROFILE","","","","","","","","","",""
"96113604904754","Nodes","-4904754","21.000000","21.821948","Default Known Flow Node","Known Flow","555081.915000","138661.570000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000021","Nodes","21","21.000000","30.185306","DDS demands","Known Flow","554671.415000","139118.445000","0.000000","","","","","","-21.969998","","","","","","","","-19.645966","-21.969998","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000005","Nodes","-5","21.000000","21.857810","Default Known Flow Node","Known Flow","555038.415000","138678.820000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000006","Nodes","-6","21.000000","21.768560","Default Known Flow Node","Known Flow","555018.915000","138680.945000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600010134","Nodes","","21.000000","30.185306","Default Known Flow Node","Known Flow","554738.196097","139036.918499","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113601462872","Nodes","-1462872","21.000000","30.185306","Default Known Flow Node","Known Flow","554760.040000","139037.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000047","Nodes","-47","21.000000","32.601986","Default Known Flow Node","Known Flow","554936.102500","139174.663750","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000124","Nodes","-124","21.000000","32.650210","DDS demands","Known Flow","554679.290000","139546.945000","0.000000","","","","","","-13.919999","","","","","","","","-12.447512","-13.919999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000126","Nodes","-126","21.000000","32.650210","Default Known Flow Node","Known Flow","554715.790000","139558.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806044","Nodes","6806044","21.000000","32.788556","DDS demands","Known Flow","554602.915000","139169.445000","0.000000","","","","","","-23.709998","","","","","","","","-21.201905","-23.709998","","","","","","","","D1 PROFILE","","","","","","","",""
"96113606806043","Nodes","6806043","21.000000","32.705822","DDS demands","Known Flow","554662.540000","139165.945000","0.000000","","","","-6.139999","","-11.880000","","","","","","","","-16.113806","-18.019999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","",""
"96113606806049","Nodes","6806049","21.000000","32.873162","DDS demands","Known Flow","554620.040000","139523.320000","0.000000","","","","","","-16.219999","","","","","","","","-14.504213","-16.219999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000037","Nodes","37","21.000000","32.694430","Default Known Flow Node","Known Flow","554733.540000","139159.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806045","Nodes","6806045","21.000000","32.600803","Default Known Flow Node","Known Flow","554605.040000","139310.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000078","Nodes","78","21.000000","32.595247","DDS demands","Known Flow","554608.290000","139311.945000","0.000000","","","","","","-22.219999","","","","","","","","-19.869521","-22.219999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000090","Nodes","-90","21.000000","32.546920","DDS demands","Known Flow","554611.540000","139381.820000","0.000000","","","","","","-11.850000","","","","","","","","-10.596483","-11.850000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113606806046","Nodes","6806046","21.000000","32.584356","DDS demands","Known Flow","554617.540000","139382.445000","0.000000","","","-3.020000","","","-28.030000","","","","","","","","-27.765465","-31.050000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","",""
"96113600000125","Nodes","-125","21.000000","26.711185","Default Known Flow Node","Known Flow","555127.040000","139557.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806057","Nodes","6806057","21.000000","26.358409","DDS demands","Known Flow","555260.040000","139567.070000","0.000000","","","","","","-45.679998","","","","","","","","-40.847873","-45.679998","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000101","Nodes","-101","21.000000","28.002022","Default Known Flow Node","Known Flow","555058.915000","139409.695000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000097","Nodes","-97","21.000000","28.002022","Default Known Flow Node","Known Flow","555059.165000","139405.945000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806042","Nodes","6806042","21.000000","32.620461","DDS demands","Known Flow","554827.415000","139174.445000","0.000000","","","-2.279999","","","-18.520000","","","","","","","","-18.599732","-20.800000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","",""
"96113600000107","Nodes","-107","21.000000","32.691882","DDS demands","Known Flow","554612.665000","139455.695000","0.000000","","","","","","-15.720000","","","","","","","","-14.057105","-15.720000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600010193","Nodes","","21.000000","32.657912","Default Known Flow Node","Known Flow","554664.761597","139202.941058","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000079","Nodes","-79","21.000000","32.594546","Default Known Flow Node","Known Flow","554609.790000","139312.445000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000046","Nodes","-46","21.000000","32.602344","Default Known Flow Node","Known Flow","554933.977500","139174.663750","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000073","Nodes","73","21.000000","32.419814","DDS demands","Known Flow","554789.165000","139298.070000","0.000000","","","","","","-14.270000","","","","","","","","-12.760490","-14.270000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000057","Nodes","57","21.000000","32.491436","Default Known Flow Node","Known Flow","554806.915000","139249.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000048","Nodes","-48","21.000000","32.945049","Default Known Flow Node","Known Flow","554538.352500","139201.335625","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113601463143","Nodes","1463143","21.000000","33.024196","DDS demands","Known Flow","554481.665000","139213.070000","0.000000","","","","","","-9.079999","","","","","","","","-8.119498","-9.079999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000094","Nodes","-94","21.000000","32.271536","Default Known Flow Node","Known Flow","554751.540000","139390.820000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000095","Nodes","-95","21.000000","32.265400","DDS demands","Known Flow","554755.040000","139390.945000","0.000000","","","","","","-10.509999","","","","","","","","-9.398229","-10.509999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000143","Nodes","-143","21.000000","26.551505","Default Known Flow Node","Known Flow","555065.040000","139646.195000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000146","Nodes","-146","21.000000","26.551505","Default Known Flow Node","Known Flow","555067.040000","139665.070000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806111","Nodes","6806111","21.000000","32.369266","DDS demands","Known Flow","554695.915000","139386.695000","0.000000","","","","","","-4.480000","","","","","","","","-4.006096","-4.480000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600000130","Nodes","-130","21.000000","26.861327","Default Known Flow Node","Known Flow","555052.040000","139588.445000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806050","Nodes","6806050","21.000000","26.863197","DDS demands","Known Flow","555048.290000","139579.945000","0.000000","","","-10.450000","","","-32.099998","","","","","","","","-38.048971","-42.549997","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","",""
"96113600000106","Nodes","-106","21.000000","27.567496","Default Known Flow Node","Known Flow","555004.290000","139443.320000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000099","Nodes","-99","21.000000","28.114692","Default Known Flow Node","Known Flow","555051.415000","139409.445000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600010227","Nodes","","21.000000","27.671869","Default Known Flow Node","Known Flow","554990.041193","139365.746443","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600010235","Nodes","","21.000000","27.671869","Default Known Flow Node","Known Flow","554994.087179","139365.500201","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806048","Nodes","6806048","21.000000","28.097750","DDS demands","Known Flow","555055.040000","139409.570000","0.000000","","","","","","-43.869999","","","","","","","","-39.229340","-43.869999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113606806041","Nodes","6806041","21.000000","32.593352","DDS demands","Known Flow","555002.665000","139167.070000","0.000000","","","","-6.910000","","-34.490000","","","","","","","","-37.020623","-41.400002","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","",""
"96113600010230","Nodes","10230","21.000000","27.671869","DDS demands","Known Flow","554998.475177","139365.233144","0.000000","","","","","","-11.560000","","","","","","","","-10.337159","-11.560000","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600010225","Nodes","","21.000000","27.671869","Default Known Flow Node","Known Flow","555003.158177","139364.948132","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000191","Nodes","-191","21.000000","28.484256","Default Known Flow Node","Known Flow","555106.915000","141229.570000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600000195","Nodes","-195","21.000000","28.176609","Default Known Flow Node","Known Flow","555150.040000","141292.445000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606806099","Nodes","6806099","21.000000","28.112171","DDS demands","Known Flow","555141.665000","141309.820000","0.000000","","","","","","-10.939999","","","","","","","","-9.782743","-10.939999","","","","","","","","D1 PROFILE","","","","","","","",""
