"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96108405310002","Nodes","DUNSTALL LANE DG,","21.000000","26.499999","Default Known Pressure Node","Known Pressure","609395.598153","128047.144741","","3500.000071","","","","","","127.446968","142.523395","","","","","","",""
"96108400000018","Nodes","18,","21.000000","28.875775","Default Known Flow Node","Known Flow","608455.909796","127001.656999","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000020","Nodes","20,","21.000000","28.875775","Default Known Flow Node","Known Flow","608473.779614","127002.631382","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000063","Nodes","63,","21.000000","28.382443","Default Known Flow Node","Known Flow","608494.646847","127259.090817","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462543","Nodes","nominal demand,","21.000000","28.382443","Default Known Flow Node","Known Flow","608456.929539","127314.183117","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000032","Nodes","32,","21.000000","28.560020","Default Known Flow Node","Known Flow","608512.671969","127084.456316","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310204","Nodes","5310204,","21.000000","28.560020","DDS demands","Known Flow","608563.511221","127118.418443","","0.000000","","","-11.989999","","","-10.721671","-11.989999","","","","","D1 PROFILE","",""
"96108405310202","Nodes","5310202,","21.000000","28.875775","DDS demands","Known Flow","608594.959946","127068.799968","","0.000000","","","-41.900000","","","-37.467729","-41.900000","","","","","D1 PROFILE","",""
"96108400000021","Nodes","21,","21.000000","28.875775","Default Known Flow Node","Known Flow","608513.361740","127010.558444","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462475","Nodes","1462475,","21.000000","28.875775","Default Known Flow Node","Known Flow","608514.630586","127008.489249","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000019","Nodes","19,","21.000000","29.909435","Default Known Flow Node","Known Flow","608661.387046","127000.236607","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000023","Nodes","23,","21.000000","29.909435","Default Known Flow Node","Known Flow","608632.212237","127023.836428","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000011","Nodes","11,","21.000000","28.875775","Default Known Flow Node","Known Flow","608495.962015","126976.464122","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462487","Nodes","1462487,","21.000000","28.875775","Default Known Flow Node","Known Flow","608495.837015","126958.214117","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310200","Nodes","5310200,","21.000000","29.909435","Default Known Flow Node","Known Flow","608652.873680","126993.004511","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
