"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96121909710071","Nodes","9710071","21.000000","61.682864","Default Known Flow Node","Known Flow","582295.205000","125114.782812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710069","Nodes","9710069","21.000000","61.702429","Default Known Flow Node","Known Flow","582173.455000","125028.400000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710099","Nodes","9710099","21.000000","60.911217","Default Known Flow Node","Known Flow","582476.205000","125044.650000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710098","Nodes","9710098","21.000000","60.961256","Default Known Flow Node","Known Flow","582469.205000","125054.782812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710113","Nodes","9710113","21.000000","60.098109","DDS demands","Known Flow","582419.080000","125175.032812","","0.000000","","","","","","-7.309999","","","","-6.536732","-7.309999","","","","","","","","D1 PROFILE","","",""
"96121909710112","Nodes","9710112","21.000000","59.760485","DDS demands","Known Flow","582370.955000","125152.400000","","0.000000","","","","","","-7.920000","","","","-7.082205","-7.920000","","","","","","","","D1 PROFILE","","",""
"96121909710044","Nodes","9710044","21.000000","60.137426","DDS demands","Known Flow","582460.955000","125204.032812","","0.000000","","","","","","-14.619999","","","","-13.073465","-14.619999","","","","","","","","D1 PROFILE","","",""
"96121909710114","Nodes","9710114","21.000000","60.111954","DDS demands","Known Flow","582425.455000","125241.900000","","0.000000","","","","","","-4.760000","","","","-4.256477","-4.760000","","","","","","","","D1 PROFILE","","",""
"96121909710102","Nodes","9710102","21.000000","62.432014","DDS demands","Known Flow","582575.955000","125078.650000","","0.000000","","","","","","-0.880000","","","","-0.786911","-0.880000","","","","","","","","D1 PROFILE","","",""
"96121909710101","Nodes","9710101","21.000000","60.860073","DDS demands","Known Flow","582517.580000","125036.900000","","0.000000","","","","","","-4.219999","","","","-3.773599","-4.219999","","","","","","","","D1 PROFILE","","",""
"96121909710015","Nodes","9710015","21.000000","62.320147","DDS demands","Known Flow","582578.955000","125119.532812","","0.000000","","","","","","-7.440000","","","","-6.652981","-7.440000","","","","","","","","D1 PROFILE","","",""
"96121909710042","Nodes","9710042","21.000000","61.471852","DDS demands","Known Flow","582583.955000","125186.282812","","0.000000","","","","","","-1.970000","","","","-1.761609","-1.970000","","","","","","","","D1 PROFILE","","",""
"96121909710046","Nodes","9710046","21.000000","59.499888","DDS demands","Known Flow","582545.455000","125359.282812","","0.000000","","","","","","-6.449999","","","","-5.767705","-6.449999","","","","","","","","D1 PROFILE","","",""
"96121909710079","Nodes","9710079","21.000000","59.154636","DDS demands","Known Flow","582602.330000","125417.782812","","0.000000","","","","","","-6.610000","","","","-5.910780","-6.610000","","","","","","","","D1 PROFILE","","",""
"96121909710073","Nodes","9710073","21.000000","59.477186","DDS demands","Known Flow","582529.330000","125360.150000","","0.000000","","","","","","-4.169999","","","","-3.728888","-4.169999","","","","","","","","D1 PROFILE","","",""
"96121909710075","Nodes","9710075","21.000000","59.931111","DDS demands","Known Flow","582572.705000","125342.282812","","0.000000","","","","","","-8.109999","","","","-7.252106","-8.109999","","","","","","","","D1 PROFILE","","",""
