"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(DH)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"9.61E+13","Nodes","5601906","21","25.579509","DDS demands","Known Flow","626473.755","166695.425","","0","0","","","-7.53","","0","-6.73346","-7.53","","","C3 PROFILE","","","D1 PROFILE","","I2 PROFILE"
"9.61E+13","Nodes","5601939","21","27.063318","DDS demands","Known Flow","626553.755","166660.925","","0","","","","-12.25","","","-10.954169","-12.25","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601938","21","25.539889","DDS demands","Known Flow","626521.38","166771.925","","0","","","","-6.139999","","","-5.490497","-6.139999","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601901","21","29.396146","DDS demands","Known Flow","626637.755","166625.8","","0","","-3.27","","-17.309999","","","-18.403004","-20.579999","","","","C4 PROFILE","","D1 PROFILE","",""
"9.61E+13","Nodes","5601941","21","28.145798","Default Known Flow Node","Known Flow","626692.63","166597.05","","0","","","","","","","0","0","","","","","","","",""
"9.61E+13","Nodes","5601909","21","27.658229","Default Known Flow Node","Known Flow","626678.38","166573.425","","0","","","","","","","0","0","","","","","","","",""
"9.61E+13","Nodes","5601947","21","25.334481","DDS demands","Known Flow","626823.255","166527.675","","0","","","","-4.369999","","","-3.907732","-4.369999","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601950","21","25.335687","DDS demands","Known Flow","626829.505","166524.175","","0","","","","-9.809999","","","-8.772278","-9.809999","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601908","21","27.57788","DDS demands","Known Flow","626620.005","166595.05","","0","","","","-4.179999","","","-3.73783","-4.179999","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","P00098073, Wansum Court, 21.69","24","27.034216","CSEP DDS Matched","Known Flow","626546.38","166623.8","","0","","","","","-21.690001","","-19.395586","-21.690001","","","","","","","DC PROFILE",""
"9.61E+13","Nodes","5601905","21","28.328418","DDS demands","Known Flow","626681.755","166602.675","","0","","","","-21.059998","","","-18.832226","-21.059998","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","SUN INN/ ST NICHOLAS AT WADE DG,Site ID 251","21","30","Default Known Pressure Node","Known Pressure","626662.255","166680.925","","3329.999989","","","","","","","293.410758","328.120001","","","","","","","",""
"9.61E+13","Nodes","5601942","21","28.080992","DDS demands","Known Flow","626716.38","166676.925","","0","","","","-6.449999","","","-5.767705","-6.449999","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601940","21","27.145606","Default Known Flow Node","Known Flow","626687.005","166542.675","","0","","","","","","","0","0","","","","","","","",""
