"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"96108605501214","Nodes","5501214","21.000000","36.036110","Default Known Flow Node","Known Flow","612345.872500","166016.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-9992631","Nodes","-999263","21.000000","36.023486","Default Known Flow Node","Known Flow","612511.810000","165914.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-1041369","Nodes","-1041369","21.000000","33.115466","Default Known Flow Node","Known Flow","611844.560000","166598.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502113","Nodes","5502113","21.000000","23.486217","DDS demands","Known Flow","611662.310000","167164.820000","0.000000","","","-0.499999","","","-3.690000","","","","","","","","","-3.746773","-4.190000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","","",""
"96108686-73211","Nodes","-7321","21.000000","23.502777","Default Known Flow Node","Known Flow","611664.841963","167129.433411","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502114","Nodes","5502114","21.000000","23.505750","DDS demands","Known Flow","611665.545418","167123.102321","0.000000","","","","","","-22.419998","","","","","","","","","-20.048364","-22.419998","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-2814361","Nodes","-281436","21.000000","29.849959","Default Known Flow Node","Known Flow","613652.935000","167116.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502211","Nodes","5502211","21.000000","29.742279","DDS demands","Known Flow","613700.685000","167228.976250","0.000000","","","","","","-21.680000","","","","","","","","","-19.386643","-21.680000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605502314","Nodes","5502314","21.000000","29.744591","Default Known Flow Node","Known Flow","613736.685000","167277.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2813631","Nodes","-281363","21.000000","28.908528","Default Known Flow Node","Known Flow","613278.188309","167267.584809","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502201","Nodes","5502201","21.000000","28.854880","DDS demands","Known Flow","613282.173610","167280.887857","0.000000","","","","","","-10.189999","","","","","","","","","-9.112080","-10.189999","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-2813741","Nodes","-281374","21.000000","28.944835","Default Known Flow Node","Known Flow","613342.810000","167258.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-3258431","Nodes","-325843","21.000000","31.436224","Default Known Flow Node","Known Flow","613607.560000","166712.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501252","Nodes","5501252","21.000000","31.067589","DDS demands","Known Flow","613753.372500","166661.866875","0.000000","","","","","","-24.969998","","","","","","","","","-22.328621","-24.969998","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-3258801","Nodes","-325880","21.000000","30.807414","Default Known Flow Node","Known Flow","613942.685000","166609.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502139","Nodes","5502139","21.000000","32.822285","DDS demands","Known Flow","612699.810000","166840.570000","0.000000","","","","","","-18.069999","","","","","","","","","-16.158517","-18.069999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605502140","Nodes","5502140","21.000000","32.586623","DDS demands","Known Flow","612714.060000","166871.570000","0.000000","","","","","","-15.100000","","","","","","","","","-13.502690","-15.100000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605502180","Nodes","5502180","21.000000","30.883709","DDS demands","Known Flow","612818.638646","167098.247033","0.000000","","","","","","-11.539999","","","","","","","","","-10.319274","-11.539999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501325","Nodes","5501325","21.000000","35.831937","DDS demands","Known Flow","612208.685000","166098.445000","0.000000","","","","","","-3.980000","","","","","","","","","-3.558987","-3.980000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501604","Nodes","5501604","21.000000","31.770268","Default Known Flow Node","Known Flow","612366.293420","165687.080732","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501263","Nodes","5501263","21.000000","31.860634","DDS demands","Known Flow","612424.935000","165691.773125","0.000000","","","","","","-61.459999","","","","","","","","","-54.958631","-61.459999","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-2705111","Nodes","-270511","21.000000","31.787643","Default Known Flow Node","Known Flow","611688.310000","166421.445000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501085","Nodes","5501085","21.000000","31.868491","DDS demands","Known Flow","611861.372500","166393.773125","0.000000","","","","","","-35.650002","","","","","","","","","-31.878869","-35.650002","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-2446681","Nodes","-244668","21.000000","22.118077","Default Known Flow Node","Known Flow","610331.435000","166460.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502020","Nodes","5502020","21.000000","22.088375","DDS demands","Known Flow","610370.935000","166512.163750","0.000000","","","","-3.579999","","-16.530000","","","","","","","","","-17.982723","-20.109999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","","",""
"96108605501490","Nodes","5501490","21.000000","28.760560","Default Known Flow Node","Known Flow","611257.560000","165385.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501173","Nodes","5501173","21.000000","28.754152","DDS demands","Known Flow","611322.685000","165515.366875","0.000000","","","","","","-8.479999","","","","","","","","","-7.582967","-8.479999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501171","Nodes","5501171","21.000000","28.886807","DDS demands","Known Flow","611293.935000","165618.195000","0.000000","","","","","","-10.020000","","","","","","","","","-8.960063","-10.020000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501480","Nodes","5501480","21.000000","30.531732","Default Known Flow Node","Known Flow","611019.060000","165581.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501162","Nodes","5501162","21.000000","30.553632","DDS demands","Known Flow","611065.185000","165646.476250","0.000000","","","","","","-9.300000","","","","","","","","","-8.316226","-9.300000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501164","Nodes","5501164","21.000000","30.547838","DDS demands","Known Flow","611119.935000","165723.695000","0.000000","","","","","","-27.379998","","","","","","","","","-24.483685","-27.379998","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501040","Nodes","5501040","21.000000","23.507281","DDS demands","Known Flow","608521.685000","164949.445000","0.000000","","","","","","-24.870001","","","","","","","","","-22.239199","-24.870001","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501018","Nodes","5501018","21.000000","23.550481","DDS demands","Known Flow","608712.372500","165056.773125","0.000000","","","","","","-6.890000","","","","","","","","","-6.161161","-6.890000","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-2041341","Nodes","-204134","21.000000","23.682428","Default Known Flow Node","Known Flow","608877.560000","165131.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040861","Nodes","-204086","21.000000","24.491457","Default Known Flow Node","Known Flow","608433.435000","164888.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501048","Nodes","5501048","21.000000","24.077366","Default Known Flow Node","Known Flow","608453.060000","164902.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501047","Nodes","P08118212/1 1-16 CAGES VIEW","24.000000","30.965305","CSEP DDS Matched","Known Flow","610499.089156","165550.111368","0.000000","","","","","","","-18.729999","","","","","","","","-16.748701","-18.729999","","","","","","","","","DC PROFILE","","","","","","","",""
"96108605501039","Nodes","5501039","21.000000","24.819725","DDS demands","Known Flow","608424.722366","164875.651313","0.000000","0.000000","","","","","-54.169999","","","","","","","","","-48.439782","-54.169999","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","","","",""
"961086-2422821","Nodes","-242282","21.000000","24.580054","Default Known Flow Node","Known Flow","608435.866225","164884.126924","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041001","Nodes","-204100","21.000000","33.768351","Default Known Flow Node","Known Flow","608662.435000","164935.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501404","Nodes","5501404","21.000000","33.768351","Default Known Flow Node","Known Flow","608708.810000","164946.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041061","Nodes","-204106","21.000000","32.539017","Default Known Flow Node","Known Flow","608710.435000","164783.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501395","Nodes","5501395","21.000000","32.581971","Default Known Flow Node","Known Flow","608741.310000","164765.320000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501396","Nodes","5501396","21.000000","32.561943","Default Known Flow Node","Known Flow","608724.185000","164736.570000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041031","Nodes","-204103","21.000000","32.561943","Default Known Flow Node","Known Flow","608698.185000","164754.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041331","Nodes","-204133","21.000000","34.044432","Default Known Flow Node","Known Flow","608859.310000","164840.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501406","Nodes",", ""SEP00216"", ""ROBERTS ROAD"", 22.23","25.000000","34.044432","CSEP DDS Matched","Known Flow","608879.435000","164877.820000","0.000000","","","","","","","-30.360001","","","","","","","","-27.148457","-30.360001","","","","","","","","","DC PROFILE","","","","","","","",""
"96108605501412","Nodes","5501412","21.000000","34.396602","Default Known Flow Node","Known Flow","608970.435000","164943.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2422881","Nodes","-242288","21.000000","34.398782","Default Known Flow Node","Known Flow","608967.060000","164936.570000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040911","Nodes","-204091","21.000000","30.255679","Default Known Flow Node","Known Flow","608564.560000","164835.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040891","Nodes","-204089","21.000000","30.255679","Default Known Flow Node","Known Flow","608541.560000","164872.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501050","Nodes","5501050","21.000000","30.255679","Default Known Flow Node","Known Flow","608566.185000","164836.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501235","Nodes","5501235","21.000000","30.255679","Default Known Flow Node","Known Flow","608606.435000","164862.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501259","Nodes","5501259","21.000000","30.255679","Default Known Flow Node","Known Flow","608617.310000","164871.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040931","Nodes","-204093","21.000000","30.255679","Default Known Flow Node","Known Flow","608582.810000","164904.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501260","Nodes","5501260","21.000000","30.255679","Default Known Flow Node","Known Flow","608609.685000","164831.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041011","Nodes","-204101","21.000000","30.298792","Default Known Flow Node","Known Flow","608668.185000","164803.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501389","Nodes","5501389","21.000000","30.255679","Default Known Flow Node","Known Flow","608648.435000","164892.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040991","Nodes","-204099","21.000000","30.255679","Default Known Flow Node","Known Flow","608656.935000","164892.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040971","Nodes","-204097","21.000000","30.255679","Default Known Flow Node","Known Flow","608626.185000","164931.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041071","Nodes","-204107","21.000000","30.298792","Default Known Flow Node","Known Flow","608714.935000","164858.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501403","Nodes","5501403","21.000000","33.811206","Default Known Flow Node","Known Flow","608733.435000","164932.570000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501405","Nodes","5501405","21.000000","33.811206","Default Known Flow Node","Known Flow","608721.810000","164897.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041021","Nodes","-204102","21.000000","33.811206","Default Known Flow Node","Known Flow","608694.060000","164918.570000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501397","Nodes","5501397","21.000000","32.608817","Default Known Flow Node","Known Flow","608715.310000","164723.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501393","Nodes","5501393","21.000000","32.352230","Default Known Flow Node","Known Flow","608725.060000","164812.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041181","Nodes","-204118","21.000000","32.352230","Default Known Flow Node","Known Flow","608740.185000","164804.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041131","Nodes","-204113","21.000000","33.811206","Default Known Flow Node","Known Flow","608731.185000","164915.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041211","Nodes","-204121","21.000000","33.811206","Default Known Flow Node","Known Flow","608742.435000","164936.320000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501398","Nodes","5501398","21.000000","32.798951","Default Known Flow Node","Known Flow","608736.435000","164715.570000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041161","Nodes","-204116","21.000000","32.798951","Default Known Flow Node","Known Flow","608739.560000","164724.445000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501399","Nodes","5501399","21.000000","32.798951","Default Known Flow Node","Known Flow","608763.810000","164768.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041231","Nodes","-204123","21.000000","32.798951","Default Known Flow Node","Known Flow","608764.560000","164770.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041281","Nodes","-204128","21.000000","32.798951","Default Known Flow Node","Known Flow","608802.185000","164748.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501400","Nodes","5501400","21.000000","32.798951","Default Known Flow Node","Known Flow","608788.310000","164812.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501401","Nodes","5501401","21.000000","32.798951","Default Known Flow Node","Known Flow","608799.310000","164832.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041311","Nodes","-204131","21.000000","32.841894","Default Known Flow Node","Known Flow","608826.685000","164792.445000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501402","Nodes","5501402","21.000000","32.798951","Default Known Flow Node","Known Flow","608813.935000","164858.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041301","Nodes","-204130","21.000000","32.798951","Default Known Flow Node","Known Flow","608818.810000","164867.445000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2041321","Nodes","-204132","21.000000","32.841894","Default Known Flow Node","Known Flow","608852.185000","164836.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2122491","Nodes","-212249","21.000000","32.170319","Default Known Flow Node","Known Flow","608699.810000","164808.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2122461","Nodes","-212246","21.000000","32.127345","Default Known Flow Node","Known Flow","608673.310000","164826.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2369881","Nodes","-236988","21.000000","33.811206","Default Known Flow Node","Known Flow","608756.381280","164941.018806","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2369891","Nodes","-236989","21.000000","33.854065","Default Known Flow Node","Known Flow","608805.198988","164920.623248","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2369931","Nodes","-236993","21.000000","34.370615","Default Known Flow Node","Known Flow","608949.685000","164954.320000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2369941","Nodes","-236994","21.000000","34.372575","Default Known Flow Node","Known Flow","608969.310000","164943.695000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2369961","Nodes","-236996","21.000000","36.154163","Default Known Flow Node","Known Flow","608991.935000","164709.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
