"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96112100000211","Nodes","-211","21.000000","39.568423","Default Known Flow Node","Known Flow","577873.925400","136157.565260","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202081","Nodes","6202081","21.000000","39.082595","Default Known Flow Node","Known Flow","577887.298404","136308.689301","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207171","Nodes","-207171","21.000000","39.079792","Default Known Flow Node","Known Flow","577934.548417","136345.939311","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202080","Nodes","6202080","21.000000","39.039464","Default Known Flow Node","Known Flow","577937.245545","136311.437160","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202049","Nodes","6202049","21.000000","39.141345","DDS demands","Known Flow","577938.235100","136284.778980","","0.000000","","","-1.220000","","-13.220000","","","","","","-12.912506","-14.439999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"96112100207126","Nodes","-207126","21.000000","38.405806","Default Known Flow Node","Known Flow","577845.799393","136715.622412","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202041","Nodes","6202041","21.000000","38.514484","DDS demands","Known Flow","577875.809977","136703.055460","","0.000000","","","","-5.670000","-6.900000","","","","","","-11.240319","-12.570000","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"96112100000207","Nodes","-207","21.000000","39.451797","Default Known Flow Node","Known Flow","577878.331218","136153.589391","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202051","Nodes","6202051","21.000000","39.663523","DDS demands","Known Flow","577869.668479","136141.317592","","0.000000","","-145.740009","0.000000","0.000000","-6.959999","","","","","","-136.547084","-152.700008","","","","C2 PROFILE","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","",""
"96112100207145","Nodes","-207145","21.000000","39.603872","Default Known Flow Node","Known Flow","577877.923402","136136.189254","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202015","Nodes","6202015","21.000000","36.530692","Default Known Flow Node","Known Flow","577947.923421","137073.564509","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202040","Nodes","6202040","21.000000","38.316402","DDS demands","Known Flow","577839.013333","136718.882221","","0.000000","","","","","-1.200000","","","","","","-1.073061","-1.200000","","","","","","","D1 PROFILE","","","","",""
"96112100207123","Nodes","-207123","21.000000","38.374137","Default Known Flow Node","Known Flow","577843.396360","136716.779388","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202042","Nodes","6202042","21.000000","38.252415","DDS demands","Known Flow","577850.186730","136748.692032","","0.000000","","","","","-8.930000","","","","","","-7.985366","-8.930000","","","","","","","D1 PROFILE","","","","",""
"96112106202052","Nodes","6202052","21.000000","44.804031","DDS demands","Known Flow","576166.296747","135027.062168","","0.000000","","","-3.680000","","-15.829999","","","","","","-17.446191","-19.509999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"96112106202025","Nodes","6202025","21.000000","29.212807","DDS demands","Known Flow","577147.798203","136223.314278","","0.000000","","","","","-26.790001","","","","","","-23.956098","-26.790001","","","","","","","D1 PROFILE","","","","",""
"96112100231124","Nodes","-231124","21.000000","41.233483","Default Known Flow Node","Known Flow","577708.548355","135399.564053","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202075","Nodes","6202075","21.000000","41.209302","DDS demands","Known Flow","577713.923357","135775.564156","","0.000000","","","","","-3.890000","","","","","","-3.478507","-3.890000","","","","","","","D1 PROFILE","","","","",""
