"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62502500001018","Nodes","Logger 9586, 26 Park Crescent","21.000000","27.594576","Val Log Cath","Known Flow","205235.980148","560790.008950","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003008","Nodes","-411","21.000000","26.490167","Default Known Flow Node","Known Flow","207066.010109","560884.709968","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003022","Nodes","-445","21.000000","49.354619","Default Known Flow Node","Known Flow","207538.339631","561040.819874","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500001007","Nodes","1007","21.000000","49.379725","Default Known Flow Node","Known Flow","207542.043951","561033.607478","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003010","Nodes","-418","21.000000","49.989067","Default Known Flow Node","Known Flow","207610.569650","560906.934837","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000194","Nodes","194","21.000000","27.783605","DDS demands","Known Flow","207390.433590","561080.399885","","0.000000","","","","","","-8.729999","","","","","","","-7.806521","-8.729999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500001008","Nodes","1008","21.000000","27.992348","Point Loads","Known Flow","207434.744941","561102.130793","","0.000000","","","","","","","","","","","","","0.000000","0.000000","-0.959999","","","","","","","","","","","","","","","TT PROFILE"
"62502500000195","Nodes","195","21.000000","28.029428","DDS demands","Known Flow","207441.915604","561107.326892","","0.000000","","0.000000","","","","-3.299999","","","","","","","-2.950918","-3.299999","","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"62502500003020","Nodes","-442","21.000000","27.181372","Default Known Flow Node","Known Flow","207060.082500","561016.550867","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000479","Nodes","479","21.000000","27.174137","Default Known Flow Node","Known Flow","207059.910402","561028.460105","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000188","Nodes","188,","21.000000","27.152087","DDS demands","Known Flow","207058.353500","561064.628880","","0.000000","","","","-8.199999","","-17.920000","","","","","","","-23.356971","-26.119999","","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"62502500002998","Nodes","-387","21.000000","25.730167","Default Known Flow Node","Known Flow","207068.126440","560723.118721","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000414","Nodes","414,","21.000000","26.186384","DDS demands","Known Flow","207068.086758","560882.147870","","0.000000","-4.249999","-16.280000","","","","-5.689999","","","","","","","-23.446394","-26.219999","","","","C1 PROFILE","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"62502500003021","Nodes","-443","21.000000","27.182922","Default Known Flow Node","Known Flow","207062.178501","561017.470868","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000189","Nodes","189","21.000000","27.157230","DDS demands","Known Flow","207059.968500","561007.948865","","0.000000","","","","","","-9.699999","","","","","","","-8.673912","-9.699999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500001014","Nodes","1014","21.000000","27.155770","Default Known Flow Node","Known Flow","207069.294358","561008.253893","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000159","Nodes","159","21.000000","27.135920","DDS demands","Known Flow","207185.599535","561054.170877","","0.000000","","","","","","-18.379999","","","","","","","-16.435724","-18.379999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500001015","Nodes","","21.000000","27.344885","DDS demands","Known Flow","206832.300057","560982.466184","","0.000000","","","","","","-8.720000","","","","","","","-7.797580","-8.720000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500002868","Nodes","-17","21.000000","47.673039","Default Known Flow Node","Known Flow","206244.089278","559974.129584","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500001013","Nodes","1013","21.000000","48.970298","Default Known Flow Node","Known Flow","206241.399029","559845.962015","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003004","Nodes","-4","21.000000","49.005246","Default Known Flow Node","Known Flow","206237.932709","559551.299465","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500001009","Nodes","1009","21.000000","33.095080","Default Known Flow Node","Known Flow","206617.618699","560696.440219","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002786","Nodes","-1462526","21.000000","27.392256","Default Known Flow Node","Known Flow","206633.072932","560678.930517","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002878","Nodes","","21.000000","32.236045","DDS demands","Known Flow","205861.600691","560764.169106","","0.000000","","","","","","-3.999999","","","","","","","-3.576871","-3.999999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500001002","Nodes","1002","21.000000","29.094179","DDS demands","Known Flow","205905.080998","560850.595850","","0.000000","","","","","","-1.139999","","","","","","","-1.019408","-1.139999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000099","Nodes","99,","21.000000","29.876642","DDS demands","Known Flow","205941.572196","560846.929821","","0.000000","-7.139999","","","","","-5.400000","","","","","","","-11.213492","-12.539999","","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"62502500002922","Nodes","-261","21.000000","32.115149","Default Known Flow Node","Known Flow","205294.587020","561151.058904","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000481","Nodes","P00107982, Leswalt High Road,26.7n scmh","24.000000","33.829555","CSEP DDS Matched","Known Flow","205539.635403","560889.006021","","0.000000","","","","","","","-6.939000","","","","","","-6.204978","-6.939000","","","","","","","","","","DC PROFILE","","","","","",""
"62502500002869","Nodes","-170","21.000000","34.344862","Default Known Flow Node","Known Flow","205640.204114","560807.452810","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000355","Nodes","355","21.000000","25.704719","DDS demands","Known Flow","204714.695862","561959.350124","","0.000000","","","","","","-10.779999","","","","","","","-9.639668","-10.779999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500001005","Nodes","1005","21.000000","26.125323","Default Known Flow Node","Known Flow","204691.897856","561910.204110","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000350","Nodes","P00038448, Larg Avenue, 27.6 scmh","25.000000","26.238984","CSEP DDS Matched","Known Flow","204687.080855","561900.752108","","0.000000","","","","","","","-6.675000","","","","","","-5.968904","-6.675000","","","","","","","","","","DC PROFILE","","","","","",""
"62502500001003","Nodes","1003","21.000000","49.978949","Default Known Flow Node","Known Flow","207609.784565","560908.287311","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500001000","Nodes","1000","21.000000","42.201926","Point Loads","Known Flow","206173.193954","560081.444875","","0.000000","","","","","","","","","","","","","0.000000","0.000000","-3.839999","","","","","","","","","","","","","","","TT PROFILE"
"62502500000135","Nodes","135","21.000000","41.710706","DDS demands","Known Flow","206120.423245","560065.633609","","0.000000","","","","","","-18.690000","","","","","","","-16.712933","-18.690000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500002929","Nodes","2929","21.000000","25.822736","DDS demands","Known Flow","205337.207642","561397.508056","","0.000000","","","","","","-6.329999","","","","","","","-5.660399","-6.329999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500002927","Nodes","-272","21.000000","29.152240","Default Known Flow Node","Known Flow","205226.187662","561350.941135","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003007","Nodes","","21.000000","30.938613","DDS demands","Known Flow","206578.776353","560881.553175","","0.000000","","","-6.000000","","","","","","","","","","-5.365307","-6.000000","","","","","","C3 PROFILE","","","","","","","","","",""
"62502500000480","Nodes","Logger 9169, Stair Drive","21.000000","29.892423","Val Log Post","Known Flow","206603.329453","560883.900231","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000180","Nodes","180","21.000000","28.356710","Default Known Flow Node","Known Flow","206630.192384","560898.051835","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
