"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62600200000121","Nodes","121","21.000000","47.629489","DDS demands","Known Flow","310892.975752","967891.415582","","0.000000","","","","","-20.399999","","","-0.999999","","","","-16.417839","-18.359998","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200000289","Nodes","289","21.000000","47.965773","DDS demands","Known Flow","310947.885767","967911.653587","","0.000000","","","","","-4.230000","","","","","","","-3.404287","-3.806999","","","","","","","D1 PROFILE","","","","","",""
"62600200000291","Nodes","291","21.000000","48.145889","DDS demands","Known Flow","310735.100709","967726.915537","","0.000000","","","","","-10.600000","","","","","","","-8.530839","-9.540000","","","","","","","D1 PROFILE","","","","","",""
"62600200000290","Nodes","290","21.000000","48.934849","DDS demands","Known Flow","310856.225742","967750.040543","","0.000000","","","","","-24.000000","","","","","","","-19.315106","-21.600000","","","","","","","D1 PROFILE","","","","","",""
"62600200000122","Nodes","122","21.000000","47.132495","DDS demands","Known Flow","310833.850736","967975.915605","","0.000000","","","","","-17.450001","","","-3.000000","","","","-14.043693","-15.705001","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200321984","Nodes","-321984","21.000000","47.132495","Default Known Flow Node","Known Flow","310804.850728","967925.290591","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000115","Nodes","115","21.000000","49.109782","Default Known Flow Node","Known Flow","310869.600746","967716.790534","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000237","Nodes","237","21.000000","47.944855","DDS demands","Known Flow","311059.809276","967981.955999","","0.000000","","","","","-1.139999","","","","","","","-0.917467","-1.025999","","","","","","","D1 PROFILE","","","","","",""
"62600200000112","Nodes","112","21.000000","49.388589","DDS demands","Known Flow","311001.475782","967694.540528","","0.000000","","","","","-7.129999","","","","","","","-5.738196","-6.416999","","","","","","","D1 PROFILE","","","","","",""
"62600200000299","Nodes","299","21.000000","47.901064","DDS demands","Known Flow","311041.725793","967991.915609","","0.000000","","","","","-6.579999","","","-6.000000","","","","-5.295558","-5.921999","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200000300","Nodes","300","21.000000","48.027549","Default Known Flow Node","Known Flow","311019.475787","967983.665607","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200321992","Nodes","-321992","21.000000","47.985380","Default Known Flow Node","Known Flow","311011.350785","967967.665602","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000217","Nodes","217","21.000000","47.944855","Default Known Flow Node","Known Flow","311061.350798","967983.540607","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000280","Nodes","280","21.000000","37.580554","DDS demands","Known Flow","311585.100941","967633.540511","","0.000000","","","","","-6.179999","","","","","","","-4.973639","-5.561999","","","","","","","D1 PROFILE","","","","","",""
"62600200000279","Nodes","279","21.000000","37.689988","DDS demands","Known Flow","311627.600952","967671.040522","","0.000000","","","","","-5.330000","","","","","","","-4.289563","-4.797000","","","","","","","D1 PROFILE","","","","","",""
"62600200000274","Nodes","274","21.000000","38.186341","DDS demands","Known Flow","311669.725964","967507.665477","","0.000000","","","","","-7.010000","","","","","","","-5.641621","-6.309000","","","","","","","D1 PROFILE","","","","","",""
"62600200000273","Nodes","273","21.000000","38.115623","DDS demands","Known Flow","311681.475967","967581.040497","","0.000000","","","","","-16.159999","","","","","","","-13.005504","-14.543999","","","","","","","D1 PROFILE","","","","","",""
"62600200000277","Nodes","277","21.000000","37.963885","DDS demands","Known Flow","311562.100241","967580.167170","","0.000000","","","","","-3.930000","","","","","","","-3.162848","-3.536999","","","","","","","D1 PROFILE","","","","","",""
"62600200000276","Nodes","276","21.000000","38.121040","DDS demands","Known Flow","311573.850938","967548.665488","","0.000000","","","","","-6.159999","","","-4.999999","","","","-4.957544","-5.543999","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
